Municipality,Sex,Workforce,Worked Hours Week,Worked Days Week,Monthly Wage,Workforce MOE
Santiago Yaveo,Hombre,1465.0,39.0,5.0,1951.0,541.0
Tlalixtac de Cabrera,Mujer,731.0,34.0,5.0,4691.0,231.0
Tlalixtac de Cabrera,Hombre,597.0,39.0,5.0,4514.0,206.0
Unión Hidalgo,Mujer,2293.0,30.0,5.0,3390.0,889.0
Unión Hidalgo,Hombre,1722.0,46.0,5.0,4896.0,763.0
Zimatlán de Álvarez,Mujer,2493.0,34.0,5.0,3269.0,808.0
Zimatlán de Álvarez,Hombre,1752.0,43.0,5.0,3913.0,679.0
Acajete,Mujer,3035.0,30.0,5.0,1274.0,1177.0
Acajete,Hombre,4331.0,45.0,5.0,2905.0,1373.0
Altepexi,Mujer,7820.0,38.0,5.0,2106.0,1848.0
Altepexi,Hombre,6034.0,45.0,5.0,3302.0,1586.0
Amozoc,Mujer,4898.0,37.0,5.0,3070.0,968.0
Amozoc,Hombre,8162.0,45.0,5.0,4344.0,1208.0
Atlixco,Mujer,6438.0,36.0,5.0,2773.0,2030.0
Atlixco,Hombre,5334.0,41.0,5.0,3505.0,1940.0
Coxcatlán,Mujer,2710.0,31.0,4.0,2292.0,1136.0
Coxcatlán,Hombre,2797.0,37.0,4.0,2992.0,1078.0
Coyomeapan,Mujer,4199.0,20.0,5.0,876.0,1414.0
Coyomeapan,Hombre,2437.0,46.0,5.0,3791.0,1124.0
Cuapiaxtla de Madero,Mujer,4212.0,35.0,5.0,1262.0,1591.0
Cuapiaxtla de Madero,Hombre,4040.0,39.0,4.0,4418.0,1479.0
Chiautzingo,Mujer,9051.0,34.0,5.0,2065.0,2106.0
Chiautzingo,Hombre,7392.0,45.0,5.0,3135.0,2019.0
Chinantla,Mujer,1581.0,30.0,4.0,1728.0,918.0
Chinantla,Hombre,2335.0,46.0,5.0,4208.0,1056.0
Huejotzingo,Mujer,8586.0,37.0,5.0,3129.0,2642.0
Huejotzingo,Hombre,8132.0,44.0,5.0,3628.0,2498.0
Ixtacamaxtitlán,Mujer,1929.0,31.0,5.0,2179.0,1153.0
Ixtacamaxtitlán,Hombre,3578.0,41.0,5.0,2694.0,1525.0
Jalpan,Mujer,3863.0,30.0,5.0,1924.0,1541.0
Jalpan,Hombre,4866.0,44.0,5.0,3249.0,1732.0
Jolalpan,Mujer,4021.0,32.0,5.0,1356.0,1432.0
Jolalpan,Hombre,2881.0,44.0,5.0,2828.0,1259.0
Juan C. Bonilla,Mujer,1874.0,32.0,4.0,2588.0,760.0
Juan C. Bonilla,Hombre,2404.0,40.0,5.0,3537.0,820.0
Libres,Mujer,4791.0,35.0,5.0,2232.0,1829.0
Libres,Hombre,4937.0,45.0,5.0,3285.0,1890.0
Mazapiltepec de Juárez,Mujer,2745.0,36.0,5.0,2255.0,1438.0
Mazapiltepec de Juárez,Hombre,3093.0,44.0,5.0,3472.0,1498.0
Mixtla,Mujer,4046.0,42.0,5.0,940.0,1738.0
Mixtla,Hombre,4740.0,38.0,4.0,4264.0,1912.0
Cañada Morelos,Mujer,4603.0,33.0,5.0,1622.0,1612.0
Cañada Morelos,Hombre,4417.0,44.0,5.0,2285.0,1556.0
Palmar de Bravo,Mujer,3943.0,32.0,5.0,2479.0,1478.0
Palmar de Bravo,Hombre,2786.0,46.0,5.0,3508.0,1264.0
Puebla,Mujer,44060.0,37.0,5.0,3794.0,2651.0
Puebla,Hombre,65968.0,43.0,5.0,4389.0,3358.0
Quecholac,Mujer,5174.0,41.0,6.0,2242.0,1821.0
Quecholac,Hombre,4514.0,49.0,5.0,3625.0,1581.0
San Andrés Cholula,Mujer,3202.0,36.0,5.0,3600.0,870.0
San Andrés Cholula,Hombre,5263.0,42.0,5.0,5769.0,1135.0
San Felipe Teotlalcingo,Mujer,4303.0,38.0,5.0,2087.0,1585.0
San Felipe Teotlalcingo,Hombre,3337.0,38.0,4.0,3312.0,1569.0
San Gabriel Chilac,Mujer,12997.0,36.0,6.0,954.0,2375.0
San Gabriel Chilac,Hombre,5522.0,44.0,5.0,2049.0,1635.0
San Gregorio Atzompa,Mujer,807.0,36.0,5.0,2867.0,385.0
San Gregorio Atzompa,Hombre,1203.0,43.0,5.0,3815.0,441.0
San Martín Texmelucan,Mujer,10421.0,36.0,5.0,2948.0,2635.0
San Martín Texmelucan,Hombre,10155.0,41.0,5.0,4202.0,2527.0
San Pedro Cholula,Mujer,5140.0,37.0,5.0,3603.0,1081.0
San Pedro Cholula,Hombre,7052.0,42.0,5.0,4728.0,1218.0
Santiago Miahuatlán,Mujer,6508.0,44.0,5.0,2846.0,1884.0
Santiago Miahuatlán,Hombre,6364.0,48.0,5.0,4576.0,1816.0
Santo Tomás Hueyotlipan,Mujer,5589.0,30.0,4.0,2652.0,1852.0
Santo Tomás Hueyotlipan,Hombre,6245.0,43.0,5.0,3908.0,2096.0
Tecamachalco,Mujer,5265.0,37.0,5.0,3291.0,1737.0
Tecamachalco,Hombre,7019.0,48.0,5.0,4314.0,2085.0
Tehuacán,Mujer,15470.0,40.0,5.0,3608.0,3063.0
Tehuacán,Hombre,16384.0,44.0,5.0,4424.0,3125.0
Tepexi de Rodríguez,Mujer,3246.0,38.0,5.0,2433.0,1461.0
Tepexi de Rodríguez,Hombre,2429.0,49.0,5.0,3823.0,1282.0
Teziutlán,Mujer,8918.0,39.0,5.0,3487.0,2360.0
Teziutlán,Hombre,8576.0,45.0,5.0,4012.0,2345.0
Tlacotepec de Benito Juárez,Mujer,4494.0,35.0,5.0,2197.0,1608.0
Tlacotepec de Benito Juárez,Hombre,4244.0,44.0,5.0,3302.0,1534.0
Tlahuapan,Mujer,5320.0,31.0,4.0,1683.0,1618.0
Tlahuapan,Hombre,4490.0,43.0,5.0,2960.0,1587.0
Tlaltenango,Mujer,726.0,30.0,5.0,1424.0,366.0
Tlaltenango,Hombre,964.0,50.0,5.0,2647.0,405.0
Yehualtepec,Mujer,5252.0,34.0,5.0,1645.0,1819.0
Yehualtepec,Hombre,5737.0,45.0,5.0,4083.0,1781.0
Zacatlán,Mujer,4937.0,35.0,5.0,3116.0,1794.0
Zacatlán,Hombre,5130.0,45.0,5.0,4575.0,1807.0
Zihuateutla,Mujer,2954.0,28.0,4.0,2139.0,1392.0
Zihuateutla,Hombre,4506.0,46.0,5.0,3106.0,1674.0
Zinacatepec,Mujer,3898.0,35.0,5.0,2049.0,1393.0
Zinacatepec,Hombre,3088.0,43.0,5.0,3521.0,1310.0
Amealco de Bonfil,Mujer,2363.0,36.0,5.0,2696.0,622.0
Amealco de Bonfil,Hombre,3146.0,45.0,5.0,3609.0,698.0
Arroyo Seco,Mujer,922.0,37.0,5.0,2790.0,382.0
Arroyo Seco,Hombre,1053.0,44.0,5.0,3668.0,411.0
Cadereyta de Montes,Mujer,1805.0,38.0,5.0,2639.0,558.0
Cadereyta de Montes,Hombre,2953.0,44.0,5.0,3816.0,670.0
Colón,Mujer,2062.0,40.0,5.0,2896.0,577.0
Colón,Hombre,3848.0,46.0,5.0,3776.0,746.0
Corregidora,Mujer,5463.0,39.0,5.0,3526.0,948.0
Corregidora,Hombre,7614.0,44.0,5.0,4478.0,1078.0
Huimilpan,Mujer,1237.0,39.0,5.0,2711.0,444.0
Huimilpan,Hombre,2976.0,45.0,5.0,3868.0,650.0
Jalpan de Serra,Mujer,1369.0,39.0,5.0,3568.0,563.0
Jalpan de Serra,Hombre,1701.0,44.0,5.0,4218.0,593.0
El Marqués,Mujer,4143.0,39.0,5.0,2636.0,790.0
El Marqués,Hombre,7549.0,45.0,5.0,3820.0,1072.0
Pedro Escobedo,Mujer,3341.0,39.0,5.0,2679.0,717.0
Pedro Escobedo,Hombre,4874.0,46.0,5.0,3952.0,842.0
Peñamiller,Mujer,1231.0,34.0,4.0,2081.0,480.0
Peñamiller,Hombre,2223.0,42.0,5.0,3447.0,631.0
Querétaro,Mujer,23465.0,39.0,5.0,3248.0,1567.0
Querétaro,Hombre,37646.0,43.0,5.0,4106.0,2033.0
Tequisquiapan,Mujer,2430.0,39.0,5.0,2579.0,584.0
Tequisquiapan,Hombre,4237.0,45.0,5.0,3295.0,767.0
Tolimán,Mujer,1277.0,33.0,4.0,2208.0,483.0
Tolimán,Hombre,2341.0,43.0,5.0,3390.0,602.0
Cozumel,Mujer,2770.0,39.0,5.0,4448.0,617.0
Cozumel,Hombre,3616.0,44.0,5.0,5936.0,736.0
Felipe Carrillo Puerto,Mujer,2939.0,31.0,4.0,3720.0,671.0
Felipe Carrillo Puerto,Hombre,3131.0,38.0,4.0,4794.0,712.0
Isla Mujeres,Mujer,1194.0,40.0,5.0,4577.0,526.0
Isla Mujeres,Hombre,1808.0,42.0,5.0,6159.0,648.0
Othón P. Blanco,Mujer,9755.0,35.0,4.0,4170.0,1296.0
Othón P. Blanco,Hombre,12447.0,41.0,4.0,5500.0,1491.0
Benito Juárez,Mujer,15157.0,37.0,5.0,5199.0,2597.0
Benito Juárez,Hombre,18593.0,42.0,5.0,5907.0,2612.0
José María Morelos,Mujer,2071.0,29.0,5.0,3047.0,549.0
José María Morelos,Hombre,1962.0,37.0,5.0,4453.0,534.0
Lázaro Cárdenas,Mujer,4073.0,36.0,5.0,4587.0,1307.0
Lázaro Cárdenas,Hombre,5566.0,43.0,5.0,6207.0,1487.0
Solidaridad,Mujer,4268.0,39.0,5.0,5909.0,940.0
Solidaridad,Hombre,6084.0,45.0,5.0,7986.0,1064.0
Ahualulco,Mujer,2187.0,27.0,5.0,1378.0,847.0
Ahualulco,Hombre,3185.0,38.0,5.0,2992.0,1065.0
Aquismón,Mujer,2335.0,28.0,4.0,1938.0,763.0
Aquismón,Hombre,1925.0,39.0,4.0,2494.0,726.0
Catorce,Mujer,1743.0,24.0,5.0,1323.0,674.0
Catorce,Hombre,3061.0,42.0,5.0,2646.0,873.0
Cedral,Mujer,2057.0,36.0,5.0,2410.0,830.0
Cedral,Hombre,1871.0,41.0,5.0,3963.0,751.0
Cerritos,Mujer,1162.0,40.0,5.0,2117.0,568.0
Cerritos,Hombre,1598.0,44.0,5.0,3456.0,671.0
Ciudad del Maíz,Mujer,1656.0,30.0,5.0,2046.0,661.0
Ciudad del Maíz,Hombre,2234.0,38.0,5.0,3406.0,814.0
Ciudad Fernández,Mujer,2649.0,35.0,5.0,3334.0,811.0
Ciudad Fernández,Hombre,2929.0,39.0,5.0,3651.0,846.0
Ciudad Valles,Mujer,6090.0,35.0,4.0,3462.0,1347.0
Ciudad Valles,Hombre,6976.0,41.0,5.0,4197.0,1418.0
Charcas,Mujer,1354.0,35.0,5.0,2575.0,547.0
Charcas,Hombre,2217.0,43.0,5.0,3643.0,717.0
Ebano,Mujer,1992.0,31.0,4.0,3303.0,708.0
Ebano,Hombre,2240.0,40.0,4.0,3432.0,785.0
Huehuetlán,Mujer,1389.0,29.0,4.0,1962.0,642.0
Huehuetlán,Hombre,1696.0,41.0,5.0,2214.0,687.0
Matehuala,Mujer,4076.0,36.0,4.0,3335.0,1055.0
Matehuala,Hombre,4439.0,41.0,5.0,3631.0,1109.0
Mexquitic de Carmona,Mujer,2869.0,33.0,5.0,2122.0,983.0
Mexquitic de Carmona,Hombre,5255.0,41.0,5.0,3513.0,1241.0
Moctezuma,Mujer,1581.0,31.0,5.0,3526.0,730.0
Moctezuma,Hombre,2096.0,43.0,5.0,4407.0,807.0
Rioverde,Mujer,3321.0,36.0,5.0,3271.0,929.0
Rioverde,Hombre,4050.0,40.0,5.0,4106.0,1034.0
Salinas,Mujer,2444.0,34.0,5.0,2893.0,794.0
Salinas,Hombre,2709.0,41.0,5.0,4020.0,917.0
San Ciro de Acosta,Mujer,1510.0,31.0,4.0,2212.0,632.0
San Ciro de Acosta,Hombre,1950.0,37.0,5.0,2614.0,704.0
San Luis Potosí,Mujer,25707.0,37.0,5.0,4497.0,1725.0
San Luis Potosí,Hombre,36168.0,42.0,5.0,5478.0,2119.0
San Martín Chalchicuautla,Mujer,2127.0,29.0,5.0,1921.0,787.0
San Martín Chalchicuautla,Hombre,2022.0,39.0,5.0,2651.0,767.0
Santa María del Río,Mujer,2963.0,32.0,5.0,2562.0,912.0
Santa María del Río,Hombre,3679.0,39.0,5.0,3290.0,1007.0
San Vicente Tancuayalab,Mujer,3192.0,26.0,5.0,1937.0,1080.0
San Vicente Tancuayalab,Hombre,2715.0,41.0,5.0,3383.0,1027.0
Soledad de Graciano Sánchez,Mujer,9650.0,37.0,5.0,4370.0,1019.0
Soledad de Graciano Sánchez,Hombre,13332.0,43.0,5.0,5176.0,1233.0
Tamasopo,Mujer,1531.0,29.0,5.0,3062.0,685.0
Tamasopo,Hombre,2809.0,41.0,5.0,3440.0,836.0
Tamazunchale,Mujer,3339.0,32.0,4.0,2746.0,913.0
Tamazunchale,Hombre,4199.0,40.0,4.0,3477.0,1083.0
Tampamolón Corona,Mujer,1310.0,28.0,4.0,1841.0,651.0
Tampamolón Corona,Hombre,2288.0,43.0,5.0,2476.0,812.0
Tamuín,Mujer,1972.0,33.0,4.0,2374.0,665.0
Tamuín,Hombre,3115.0,43.0,5.0,4546.0,824.0
Tanlajás,Mujer,1816.0,31.0,4.0,2252.0,704.0
Tanlajás,Hombre,2252.0,39.0,5.0,2540.0,782.0
Tanquián de Escobedo,Mujer,1336.0,33.0,5.0,2250.0,575.0
Tanquián de Escobedo,Hombre,2147.0,37.0,4.0,3449.0,767.0
Venado,Mujer,1685.0,31.0,5.0,1636.0,834.0
Venado,Hombre,1837.0,39.0,5.0,2525.0,825.0
Villa de Arriaga,Mujer,2400.0,34.0,5.0,1635.0,830.0
Villa de Arriaga,Hombre,3880.0,41.0,5.0,3461.0,1035.0
Villa de Guadalupe,Mujer,1636.0,25.0,5.0,950.0,715.0
Villa de Guadalupe,Hombre,2586.0,42.0,5.0,2327.0,827.0
Villa de la Paz,Mujer,616.0,33.0,4.0,3634.0,330.0
Villa de la Paz,Hombre,1853.0,44.0,5.0,2728.0,599.0
Villa de Ramos,Mujer,2034.0,34.0,5.0,2002.0,686.0
Villa de Ramos,Hombre,1845.0,39.0,5.0,2924.0,696.0
Villa de Reyes,Mujer,3914.0,37.0,5.0,2927.0,990.0
Villa de Reyes,Hombre,5914.0,45.0,5.0,4033.0,1140.0
Axtla de Terrazas,Mujer,2819.0,29.0,4.0,2203.0,886.0
Axtla de Terrazas,Hombre,2518.0,39.0,5.0,3291.0,849.0
Xilitla,Mujer,1533.0,23.0,4.0,1384.0,662.0
Xilitla,Hombre,1943.0,38.0,4.0,2714.0,761.0
Villa de Arista,Mujer,1762.0,31.0,5.0,1619.0,711.0
Villa de Arista,Hombre,1606.0,41.0,5.0,2019.0,702.0
Ahome,Mujer,13815.0,35.0,5.0,5334.0,2331.0
Ahome,Hombre,17736.0,41.0,5.0,6510.0,2759.0
Angostura,Mujer,2896.0,28.0,4.0,4047.0,1038.0
Angostura,Hombre,3413.0,39.0,5.0,5673.0,1087.0
Badiraguato,Mujer,1716.0,28.0,4.0,4236.0,779.0
Badiraguato,Hombre,2287.0,39.0,5.0,4186.0,912.0
Concordia,Mujer,3532.0,30.0,4.0,3974.0,1214.0
Concordia,Hombre,4005.0,38.0,5.0,5274.0,1277.0
Culiacán,Mujer,25109.0,36.0,5.0,6023.0,1803.0
Culiacán,Hombre,36744.0,40.0,5.0,7108.0,2271.0
Choix,Mujer,3074.0,33.0,5.0,4267.0,1049.0
Choix,Hombre,3019.0,40.0,5.0,5297.0,1063.0
Elota,Mujer,3868.0,29.0,5.0,3968.0,1318.0
Elota,Hombre,4128.0,41.0,5.0,6151.0,1343.0
Escuinapa,Mujer,3539.0,33.0,5.0,4482.0,1338.0
Escuinapa,Hombre,3064.0,40.0,5.0,5670.0,1189.0
El Fuerte,Mujer,3761.0,28.0,4.0,3570.0,1115.0
El Fuerte,Hombre,5389.0,38.0,5.0,5380.0,1387.0
Guasave,Mujer,7936.0,34.0,5.0,4952.0,1685.0
Guasave,Hombre,11204.0,39.0,5.0,5900.0,2087.0
Mazatlán,Mujer,13489.0,37.0,5.0,5232.0,2434.0
Mazatlán,Hombre,18630.0,42.0,5.0,7278.0,3021.0
Mocorito,Mujer,2355.0,29.0,5.0,3041.0,925.0
Mocorito,Hombre,3261.0,39.0,5.0,5112.0,1069.0
Salvador Alvarado,Mujer,3180.0,33.0,4.0,5978.0,1071.0
Salvador Alvarado,Hombre,4011.0,41.0,5.0,6818.0,1240.0
San Ignacio,Mujer,1836.0,30.0,4.0,3966.0,833.0
San Ignacio,Hombre,1895.0,37.0,5.0,5672.0,832.0
Sinaloa,Mujer,4038.0,27.0,5.0,2507.0,1130.0
Sinaloa,Hombre,3698.0,35.0,4.0,4499.0,1070.0
Navolato,Mujer,4523.0,34.0,5.0,4360.0,1263.0
Navolato,Hombre,6852.0,43.0,5.0,5916.0,1527.0
Agua Prieta,Mujer,6062.0,36.0,4.0,5433.0,1532.0
Agua Prieta,Hombre,6576.0,43.0,5.0,7227.0,1570.0
Álamos,Mujer,1850.0,35.0,5.0,2648.0,679.0
Álamos,Hombre,2940.0,36.0,4.0,2584.0,799.0
Bácum,Mujer,3262.0,36.0,5.0,4114.0,1244.0
Bácum,Hombre,3472.0,41.0,4.0,4610.0,1286.0
Baviácora,Mujer,1407.0,41.0,5.0,3316.0,457.0
Baviácora,Hombre,1819.0,38.0,4.0,3718.0,564.0
Caborca,Mujer,2234.0,36.0,4.0,4909.0,912.0
Caborca,Hombre,3366.0,47.0,5.0,6299.0,1172.0
Cajeme,Mujer,15909.0,37.0,5.0,4868.0,2642.0
Cajeme,Hombre,20215.0,43.0,5.0,5891.0,3097.0
Cumpas,Mujer,1669.0,31.0,4.0,4123.0,659.0
Cumpas,Hombre,2683.0,41.0,5.0,5592.0,815.0
Empalme,Mujer,4734.0,36.0,4.0,5020.0,1249.0
Empalme,Hombre,4260.0,44.0,5.0,6296.0,1223.0
Etchojoa,Mujer,3244.0,35.0,4.0,4100.0,1089.0
Etchojoa,Hombre,3579.0,39.0,5.0,4878.0,1149.0
Guaymas,Mujer,5335.0,36.0,4.0,5192.0,1452.0
Guaymas,Hombre,6694.0,42.0,5.0,6695.0,1617.0
Hermosillo,Mujer,23956.0,37.0,4.0,5981.0,1533.0
Hermosillo,Hombre,36886.0,40.0,4.0,6788.0,2040.0
Huatabampo,Mujer,4035.0,34.0,4.0,3894.0,1124.0
Huatabampo,Hombre,4393.0,40.0,5.0,4733.0,1200.0
Huépac,Mujer,1080.0,34.0,5.0,2341.0,353.0
Huépac,Hombre,717.0,38.0,4.0,3707.0,300.0
Imuris,Mujer,976.0,35.0,5.0,2924.0,433.0
Imuris,Hombre,1161.0,39.0,5.0,4276.0,519.0
Magdalena,Mujer,3136.0,34.0,4.0,3652.0,1331.0
Magdalena,Hombre,4533.0,44.0,5.0,4920.0,1686.0
Nacozari de García,Mujer,1943.0,34.0,4.0,6313.0,782.0
Nacozari de García,Hombre,3053.0,46.0,5.0,6810.0,905.0
Navojoa,Mujer,5856.0,36.0,5.0,4717.0,1464.0
Navojoa,Hombre,9079.0,39.0,4.0,5421.0,1856.0
Nogales,Mujer,10668.0,37.0,4.0,4928.0,2604.0
Nogales,Hombre,12683.0,42.0,5.0,5614.0,2909.0
Puerto Peñasco,Mujer,2155.0,32.0,4.0,4577.0,929.0
Puerto Peñasco,Hombre,2855.0,39.0,4.0,5911.0,1061.0
San Luis Río Colorado,Mujer,7405.0,34.0,4.0,4668.0,1949.0
San Luis Río Colorado,Hombre,10330.0,41.0,4.0,6016.0,2317.0
San Miguel de Horcasitas,Mujer,823.0,27.0,5.0,1995.0,427.0
San Miguel de Horcasitas,Hombre,1557.0,48.0,5.0,3548.0,510.0
Santa Ana,Mujer,1760.0,34.0,4.0,5534.0,706.0
Santa Ana,Hombre,2308.0,40.0,4.0,5457.0,789.0
Ures,Mujer,1389.0,30.0,4.0,4492.0,665.0
Ures,Hombre,1952.0,39.0,5.0,5599.0,786.0
Yécora,Mujer,1818.0,27.0,4.0,2580.0,712.0
Yécora,Hombre,1805.0,42.0,5.0,5090.0,720.0
San Ignacio Río Muerto,Mujer,1113.0,35.0,5.0,2517.0,460.0
San Ignacio Río Muerto,Hombre,2579.0,43.0,5.0,4787.0,595.0
Balancán,Mujer,2222.0,30.0,4.0,3759.0,828.0
Balancán,Hombre,3213.0,44.0,5.0,4636.0,945.0
Cárdenas,Mujer,5203.0,35.0,4.0,4436.0,1090.0
Cárdenas,Hombre,7456.0,42.0,5.0,5295.0,1392.0
Centla,Mujer,2191.0,34.0,4.0,3954.0,786.0
Centla,Hombre,4073.0,46.0,5.0,5210.0,1084.0
Centro,Mujer,14722.0,38.0,5.0,5330.0,1256.0
Centro,Hombre,23369.0,43.0,5.0,6078.0,1826.0
Comalcalco,Mujer,5193.0,37.0,4.0,4327.0,1220.0
Comalcalco,Hombre,9287.0,44.0,5.0,5302.0,1601.0
Cunduacán,Mujer,3739.0,32.0,4.0,3690.0,1042.0
Cunduacán,Hombre,6207.0,43.0,4.0,5607.0,1326.0
Huimanguillo,Mujer,4326.0,34.0,4.0,3992.0,1054.0
Huimanguillo,Hombre,8960.0,42.0,4.0,4962.0,1525.0
Jalapa,Mujer,1645.0,32.0,4.0,4358.0,711.0
Jalapa,Hombre,4396.0,42.0,5.0,4596.0,1056.0
Jalpa de Méndez,Mujer,2221.0,31.0,4.0,3996.0,827.0
Jalpa de Méndez,Hombre,4161.0,42.0,4.0,5679.0,1137.0
Jonuta,Mujer,1462.0,29.0,4.0,2638.0,677.0
Jonuta,Hombre,4647.0,37.0,4.0,3195.0,1052.0
Macuspana,Mujer,5687.0,33.0,4.0,3997.0,1335.0
Macuspana,Hombre,8055.0,43.0,5.0,5231.0,1527.0
Nacajuca,Mujer,3378.0,37.0,5.0,4355.0,856.0
Nacajuca,Hombre,5745.0,44.0,5.0,5060.0,1157.0
Paraíso,Mujer,2049.0,35.0,4.0,4851.0,751.0
Paraíso,Hombre,3553.0,45.0,5.0,6428.0,963.0
Teapa,Mujer,2078.0,34.0,4.0,3494.0,725.0
Teapa,Hombre,2483.0,44.0,5.0,4931.0,752.0
Tenosique,Mujer,2387.0,36.0,5.0,4075.0,815.0
Tenosique,Hombre,3604.0,45.0,5.0,5491.0,1001.0
Aldama,Mujer,2492.0,32.0,4.0,2539.0,960.0
Aldama,Hombre,2838.0,41.0,4.0,4838.0,995.0
Altamira,Mujer,4726.0,36.0,4.0,3846.0,780.0
Altamira,Hombre,7887.0,43.0,5.0,5593.0,1003.0
Ciudad Madero,Mujer,5907.0,37.0,4.0,4886.0,801.0
Ciudad Madero,Hombre,7579.0,41.0,5.0,6308.0,914.0
González,Mujer,2174.0,32.0,4.0,3449.0,782.0
González,Hombre,3079.0,37.0,4.0,3208.0,951.0
Güémez,Mujer,1794.0,30.0,4.0,3405.0,837.0
Güémez,Hombre,1942.0,38.0,4.0,3680.0,866.0
Hidalgo,Mujer,3602.0,34.0,4.0,3911.0,1177.0
Hidalgo,Hombre,5297.0,41.0,5.0,5090.0,1312.0
Llera,Mujer,1709.0,25.0,4.0,2833.0,710.0
Llera,Hombre,1995.0,31.0,4.0,3449.0,727.0
El Mante,Mujer,5525.0,32.0,4.0,3559.0,1464.0
El Mante,Hombre,7862.0,37.0,4.0,4675.0,1691.0
Méndez,Mujer,531.0,32.0,4.0,1585.0,310.0
Méndez,Hombre,1037.0,31.0,5.0,1265.0,461.0
Miguel Alemán,Mujer,1474.0,32.0,4.0,4353.0,776.0
Miguel Alemán,Hombre,2351.0,40.0,5.0,4803.0,966.0
Miquihuana,Mujer,1219.0,25.0,4.0,2233.0,636.0
Miquihuana,Hombre,1277.0,30.0,4.0,3384.0,563.0
Nuevo Laredo,Mujer,13355.0,37.0,4.0,4441.0,2436.0
Nuevo Laredo,Hombre,19764.0,40.0,5.0,5357.0,2895.0
Reynosa,Mujer,22428.0,37.0,4.0,5074.0,2465.0
Reynosa,Hombre,29957.0,42.0,5.0,5824.0,2967.0
Río Bravo,Mujer,5697.0,38.0,4.0,5253.0,1411.0
Río Bravo,Hombre,6162.0,39.0,4.0,5453.0,1476.0
San Carlos,Mujer,1697.0,27.0,4.0,2205.0,785.0
San Carlos,Hombre,3447.0,27.0,4.0,3310.0,1017.0
San Fernando,Mujer,1972.0,35.0,4.0,3575.0,798.0
San Fernando,Hombre,3533.0,42.0,5.0,5334.0,926.0
Soto la Marina,Mujer,1883.0,28.0,4.0,2829.0,749.0
Soto la Marina,Hombre,3660.0,35.0,4.0,4440.0,1079.0
Tampico,Mujer,8590.0,37.0,4.0,4915.0,954.0
Tampico,Hombre,12223.0,41.0,4.0,5972.0,1175.0
Tula,Mujer,1409.0,25.0,4.0,2393.0,784.0
Tula,Hombre,2188.0,35.0,4.0,2337.0,920.0
Valle Hermoso,Mujer,4787.0,35.0,4.0,5313.0,1325.0
Valle Hermoso,Hombre,5435.0,38.0,4.0,5011.0,1389.0
Victoria,Mujer,14215.0,36.0,4.0,4500.0,2465.0
Victoria,Hombre,14965.0,37.0,4.0,4824.0,2492.0
Villagrán,Mujer,3145.0,33.0,5.0,2816.0,1264.0
Villagrán,Hombre,4704.0,43.0,5.0,4518.0,1526.0
Xicoténcatl,Mujer,1556.0,23.0,4.0,2675.0,703.0
Xicoténcatl,Hombre,2020.0,34.0,4.0,3738.0,792.0
Atlangatepec,Mujer,528.0,33.0,5.0,1952.0,233.0
Atlangatepec,Hombre,686.0,47.0,5.0,3836.0,255.0
Atltzayanca,Mujer,1006.0,32.0,5.0,2766.0,297.0
Atltzayanca,Hombre,1217.0,41.0,5.0,3327.0,333.0
Apizaco,Mujer,3067.0,36.0,5.0,3443.0,453.0
Apizaco,Hombre,3753.0,43.0,5.0,4492.0,518.0
Calpulalpan,Mujer,2251.0,37.0,5.0,3292.0,421.0
Calpulalpan,Hombre,2632.0,44.0,5.0,4729.0,466.0
El Carmen Tequexquitla,Mujer,749.0,35.0,5.0,3182.0,300.0
El Carmen Tequexquitla,Hombre,1228.0,46.0,5.0,3990.0,373.0
Cuapiaxtla,Mujer,720.0,32.0,5.0,2577.0,280.0
Cuapiaxtla,Hombre,963.0,48.0,5.0,3721.0,320.0
Chiautempan,Mujer,2925.0,37.0,4.0,3221.0,427.0
Chiautempan,Hombre,3684.0,40.0,4.0,4299.0,490.0
Muñoz de Domingo Arenas,Mujer,375.0,34.0,5.0,2085.0,178.0
Muñoz de Domingo Arenas,Hombre,417.0,42.0,5.0,3352.0,185.0
Españita,Mujer,549.0,33.0,4.0,2838.0,228.0
Españita,Hombre,459.0,46.0,5.0,4280.0,209.0
Huamantla,Mujer,3146.0,38.0,5.0,3477.0,512.0
Huamantla,Hombre,3910.0,45.0,5.0,4472.0,574.0
Hueyotlipan,Mujer,904.0,34.0,5.0,3138.0,286.0
Hueyotlipan,Hombre,1108.0,41.0,5.0,4035.0,319.0
Ixtacuixtla de Mariano Matamoros,Mujer,1699.0,36.0,5.0,2847.0,418.0
Ixtacuixtla de Mariano Matamoros,Hombre,1859.0,40.0,5.0,4103.0,421.0
Tepetitla de Lardizábal,Mujer,1144.0,34.0,5.0,2827.0,335.0
Tepetitla de Lardizábal,Hombre,1231.0,44.0,5.0,4607.0,343.0
Nanacamilpa de Mariano Arista,Mujer,1487.0,37.0,4.0,3671.0,353.0
Nanacamilpa de Mariano Arista,Hombre,1379.0,43.0,5.0,4487.0,359.0
Natívitas,Mujer,911.0,35.0,5.0,3275.0,289.0
Natívitas,Hombre,913.0,43.0,5.0,3749.0,293.0
Panotla,Mujer,1538.0,35.0,5.0,3592.0,370.0
Panotla,Hombre,1590.0,43.0,5.0,4595.0,381.0
San Pablo del Monte,Mujer,3278.0,37.0,5.0,3233.0,437.0
San Pablo del Monte,Hombre,5241.0,42.0,5.0,4057.0,608.0
