Column1,Chengyu,Appearances,Topic
897,横冲直撞,3,International news
898,要言不烦,1,None
899,直言不讳,13,International news
900,触目惊心,43,Hong Kong - Macau politics
901,无家可归,4,International news
902,一劳永逸,33,mainland China politics
903,吐故纳新,5,culture
904,令人发指,22,sports
905,立竿见影,13,financial news
906,地利人和,3,sports
907,喜气洋洋,4,culture
908,琳琅满目,10,financial news
909,瓜熟蒂落,3,International news
910,从头至尾,1,None
911,无理取闹,6,Hong Kong - Macau politics
912,不惑之年,2,None
913,先声夺人,2,financial news
914,自由自在,1,mainland China politics
915,上行下效,4,mainland China politics
916,循序渐进,32,Hong Kong - Macau politics
917,独树一帜,7,culture
918,气急败坏,7,International news
919,川流不息,11,Hong Kong - Macau politics
920,欣欣向荣,41,International news
921,趁火打劫,13,Hong Kong - Macau politics
922,先入为主,1,None
923,两败俱伤,2,financial news
924,短兵相接,4,mainland China politics
925,气势汹汹,5,entertainment
926,无地自容,1,mainland China politics
927,闻过则喜,4,mainland China politics
928,名山大川,1,mainland China politics
929,分崩离析,1,mainland China politics
930,唯我独尊,34,International news
931,百炼成钢,7,mainland China politics
932,潜移默化,29,culture
933,除恶务尽,3,mainland China politics
934,皆大欢喜,3,mainland China politics
935,人人自危,3,Hong Kong - Macau politics
936,人尽其才,13,financial news
937,匹夫有责,30,culture
938,数一数二,3,International news
939,近水楼台,3,Hong Kong - Macau politics
940,众望所归,5,sports
941,层出不穷,67,financial news
942,一唱一和,5,International news
943,相得益彰,87,financial news
944,各行其是,4,International news
945,表里不一,4,culture
946,乔装打扮,1,mainland China politics
947,举一反三,6,financial news
948,夜不闭户,1,culture
949,居高临下,8,culture
950,内忧外患,33,culture
951,不能自拔,10,International news
952,善始善终,22,mainland China politics
953,尽力而为,27,financial news
954,不假思索,1,mainland China politics
955,公事公办,1,mainland China politics
956,量力而行,34,financial news
957,驾轻就熟,2,None
958,拨乱反正,17,Hong Kong - Macau politics
959,杳无音信,1,None
960,拉拉扯扯,2,mainland China politics
961,杀身成仁,1,culture
962,素不相识,2,Hong Kong - Macau politics
963,临阵脱逃,7,mainland China politics
964,求全责备,5,mainland China politics
965,处心积虑,23,Hong Kong - Macau politics
966,以身试法,9,Hong Kong - Macau politics
967,根深叶茂,11,culture
968,欺人之谈,1,financial news
969,掩人耳目,2,financial news
970,夜以继日,48,sports
971,亦步亦趋,3,sports
972,手舞足蹈,1,None
973,自取灭亡,2,Hong Kong - Macau politics
974,自食其力,4,entertainment
975,改弦更张,14,International news
976,大声疾呼,7,International news
977,灭顶之灾,6,culture
978,怨声载道,2,Hong Kong - Macau politics
979,文过饰非,7,mainland China politics
980,始终如一,42,culture
981,自以为是,8,sports
982,混淆是非,32,Hong Kong - Macau politics
983,肺腑之言,6,culture
984,巧立名目,4,Hong Kong - Macau politics
985,故步自封,6,culture
986,挺身而出,186,entertainment
987,大功告成,12,mainland China politics
988,闭关自守,2,culture
989,拍手称快,4,None
990,字斟句酌,1,None
991,日新月异,108,culture
992,空中楼阁,10,mainland China politics
993,本末倒置,5,mainland China politics
994,有始有终,1,mainland China politics
995,无以复加,4,International news
996,锐不可当,3,mainland China politics
997,比比皆是,17,culture
998,风平浪静,28,financial news
999,颠倒黑白,84,Hong Kong - Macau politics
1000,祸从天降,2,culture
1001,庞然大物,8,sports
1002,欺软怕硬,1,International news
1003,开源节流,1,financial news
1004,扶老携幼,1,Hong Kong - Macau politics
1005,积劳成疾,3,mainland China politics
1006,大言不惭,13,International news
1007,无边无际,1,financial news
1008,智勇双全,2,entertainment
1009,焦头烂额,3,International news
1010,妄自尊大,10,culture
1011,曾几何时,11,culture
1012,飞扬跋扈,2,mainland China politics
1013,良辰美景,1,None
1014,锦绣河山,2,culture
1015,徒劳无功,5,Hong Kong - Macau politics
1016,为人师表,2,mainland China politics
1017,重于泰山,40,mainland China politics
1018,牵肠挂肚,4,mainland China politics
1019,惨不忍睹,1,Hong Kong - Macau politics
1020,守口如瓶,2,mainland China politics
1021,患得患失,13,financial news
1022,豁然开朗,2,culture
1023,公而忘私,6,mainland China politics
1024,八面玲珑,3,sports
1025,心服口服,3,mainland China politics
1026,饱食终日,6,mainland China politics
1027,恋恋不舍,1,mainland China politics
1028,枕戈待旦,11,culture
1029,闭目塞听,3,mainland China politics
1030,同心协力,47,Hong Kong - Macau politics
1031,方兴未艾,44,sports
1032,不合时宜,19,entertainment
1033,颠沛流离,7,culture
1034,债台高筑,4,Hong Kong - Macau politics
1035,粉身碎骨,3,International news
1036,肃然起敬,13,mainland China politics
1037,一清二楚,3,mainland China politics
1038,忍无可忍,2,Hong Kong - Macau politics
1039,不得要领,2,mainland China politics
1040,不偏不倚,1,mainland China politics
1041,四面楚歌,3,Hong Kong - Macau politics
1042,流离失所,7,International news
1043,设身处地,9,culture
1044,唇齿相依,9,mainland China politics
1045,座无虚席,5,culture
1046,无计可施,1,Hong Kong - Macau politics
1047,作壁上观,2,mainland China politics
1048,大同小异,1,culture
1049,无坚不摧,56,mainland China politics
1050,聚精会神,16,financial news
1051,习以为常,7,International news
1052,屈指可数,2,culture
1053,搬弄是非,10,International news
1054,一无是处,3,sports
1055,铜墙铁壁,57,culture
1056,剑拔弩张,4,International news
1057,敬而远之,2,mainland China politics
1058,水乳交融,5,culture
1059,面红耳赤,1,None
1060,巧言令色,2,mainland China politics
1061,老气横秋,1,mainland China politics
1062,励精图治,24,mainland China politics
1063,坐立不安,2,International news
1064,以牙还牙,1,International news
1065,轰轰烈烈,28,culture
1066,包罗万象,1,mainland China politics
1067,兼收并蓄,27,culture
1068,化为乌有,1,mainland China politics
1069,五湖四海,19,culture
1070,六神无主,1,culture
1071,千奇百怪,2,mainland China politics
1072,天下太平,5,culture
1073,耐人寻味,15,financial news
1074,现身说法,3,Hong Kong - Macau politics
1075,前赴后继,69,culture
1076,推波助澜,15,entertainment
1077,循规蹈矩,1,culture
1078,表里如一,16,International news
1079,叹为观止,8,International news
1080,摇尾乞怜,5,Hong Kong - Macau politics
1081,胡思乱想,1,mainland China politics
1082,天壤之别,7,culture
1083,中流砥柱,59,mainland China politics
1084,惊涛骇浪,86,mainland China politics
1085,咫尺天涯,2,Hong Kong - Macau politics
1086,孤家寡人,6,sports
1087,万家灯火,16,entertainment
1088,鸿篇巨制,4,culture
1089,南腔北调,2,culture
1090,行云流水,1,mainland China politics
1091,休养生息,10,financial news
1092,一举成名,1,mainland China politics
1093,得寸进尺,6,International news
1094,家破人亡,2,culture
1095,说三道四,51,Hong Kong - Macau politics
1096,三心二意,4,financial news
1097,言而无信,10,International news
1098,微乎其微,2,culture
1099,重见天日,2,mainland China politics
1100,虚度年华,3,culture
1101,不见天日,1,None
1102,一无所获,3,Hong Kong - Macau politics
1103,一无所有,1,financial news
1104,大开眼界,1,financial news
1105,济济一堂,1,mainland China politics
1106,一哄而散,1,mainland China politics
1107,一落千丈,3,sports
1108,面目全非,2,Hong Kong - Macau politics
1109,乐在其中,3,culture
1110,金石为开,2,International news
1111,高屋建瓴,31,culture
1112,洛阳纸贵,1,None
1113,汗马功劳,4,mainland China politics
1114,固若金汤,3,culture
1115,有恃无恐,9,Hong Kong - Macau politics
1116,欲盖弥彰,2,International news
1117,风吹草动,6,Hong Kong - Macau politics
1118,暗室不欺,1,mainland China politics
1119,求贤若渴,2,financial news
1120,克勤克俭,1,culture
1121,蜻蜓点水,12,mainland China politics
1122,磨杵成针,1,culture
1123,路不拾遗,1,culture
1124,黄粱一梦,1,Hong Kong - Macau politics
1125,拔苗助长,3,financial news
1126,重蹈覆辙,4,mainland China politics
1127,闻鸡起舞,2,mainland China politics
1128,巾帼英雄,3,mainland China politics
1129,天怒人怨,1,Hong Kong - Macau politics
1130,人情世故,1,culture
1131,锲而不舍,73,sports
1132,和衷共济,51,Hong Kong - Macau politics
1133,口不应心,1,mainland China politics
1134,言为心声,2,culture
1135,诚惶诚恐,1,None
1136,有条不紊,19,sports
1137,地广人稀,1,mainland China politics
1138,痛心疾首,5,Hong Kong - Macau politics
1139,无忧无虑,2,mainland China politics
1140,风雨如晦,7,culture
1141,旗开得胜,1,mainland China politics
1142,后发制人,1,financial news
1143,任劳任怨,13,mainland China politics
1144,迥然不同,1,culture
1145,饮水思源,26,culture
1146,气喘吁吁,1,culture
1147,何乐不为,1,None
1148,愁肠百结,1,culture
1149,天寒地冻,4,culture
1150,披坚执锐,8,sports
1151,披沙拣金,1,culture
1152,腰缠万贯,3,mainland China politics
1153,死而复生,1,None
1154,惹是生非,2,International news
1155,待价而沽,2,culture
1156,拭目以待,4,financial news
1157,摇唇鼓舌,3,Hong Kong - Macau politics
1158,悲欢离合,1,None
1159,姹紫嫣红,12,culture
1160,雄心勃勃,1,financial news
1161,博学多才,1,mainland China politics
1162,慷慨激昂,3,Hong Kong - Macau politics
1163,丧尽天良,2,Hong Kong - Macau politics
1164,赤胆忠心,6,mainland China politics
1165,隔靴搔痒,4,mainland China politics
1166,当务之急,110,Hong Kong - Macau politics
1167,人迹罕至,3,mainland China politics
1168,绝无仅有,6,culture
1169,出乎预料,2,sports
1170,出乎意料,2,mainland China politics
1171,毁于一旦,8,culture
1172,妄自菲薄,14,mainland China politics
1173,不得而知,2,International news
1174,莫衷一是,3,culture
1175,束手无策,12,sports
1176,一无所成,1,mainland China politics
1177,化险为夷,37,financial news
1178,绳之以法,14,Hong Kong - Macau politics
1179,祸起萧墙,3,culture
1180,浩如烟海,6,culture
1181,相敬如宾,1,mainland China politics
1182,如履薄冰,32,sports
1183,披星戴月,8,mainland China politics
1184,稍纵即逝,8,sports
1185,点石成金,2,mainland China politics
1186,翻来覆去,4,culture
1187,积习难改,2,International news
1188,流言蜚语,2,financial news
1189,如出一辙,9,sports
1190,力挽狂澜,10,International news
1191,火上浇油,16,Hong Kong - Macau politics
1192,光阴似箭,1,None
1193,三番五次,5,financial news
1194,因噎废食,6,financial news
1195,鳏寡孤独,2,financial news
1196,言之有理,3,mainland China politics
1197,目不暇接,2,mainland China politics
1198,啧有烦言,1,mainland China politics
1199,言犹在耳,8,Hong Kong - Macau politics
1200,风吹浪打,22,mainland China politics
1201,待人接物,1,mainland China politics
1202,沧海桑田,26,Hong Kong - Macau politics
1203,炙手可热,1,sports
1204,青出于蓝,2,None
1205,空谷足音,2,mainland China politics
1206,是非曲直,14,International news
1207,图穷匕见,1,Hong Kong - Macau politics
1208,今非昔比,6,financial news
1209,今不如昔,1,None
1210,民不聊生,8,culture
1211,生灵涂炭,5,culture
1212,刀山剑树,1,culture
1213,总而言之,3,Hong Kong - Macau politics
1214,赤子之心,72,mainland China politics
1215,人心向背,28,mainland China politics
1216,文恬武嬉,1,mainland China politics
1217,万马齐喑,1,None
1218,万马奔腾,7,financial news
1219,暴风骤雨,7,culture
1220,步履蹒跚,1,culture
1221,因材施教,11,culture
1222,不约而同,11,financial news
1223,以假乱真,2,financial news
1224,一意孤行,65,International news
1225,耿耿于怀,2,International news
1226,吃苦耐劳,16,Hong Kong - Macau politics
1227,倒海翻江,1,mainland China politics
1228,津津乐道,13,sports
1229,趁虚而入,1,International news
1230,雨过天青,2,Hong Kong - Macau politics
1231,我行我素,13,International news
1232,雅俗共赏,1,culture
1233,深入人心,160,culture
1234,汗流浃背,3,mainland China politics
1235,无所不为,1,mainland China politics
1236,兴妖作怪,1,Hong Kong - Macau politics
1237,无所顾忌,1,International news
1238,避实就虚,6,mainland China politics
1239,哀鸿遍野,2,culture
1240,临阵磨枪,1,None
1241,春华秋实,30,mainland China politics
1242,大放厥词,24,Hong Kong - Macau politics
1243,谨言慎行,6,Hong Kong - Macau politics
1244,官样文章,2,Hong Kong - Macau politics
1245,颠扑不破,8,International news
1246,巧舌如簧,4,financial news
1247,唉声叹气,1,sports
1248,艰苦卓绝,158,culture
1249,跃然纸上,6,culture
1250,逃之夭夭,2,Hong Kong - Macau politics
1251,信口开河,6,International news
1252,徒劳无益,1,mainland China politics
1253,金戈铁马,1,None
1254,以邻为壑,32,financial news
1255,感激涕零,3,Hong Kong - Macau politics
1256,震天动地,1,mainland China politics
1257,声名狼藉,2,International news
1258,不了了之,3,International news
1259,以儆效尤,5,Hong Kong - Macau politics
1260,克己奉公,12,mainland China politics
1261,天南地北,6,sports
1262,兴师问罪,1,None
1263,大公无私,9,culture
1264,时不我待,92,mainland China politics
1265,见所未见,1,mainland China politics
1266,见义勇为,24,entertainment
1267,手足无措,3,mainland China politics
1268,言之凿凿,4,International news
1269,知无不言,2,culture
1270,乐善好施,5,mainland China politics
1271,肆无忌惮,42,Hong Kong - Macau politics
1272,汹涌澎湃,2,mainland China politics
1273,摩拳擦掌,1,mainland China politics
1274,鳞次栉比,3,financial news
1275,严阵以待,9,mainland China politics
1276,夙兴夜寐,9,mainland China politics
1277,四面八方,26,mainland China politics
1278,如雷贯耳,1,culture
1279,画地为牢,3,mainland China politics
1280,悬崖勒马,16,Hong Kong - Macau politics
1281,另眼相看,1,mainland China politics
1282,视同儿戏,1,International news
1283,沁人心脾,3,culture
1284,灯红酒绿,2,mainland China politics
1285,暴殄天物,1,culture
1286,从谏如流,2,mainland China politics
1287,博览群书,3,culture
1288,正本清源,55,Hong Kong - Macau politics
1289,费尽心机,6,International news
1290,将心比心,17,culture
1291,谨小慎微,1,culture
1292,兴利除弊,3,mainland China politics
1293,穷奢极欲,2,culture
1294,翻云覆雨,4,International news
1295,无价之宝,1,mainland China politics
1296,力排众议,1,mainland China politics
1297,虚与委蛇,2,culture
1298,瞒天过海,2,None
1299,喜怒哀乐,6,culture
1300,心旷神怡,2,culture
1301,砥柱中流,7,culture
1302,经天纬地,1,mainland China politics
1303,吹吹打打,1,None
1304,孜孜不倦,16,International news
1305,绳锯木断,3,mainland China politics
1306,层峦叠嶂,1,mainland China politics
1307,登堂入室,1,Hong Kong - Macau politics
1308,若隐若现,2,financial news
1309,生离死别,2,mainland China politics
1310,情有可原,2,mainland China politics
1311,亲痛仇快,1,financial news
1312,螳臂当车,9,Hong Kong - Macau politics
1313,溢于言表,8,mainland China politics
1314,出其不意,1,mainland China politics
1315,衣衫褴褛,2,culture
1316,颐指气使,7,International news
1317,众说纷纭,2,mainland China politics
1318,披肝沥胆,3,culture
1319,依然故我,1,None
1320,毛骨悚然,2,International news
1321,理直气壮,25,financial news
1322,心无二用,1,mainland China politics
1323,海晏河清,9,mainland China politics
1324,故态复萌,1,financial news
1325,五花八门,7,International news
1326,千山万水,49,mainland China politics
1327,短小精悍,1,culture
1328,无所用心,7,mainland China politics
1329,当仁不让,2,financial news
1330,非亲非故,2,mainland China politics
1331,名存实亡,5,Hong Kong - Macau politics
1332,山高水长,2,None
1333,百战不殆,4,mainland China politics
1334,天罗地网,1,mainland China politics
1335,叠床架屋,2,culture
1336,国计民生,40,financial news
1337,荣华富贵,3,Hong Kong - Macau politics
1338,咄咄怪事,4,Hong Kong - Macau politics
1339,坚如磐石,65,mainland China politics
1340,魂牵梦萦,3,mainland China politics
1341,相提并论,7,culture
1342,指名道姓,4,financial news
1343,男耕女织,1,financial news
1344,深思熟虑,10,financial news
1345,无出其右,2,mainland China politics
1346,大书特书,4,mainland China politics
1347,积土成山,4,mainland China politics
1348,集腋成裘,5,culture
1349,聚沙成塔,13,financial news
1350,自强不息,128,mainland China politics
1351,国泰民安,25,culture
1352,敷衍了事,5,mainland China politics
1353,再接再厉,86,mainland China politics
1354,评头论足,1,mainland China politics
1355,息事宁人,2,culture
1356,开宗明义,11,Hong Kong - Macau politics
1357,通力合作,25,International news
1358,闭门造车,14,International news
1359,郁郁葱葱,4,sports
1360,一概而论,1,mainland China politics
1361,好逸恶劳,2,mainland China politics
1362,惊慌失措,9,International news
1363,踌躇满志,1,mainland China politics
1364,焕然一新,40,mainland China politics
1365,长治久安,214,Hong Kong - Macau politics
1366,钟鸣鼎食,1,mainland China politics
1367,锦衣玉食,1,culture
1368,淡泊明志,1,culture
1369,如影随形,8,financial news
1370,风驰电掣,7,mainland China politics
1371,轻于鸿毛,1,culture
1372,欢欣鼓舞,7,Hong Kong - Macau politics
1373,你死我活,6,International news
1374,任其自然,1,mainland China politics
1375,事不关己,8,sports
1376,情不自禁,5,International news
1377,各抒己见,2,mainland China politics
1378,前车之鉴,2,mainland China politics
1379,长篇累牍,1,mainland China politics
1380,网开一面,4,mainland China politics
1381,惩前毖后,10,culture
1382,舍生取义,8,culture
1383,杀鸡取卵,8,mainland China politics
1384,坚强不屈,1,culture
1385,备而不用,4,mainland China politics
1386,失之交臂,3,culture
1387,欣喜若狂,1,mainland China politics
1388,事在人为,9,financial news
1389,战无不胜,12,mainland China politics
1390,所向披靡,10,mainland China politics
1391,大义凛然,6,culture
1392,雕虫小技,2,International news
1393,必由之路,149,mainland China politics
1394,碌碌无为,7,culture
1395,兼容并包,1,mainland China politics
1396,淋漓尽致,28,International news
1397,血气方刚,1,mainland China politics
1398,轻重缓急,14,financial news
1399,心血来潮,6,International news
1400,神采飞扬,3,culture
1401,络绎不绝,11,financial news
1402,平心而论,4,mainland China politics
1403,行色匆匆,1,mainland China politics
1404,不可终日,1,None
1405,铭心刻骨,3,financial news
1406,言外之意,3,International news
1407,视若无睹,1,International news
1408,诗情画意,4,culture
1409,急风暴雨,1,mainland China politics
1410,人山人海,2,financial news
1411,生杀予夺,1,culture
1412,留有余地,2,financial news
1413,助纣为虐,3,Hong Kong - Macau politics
1414,树大招风,1,None
1415,高官厚禄,5,culture
1416,炉火纯青,2,Hong Kong - Macau politics
1417,旁门左道,2,International news
1418,扶危济困,22,mainland China politics
1419,雪中送炭,48,entertainment
1420,荡气回肠,21,mainland China politics
1421,以德报怨,1,None
1422,真心实意,19,culture
1423,应接不暇,2,financial news
1424,未雨绸缪,61,financial news
1425,耳熟能详,13,culture
1426,耳聪目明,1,financial news
1427,身经百战,1,culture
1428,体无完肤,1,financial news
1429,坐而论道,19,sports
1430,振振有词,3,mainland China politics
1431,促膝谈心,1,None
1432,业精于勤,2,mainland China politics
1433,厚颜无耻,3,culture
1434,五谷丰登,4,mainland China politics
1435,恨之入骨,1,mainland China politics
1436,深恶痛绝,27,International news
1437,来之不易,319,sports
1438,心术不正,1,mainland China politics
1439,举手之劳,1,mainland China politics
1440,千锤百炼,17,sports
1441,将信将疑,1,mainland China politics
1442,白发苍苍,5,mainland China politics
1443,山明水秀,1,mainland China politics
1444,丰功伟绩,10,culture
1445,封妻荫子,1,None
1446,步步高升,1,None
1447,风调雨顺,3,culture
1448,良师益友,1,culture
1449,玉石俱焚,6,Hong Kong - Macau politics
1450,良药苦口,1,mainland China politics
1451,名垂青史,2,mainland China politics
1452,置之度外,6,mainland China politics
1453,无可厚非,10,financial news
1454,慷慨陈词,5,Hong Kong - Macau politics
1455,数典忘祖,9,Hong Kong - Macau politics
1456,宵衣旰食,4,mainland China politics
1457,草草了事,2,mainland China politics
1458,沙里淘金,1,mainland China politics
1459,除旧布新,5,culture
1460,耀武扬威,1,International news
1461,事倍功半,3,mainland China politics
1462,为所欲为,20,Hong Kong - Macau politics
1463,指手划脚,1,International news
1464,文质彬彬,1,culture
1465,狂风暴雨,6,financial news
1466,气贯长虹,6,culture
1467,承上启下,18,culture
1468,深谋远虑,17,mainland China politics
1469,鉴往知来,11,culture
1470,萧规曹随,1,financial news
1471,如法炮制,1,None
1472,健步如飞,1,None
1473,离乡背井,1,financial news
1474,沽名钓誉,2,mainland China politics
1475,欺世盗名,5,International news
1476,不堪回首,4,culture
1477,心甘情愿,6,Hong Kong - Macau politics
1478,其势汹汹,1,None
1479,仰不愧天,1,None
1480,荒诞无稽,2,International news
1481,天伦之乐,2,entertainment
1482,见怪不怪,4,International news
1483,固执己见,1,None
1484,见多识广,3,mainland China politics
1485,一蹴而就,62,sports
1486,杀一儆百,1,mainland China politics
1487,反躬自省,8,International news
1488,人才辈出,5,mainland China politics
1489,多事之秋,2,mainland China politics
1490,长夜漫漫,1,None
1491,永无止境,49,mainland China politics
1492,广开言路,8,mainland China politics
1493,苟延残喘,1,mainland China politics
1494,石破天惊,3,mainland China politics
1495,翻天覆地,63,culture
1496,冥顽不灵,1,Hong Kong - Macau politics
1497,滴水穿石,17,culture
1498,激浊扬清,31,Hong Kong - Macau politics
1499,饮鸩止渴,4,financial news
1500,昏昏欲睡,1,mainland China politics
1501,痛定思痛,8,International news
1502,龙腾虎跃,1,financial news
1503,鱼龙混杂,4,culture
1504,轻车熟路,2,International news
1505,并行不悖,7,Hong Kong - Macau politics
1506,包办代替,3,mainland China politics
1507,作恶多端,2,Hong Kong - Macau politics
1508,风吹雨打,20,sports
1509,舍生忘死,105,sports
1510,赏罚分明,2,mainland China politics
1511,革故鼎新,42,mainland China politics
1512,耳提面命,2,Hong Kong - Macau politics
1513,融会贯通,36,mainland China politics
1514,千差万别,25,financial news
1515,恬不知耻,4,Hong Kong - Macau politics
1516,运筹帷幄,21,financial news
1517,想方设法,59,International news
1518,荒无人烟,1,None
1519,柳暗花明,11,culture
1520,党同伐异,1,mainland China politics
1521,克敌制胜,17,culture
1522,欺上瞒下,5,mainland China politics
1523,奋不顾身,28,culture
1524,山珍海味,1,mainland China politics
1525,削足适履,3,culture
1526,自暴自弃,3,mainland China politics
1527,寻章摘句,1,culture
1528,嗷嗷待哺,2,mainland China politics
1529,引经据典,1,culture
1530,百家争鸣,4,culture
1531,就事论事,3,Hong Kong - Macau politics
1532,提纲挈领,6,culture
1533,骄傲自满,19,mainland China politics
1534,触类旁通,1,financial news
1535,怨天尤人,7,International news
1536,虚怀若谷,6,mainland China politics
1537,大获全胜,3,financial news
1538,春寒料峭,1,mainland China politics
1539,不屑一顾,4,International news
1540,闭关锁国,4,culture
1541,拨云见日,21,financial news
1542,兵临城下,5,culture
1543,择善而从,1,mainland China politics
1544,赤县神州,1,mainland China politics
1545,爱惜羽毛,10,mainland China politics
1546,摩肩接踵,8,financial news
1547,冲锋陷阵,58,mainland China politics
1548,物换星移,9,culture
1549,波谲云诡,14,mainland China politics
1550,忧心忡忡,10,International news
1551,忍俊不禁,1,culture
1552,萎靡不振,3,mainland China politics
1553,穷乡僻壤,4,culture
1554,铢积寸累,2,financial news
1555,沸沸扬扬,1,None
1556,手足之情,1,None
1557,康庄大道,44,mainland China politics
1558,光天化日,9,Hong Kong - Macau politics
1559,安邦定国,7,mainland China politics
1560,招财进宝,1,financial news
1561,窗明几净,2,mainland China politics
1562,光辉灿烂,13,mainland China politics
1563,竭尽全力,25,mainland China politics
1564,精神抖擞,3,culture
1565,熙熙攘攘,6,culture
1566,当局者迷,3,International news
1567,如火如荼,21,sports
1568,凤毛麟角,1,None
1569,白纸黑字,5,Hong Kong - Macau politics
1570,光怪陆离,2,Hong Kong - Macau politics
1571,九霄云外,1,International news
1572,不可胜数,1,Hong Kong - Macau politics
1573,悲天悯人,1,mainland China politics
1574,前仆后继,21,culture
1575,恣意妄为,12,Hong Kong - Macau politics
1576,初露头角,1,sports
1577,春光明媚,1,None
1578,鸣锣开道,1,None
1579,安之若素,5,Hong Kong - Macau politics
1580,大相径庭,1,culture
1581,呼之欲出,10,financial news
1582,猝不及防,5,mainland China politics
1583,洋洋大观,1,None
1584,仰人鼻息,3,mainland China politics
1585,言近旨远,1,None
1586,粗心大意,2,culture
1587,杂乱无章,1,mainland China politics
1588,脱胎换骨,4,sports
1589,冰清玉洁,1,mainland China politics
1590,筋疲力尽,1,culture
1591,日理万机,2,culture
1592,贪生怕死,1,mainland China politics
1593,孤立无援,4,International news
1594,路人皆知,5,Hong Kong - Macau politics
1595,相亲相爱,2,mainland China politics
1596,愤愤不平,1,culture
1597,井然有序,8,culture
1598,席不暇暖,1,None
1599,不可理喻,3,None
1600,不可逾越,16,mainland China politics
1601,儿女情长,1,mainland China politics
1602,孤陋寡闻,3,culture
1603,变本加厉,21,Hong Kong - Macau politics
1604,高高在上,13,International news
1605,刻骨铭心,29,sports
1606,天长地久,1,None
1607,绵延不断,10,culture
1608,小心谨慎,2,mainland China politics
1609,指挥若定,4,mainland China politics
1610,一哄而起,1,culture
1611,博大精深,40,culture
1612,利欲熏心,2,Hong Kong - Macau politics
1613,大而无当,3,mainland China politics
1614,偏听偏信,1,mainland China politics
1615,离心离德,3,International news
1616,恼羞成怒,1,mainland China politics
1617,得意洋洋,3,International news
1618,兴高采烈,1,financial news
1619,寥寥无几,3,sports
1620,手无寸铁,2,International news
1621,雨后春笋,7,financial news
1622,秋高气爽,1,International news
1623,欲壑难填,1,mainland China politics
1624,舍本逐末,3,culture
1625,近在咫尺,5,Hong Kong - Macau politics
1626,大势所趋,90,financial news
1627,寒来暑往,2,mainland China politics
1628,雷霆万钧,15,mainland China politics
1629,如饥似渴,6,mainland China politics
1630,如获至宝,3,culture
1631,如梦初醒,2,International news
1632,少不更事,1,None
1633,精神焕发,3,mainland China politics
1634,如狼似虎,1,culture
1635,血肉相连,4,mainland China politics
1636,洞若观火,4,Hong Kong - Macau politics
1637,海阔天空,4,Hong Kong - Macau politics
1638,前因后果,3,Hong Kong - Macau politics
1639,错综复杂,103,International news
1640,可乘之机,21,Hong Kong - Macau politics
1641,色厉内荏,4,International news
1642,众星捧月,3,mainland China politics
1643,天涯海角,2,financial news
1644,付之东流,1,None
1645,付诸东流,9,International news
1646,咄咄逼人,7,sports
1647,百年之后,1,mainland China politics
1648,和蔼可亲,1,mainland China politics
1649,千秋万代,4,mainland China politics
1650,因时制宜,20,financial news
1651,熙来攘往,1,None
1652,昭然若揭,33,Hong Kong - Macau politics
1653,荒诞不经,6,entertainment
1654,老骥伏枥,1,mainland China politics
1655,脱颖而出,49,financial news
1656,雕梁画栋,1,culture
1657,百万雄师,3,culture
1658,千军万马,11,mainland China politics
1659,鱼米之乡,1,None
1660,百年树人,7,mainland China politics
1661,人声鼎沸,2,culture
1662,轩然大波,6,International news
1663,昙花一现,3,None
1664,绵里藏针,1,culture
1665,好好先生,2,mainland China politics
1666,人命关天,23,International news
1667,枝繁叶茂,12,International news
1668,风和日丽,6,sports
1669,秋毫无犯,2,culture
1670,搔首弄姿,1,culture
1671,曲意逢迎,1,mainland China politics
1672,苦不堪言,11,Hong Kong - Macau politics
1673,无声无息,1,culture
1674,轻举妄动,1,mainland China politics
1675,发号施令,8,Hong Kong - Macau politics
1676,子虚乌有,4,International news
1677,明察暗访,1,mainland China politics
1678,可歌可泣,58,culture
1679,齐头并进,21,financial news
1680,接连不断,7,Hong Kong - Macau politics
1681,成群结队,3,International news
1682,难舍难分,1,mainland China politics
1683,家喻户晓,10,financial news
1684,斗转星移,9,culture
1685,何去何从,29,financial news
1686,反复无常,10,financial news
1687,合而为一,3,mainland China politics
1688,一览无余,5,mainland China politics
1689,铸成大错,1,mainland China politics
1690,不胜其烦,1,culture
1691,崭露头角,7,financial news
1692,不容置疑,6,financial news
1693,同日而语,7,financial news
1694,黯然失色,4,culture
1695,以强凌弱,2,mainland China politics
1696,急于求成,21,culture
1697,言而有信,5,International news
1698,油然而生,6,culture
1699,从容就义,1,culture
1700,一挥而就,1,culture
1701,以礼相待,1,mainland China politics
1702,始终不渝,67,mainland China politics
1703,恻隐之心,1,culture
1704,不败之地,25,financial news
1705,家常便饭,10,International news
1706,有生之年,2,financial news
1707,一面之缘,1,None
1708,自讨苦吃,2,financial news
1709,胸无点墨,2,mainland China politics
1710,言之有物,5,culture
1711,天下为公,68,mainland China politics
1712,一言难尽,1,None
1713,情同手足,2,None
1714,前无古人,25,Hong Kong - Macau politics
1715,错落有致,2,culture
1716,自作聪明,4,mainland China politics
1717,一文不值,1,None
1718,积重难返,6,financial news
1719,鸡犬升天,2,None
1720,腹心之疾,2,mainland China politics
1721,女娲补天,2,culture
1722,风花雪月,2,culture
1723,风刀霜剑,1,mainland China politics
1724,一倡百和,1,mainland China politics
1725,所作所为,52,International news
1726,当家作主,162,mainland China politics
