Record Type,CDS Code,County,District,School,Entity Type,Low Grade,High Grade,Public Yes/No,Latitude,Longitude
School,19647256910913,Los Angeles,Long Beach Unified,Gethsemane Baptist Christian,K-12 Schools (Private),K,12,N,33.864631,-118.177612
School,19647257079221,Los Angeles,Long Beach Unified,Giant Steps Child Care Center,Kindergartens (Private),K,K,N,33.880781,-118.155925
School,19647257081375,Los Angeles,Long Beach Unified,Greater United Faith Apostolic Church/United Faith Community School,Elementary School (Private),K,8,N,33.880005,-118.204187
School,19647256962344,Los Angeles,Long Beach Unified,Holy Innocents Elementary,Elementary School (Private),K,8,N,33.803195,-118.193295
School,19647256979850,Los Angeles,Long Beach Unified,HUNTINGTON ACADEMY,Elementary School (Private),K,5,N,33.784849,-118.172265
School,19647256917330,Los Angeles,Long Beach Unified,Lakewood Christian Schools,Elementary School (Private),K,12,N,33.842750,-118.128012
School,19647256993620,Los Angeles,Long Beach Unified,Los Altos Grace Schools,Elementary School (Private),K,6,N,33.795518,-118.104639
School,19647256142020,Los Angeles,Long Beach Unified,Maple Village Waldorf School,Elementary School (Private),K,8,N,33.773677,-118.145585
School,19647257079858,Los Angeles,Long Beach Unified,Marina Montessori School,Elementary School (Private),K,K,N,33.799719,-118.141075
School,19647256977797,Los Angeles,Long Beach Unified,Montessori Children's House,Elementary School (Private),K,5,N,33.788433,-118.122792
School,19647256139356,Los Angeles,Long Beach Unified,Montessori On Elm,Elementary School (Private),1,5,N,33.778580,-118.187283
School,19647256161889,Los Angeles,Long Beach Unified,New Hope Academy of Change,K-12 Schools (Private),K,12,N,33.792741,-118.178294
School,19647256903249,Los Angeles,Long Beach Unified,Oakwood Academy,Elementary School (Private),K,5,N,33.828555,-118.188923
School,19647256962963,Los Angeles,Long Beach Unified,Our Lady of Refuge Catholic,Elementary School (Private),K,8,N,33.797469,-118.132014
School,19647257079718,Los Angeles,Long Beach Unified,Pacific Baptist School,K-12 Schools (Private),K,12,N,33.817957,-118.197736
School,19647256935878,Los Angeles,Long Beach Unified,Saint Anthony High School,High Schools (Private),9,12,N,33.774457,-118.182226
School,19647250134908,Los Angeles,Long Beach Unified,Spectrum Center Schools- Long Beach Jordan Plus HS,High Schools (Private),9,12,N,33.870510,-118.204749
School,19647250134882,Los Angeles,Long Beach Unified,Spectrum Center Schools-Lakewood High School,High Schools (Private),9,12,N,33.837549,-118.120314
School,19647250133041,Los Angeles,Long Beach Unified,Spectrum Center- Long Beach Middle Country Cub,K-12 Schools (Private),6,8,N,33.840225,-118.151041
School,19647250133033,Los Angeles,Long Beach Unified,Spectrum Center-Long Beach Elementary,Elementary School (Private),2,5,N,33.839813,-118.114105
School,19647256963417,Los Angeles,Long Beach Unified,St. Anthony Parish,Elementary School (Private),K,8,N,33.773039,-118.181029
School,19647256963433,Los Angeles,Long Beach Unified,St. Athanasius Elementary,Elementary School (Private),K,8,N,33.853772,-118.186229
School,19647256963458,Los Angeles,Long Beach Unified,St. Barnabas Elementary,Elementary School (Private),K,8,N,33.831042,-118.176942
School,19647256963656,Los Angeles,Long Beach Unified,St. Cornelius School,Elementary School (Private),K,8,N,33.817910,-118.124811
School,19647256963664,Los Angeles,Long Beach Unified,St. Cyprian Elementary,Elementary School (Private),K,8,N,33.843220,-118.132380
School,19647256964100,Los Angeles,Long Beach Unified,St. Joseph Elementary,Elementary School (Private),K,8,N,33.802734,-118.110027
School,19647256964191,Los Angeles,Long Beach Unified,St. Lucy School,Elementary School (Private),K,8,N,33.799435,-118.216177
School,19647256964241,Los Angeles,Long Beach Unified,St. Maria Goretti School,Elementary School (Private),K,8,N,33.829053,-118.107556
School,19647256148977,Los Angeles,Long Beach Unified,Success Work College Preparatory Academy,Elementary School (Private),K,12,N,33.818151,-118.185240
School,19647256163448,Los Angeles,Long Beach Unified,The Muse Academy,Elementary School (Private),K,7,N,33.781553,-118.171305
School,19647257084064,Los Angeles,Long Beach Unified,Westerly School of Long Beach,Elementary School (Private),K,8,N,33.807318,-118.156027
School,19101996152839,Los Angeles,Los Angeles County Office of Education,Ecole Claire Fontaine,Elementary School (Private),K,1,N,33.992837,-118.456057
School,19647336162226,Los Angeles,Los Angeles Unified,A1 College Preparatory,K-12 Schools (Private),6,12,N,34.060514,-118.307195
School,19647337077308,Los Angeles,Los Angeles Unified,ABC Little School,Elementary School (Private),K,2,N,34.171748,-118.458429
School,19647336984173,Los Angeles,Los Angeles Unified,ABC Little School Van Nuys LLC,Elementary School (Private),K,1,N,34.188035,-118.431665
School,19647337100514,Los Angeles,Los Angeles Unified,ABC Little School Studio City,Elementary School (Private),K,1,N,34.149974,-118.388700
School,19647336986673,Los Angeles,Los Angeles Unified,Abraham Joshua Heschel Day School,Elementary School (Private),K,8,N,34.258605,-118.520340
School,19647336138275,Los Angeles,Los Angeles Unified,Academy for Advancement of Children With Autism,K-12 Schools (Private),1,12,N,34.206132,-118.654393
School,19647336154918,Los Angeles,Los Angeles Unified,Achievers Academy Preschool,Elementary School (Private),K,3,N,34.234402,-118.470474
School,19647336148407,Los Angeles,Los Angeles Unified,Acton Academy Venice Beach,Elementary School (Private),K,12,N,33.995245,-118.454304
School,19647336998843,Los Angeles,Los Angeles Unified,AGBU Manoogian-Demirdjian,K-12 Schools (Private),K,12,N,34.194771,-118.566317
School,19647337084643,Los Angeles,Los Angeles Unified,Al Falaq Meraj Academy,Elementary School (Private),K,8,N,34.271442,-118.606468
School,19647336934145,Los Angeles,Los Angeles Unified,Alex Pilibos Armenian,K-12 Schools (Private),K,12,N,34.100170,-118.298443
School,19647337097207,Los Angeles,Los Angeles Unified,Alexandria Academy The,Elementary School (Private),1,12,N,34.169308,-118.602145
School,19647336154934,Los Angeles,Los Angeles Unified,all about kids,Elementary School (Private),K,6,N,34.199988,-118.537642
School,19647336146013,Los Angeles,Los Angeles Unified,American Unified School of Technology,High Schools (Private),6,12,N,34.168331,-118.523572
School,19647336150163,Los Angeles,Los Angeles Unified,Angeles Workshop School,K-12 Schools (Private),6,12,N,34.024508,-118.397389
School,19647336960751,Los Angeles,Los Angeles Unified,Ascension Elementary Catholic,Elementary School (Private),K,8,N,33.933869,-118.282614
School,19647336152771,Los Angeles,Los Angeles Unified,ASTEME Inc.,Elementary School (Private),K,8,N,34.030487,-118.400952
School,19647336149744,Los Angeles,Los Angeles Unified,Astra Nova School,Elementary School (Private),4,8,N,34.100645,-118.340168
School,19647336158836,Los Angeles,Los Angeles Unified,B L Harvey School,Kindergartens (Private),K,5,N,33.930694,-118.205900
School,19647336136113,Los Angeles,Los Angeles Unified,Bais Chana Heritage School Inc DBA Ohel Chana,High Schools (Private),9,12,N,34.076149,-118.356709
School,19647337088354,Los Angeles,Los Angeles Unified,Bais Chaya Mushka School of Los Angeles,K-12 Schools (Private),K,8,N,34.055497,-118.389336
School,19647336934228,Los Angeles,Los Angeles Unified,Bais Yaakov School for Girls,High Schools (Private),9,12,N,34.076292,-118.350129
School,19647336967848,Los Angeles,Los Angeles Unified,Berkeley Hall School,Elementary School (Private),K,8,N,34.128346,-118.482895
School,19647337090020,Los Angeles,Los Angeles Unified,Beth Hillel Day,Elementary School (Private),K,6,N,34.156992,-118.401520
School,19647336138440,Los Angeles,Los Angeles Unified,Bethel Baptist Christian School,K-12 Schools (Private),K,12,N,33.832132,-118.248864
School,19647336130017,Los Angeles,Los Angeles Unified,Beverly Hills RC School,Kindergartens (Private),K,8,N,34.093945,-118.332237
School,19647336934137,Los Angeles,Los Angeles Unified,Bishop Alemany High,High Schools (Private),9,12,N,34.276349,-118.461605
School,19647336934293,Los Angeles,Los Angeles Unified,Bishop Conaty–Our Lady of Loretto High School,High Schools (Private),9,12,N,34.046624,-118.303317
School,19647336934319,Los Angeles,Los Angeles Unified,Bishop Mora Salesian High School,High Schools (Private),9,12,N,34.032824,-118.216394
School,19647336986020,Los Angeles,Los Angeles Unified,Blind Childrens Center Inc.,Elementary School (Private),K,K,N,34.084087,-118.290046
School,19647337104714,Los Angeles,Los Angeles Unified,Bnos Esther,High Schools (Private),9,12,N,34.074106,-118.343708
School,19647336163125,Los Angeles,Los Angeles Unified,Brami Acadamy,K-12 Schools (Private),K,12,N,34.238087,-118.514970
School,19647336150361,Los Angeles,Los Angeles Unified,Brawerman Elementary East,Elementary School (Private),K,6,N,34.062045,-118.305009
School,19647337102346,Los Angeles,Los Angeles Unified,Brawerman Elementary School West of Wilshire Blvd Temple,Elementary School (Private),K,6,N,34.034818,-118.448135
School,19647336934327,Los Angeles,Los Angeles Unified,Brentwood School,K-12 Schools (Private),K,12,N,34.067168,-118.468795
School,19647336205355,Los Angeles,Los Angeles Unified,Bridgeport,K-12 Schools (Private),K,12,N,34.171154,-118.419256
School,19647336157432,Los Angeles,Los Angeles Unified,Bridgeport Vocational West School,High Schools (Private),12,12,N,33.997947,-118.425347
School,19647336157440,Los Angeles,Los Angeles Unified,Bridgeport West School,K-12 Schools (Private),K,12,N,33.997947,-118.425347
School,19647337089436,Los Angeles,Los Angeles Unified,Bridges Academy,K-12 Schools (Private),4,12,N,34.141477,-118.394857
School,19647336901177,Los Angeles,Los Angeles Unified,Brighter Days Montessori SchoolLLC,Kindergartens (Private),K,K,N,33.747343,-118.312240
School,19647337021496,Los Angeles,Los Angeles Unified,Briskin Elementary School of Temple Israel of Hollywood,Elementary School (Private),K,6,N,34.101110,-118.349634
School,19647336159685,Los Angeles,Los Angeles Unified,Browns' Flexible Learning Academy,K-12 Schools (Private),K,12,N,34.171899,-118.600505
School,19647336163067,Los Angeles,Los Angeles Unified,BtpnLA,K-12 Schools (Private),K,9,N,33.970459,-118.295485
School,19647336934343,Los Angeles,Los Angeles Unified,Buckley School The,K-12 Schools (Private),K,12,N,34.139647,-118.443704
School,19647336150502,Los Angeles,Los Angeles Unified,Buckner Educational Christian Academy,Elementary School (Private),K,6,N,33.974311,-118.319757
School,19647336929145,Los Angeles,Los Angeles Unified,C. and E. Merdinian Armenian Evangelical School,Elementary School (Private),K,8,N,34.157273,-118.423681
School,19647336141972,Los Angeles,Los Angeles Unified,California University FCE,Kindergartens (Private),9,12,N,34.094177,-118.332353
School,19647337066426,Los Angeles,Los Angeles Unified,Calvary Christian School,Elementary School (Private),K,8,N,34.048382,-118.553282
School,19647336934392,Los Angeles,Los Angeles Unified,Campbell Hall (Episcopal),K-12 Schools (Private),K,12,N,34.153547,-118.398326
School,19647337094428,Los Angeles,Los Angeles Unified,Carousel,K-12 Schools (Private),K,12,N,33.965228,-118.385935
School,19647336958219,Los Angeles,Los Angeles Unified,Carson Christian School,K-12 Schools (Private),K,12,N,33.874448,-118.248641
School,19647336977458,Los Angeles,Los Angeles Unified,Casa Montessori,Elementary School (Private),K,6,N,34.250661,-118.519500
School,19647336906952,Los Angeles,Los Angeles Unified,Castle Elementary School,Elementary School (Private),K,6,N,33.924373,-118.301666
School,19647336960918,Los Angeles,Los Angeles Unified,Cathedral Chapel Elementary,Elementary School (Private),K,8,N,34.060997,-118.348114
School,19647336934442,Los Angeles,Los Angeles Unified,Cathedral High School,High Schools (Private),9,12,N,34.069854,-118.234286
School,19647337104896,Los Angeles,Los Angeles Unified,CCDC of Little Angels,Kindergartens (Private),K,6,N,33.992779,-118.340174
School,19647336162747,Los Angeles,Los Angeles Unified,Centinela Christian Child Development Center,Elementary School (Private),K,12,N,33.985177,-118.334917
School,19647336977482,Los Angeles,Los Angeles Unified,Chaminade College Preparatory,Elementary School (Private),6,8,N,34.255567,-118.566644
School,19647336934475,Los Angeles,Los Angeles Unified,Chaminade College Preparatory,High Schools (Private),9,12,N,34.205978,-118.636942
School,19647336162580,Los Angeles,Los Angeles Unified,Champion of Life Academy,High Schools (Private),11,12,N,34.069208,-118.309289
School,19647337084502,Los Angeles,Los Angeles Unified,Cheder Menachem,Elementary School (Private),K,8,N,34.048419,-118.375972
School,19647337082019,Los Angeles,Los Angeles Unified,Cheder of Los Angeles,Elementary School (Private),K,11,N,34.085491,-118.344379
School,19647336906374,Los Angeles,Los Angeles Unified,Cheerful Helpers Child and Family Study Center,Elementary School (Private),K,1,N,34.025334,-118.314631
School,19647336961585,Los Angeles,Los Angeles Unified,Child's World School,Elementary School (Private),K,1,N,34.180822,-118.526777
School,19647336139117,Los Angeles,Los Angeles Unified,Child's World School,Elementary School (Private),K,1,N,34.168686,-118.616440
School,19647337072747,Los Angeles,Los Angeles Unified,Children Community Academy Inc.,Elementary School (Private),K,K,N,33.988678,-118.360051
School,19647336993554,Los Angeles,Los Angeles Unified,Children's Community School,Elementary School (Private),K,6,N,34.184214,-118.453349
School,19647336140024,Los Angeles,Los Angeles Unified,Chofetz Chaim Los Angeles Affiliate,High Schools (Private),9,12,N,34.051068,-118.384039
School,19647336960942,Los Angeles,Los Angeles Unified,Christ Lutheran Church and School,Elementary School (Private),K,8,N,33.757281,-118.310841
School,19647336960959,Los Angeles,Los Angeles Unified,Christ the King Elementary,Elementary School (Private),K,8,N,34.082123,-118.326439
School,19647336155188,Los Angeles,Los Angeles Unified,City Kids LA,Elementary School (Private),K,5,N,34.044251,-118.359275
School,19647337092992,Los Angeles,Los Angeles Unified,Cleophas Oliver Learning Academy,Elementary School (Private),K,5,N,33.974292,-118.311477
School,19647337067689,Los Angeles,Los Angeles Unified,Coastal Academy,K-12 Schools (Private),K,12,N,33.800791,-118.315441
School,19647336963037,Los Angeles,Los Angeles Unified,Concordia Christian,Elementary School (Private),K,8,N,34.272511,-118.494000
School,19647336960983,Los Angeles,Los Angeles Unified,Corpus Christi Elementary,Elementary School (Private),K,8,N,34.044452,-118.524218
School,19647336979165,Los Angeles,Los Angeles Unified,Country School The,Elementary School (Private),K,8,N,34.165948,-118.396684
School,19647336934616,Los Angeles,Los Angeles Unified,Coutin School LLC,K-12 Schools (Private),6,12,N,34.199567,-118.601582
School,19647336143523,Los Angeles,Los Angeles Unified,Creative Center for Children,Kindergartens (Private),K,1,N,34.054989,-118.428174
School,19647337093180,Los Angeles,Los Angeles Unified,Creative hands learning academy Inc,Elementary School (Private),K,12,N,34.010585,-118.319804
School,19647336139653,Los Angeles,Los Angeles Unified,Creative Learning Academy,Elementary School (Private),K,6,N,34.010631,-118.309619
School,19647336934632,Los Angeles,Los Angeles Unified,Crespi Carmelite High School,High Schools (Private),9,12,N,34.161751,-118.520424
School,19647336983167,Los Angeles,Los Angeles Unified,Curtis School,Elementary School (Private),K,6,N,34.129336,-118.479508
School,19647336982748,Los Angeles,Los Angeles Unified,De La Salle,Elementary School (Private),K,8,N,34.264969,-118.492515
School,19647336201222,Los Angeles,Los Angeles Unified,de Toledo High School,High Schools (Private),9,12,N,34.193268,-118.620326
School,19647336953988,Los Angeles,Los Angeles Unified,Delphi Academy of Los Angeles,K-12 Schools (Private),K,12,N,34.275566,-118.364360
School,19647336158489,Los Angeles,Los Angeles Unified,Destinations Academy,K-12 Schools (Private),6,12,N,34.173850,-118.589928
School,19647336150536,Los Angeles,Los Angeles Unified,Devin A. Gonzales II Academy Of The Art's and Science Discovery For The Gifted,K-12 Schools (Private),2,12,N,33.809186,-118.270456
School,19647336139125,Los Angeles,Los Angeles Unified,Discovery School,Elementary School (Private),K,1,N,34.181207,-118.541065
School,19647336961015,Los Angeles,Los Angeles Unified,Divine Saviour,Elementary School (Private),K,8,N,34.088887,-118.222556
School,19647336961023,Los Angeles,Los Angeles Unified,Dolores Mission School,Elementary School (Private),K,8,N,34.045379,-118.223129
School,19647336163794,Los Angeles,Los Angeles Unified,Doris L. Morrow Academy,Elementary School (Private),4,8,N,34.002680,-118.355758
School,19647337043045,Los Angeles,Los Angeles Unified,Dubnoff School,K-12 Schools (Private),6,12,N,34.231672,-118.466167
School,19647336977771,Los Angeles,Los Angeles Unified,Egremont Schools Inc.,Elementary School (Private),K,5,N,34.257111,-118.566167
School,19647336160766,Los Angeles,Los Angeles Unified,Emek Early Childhood Center,Kindergartens (Private),K,K,N,34.168120,-118.410720
School,19647336961049,Los Angeles,Los Angeles Unified,Emek Hebrew Day School,Elementary School (Private),K,8,N,34.165307,-118.468639
School,19647336162200,Los Angeles,Los Angeles Unified,Emet Learning Center,K-12 Schools (Private),7,12,N,34.162801,-118.400656
School,19647336153282,Los Angeles,Los Angeles Unified,Escuela Plus Elementary,Elementary School (Private),K,5,N,34.006966,-118.340944
School,19647336145502,Los Angeles,Los Angeles Unified,Everlasting Elementary School of the Los Angeles River Watershed,Elementary School (Private),K,3,N,34.092143,-118.248355
School,19647336139604,Los Angeles,Los Angeles Unified,Everyday Ibaadah Academy,Elementary School (Private),K,5,N,34.052963,-118.300610
School,19647336164131,Los Angeles,Los Angeles Unified,Excellence Enrichment Academy,K-12 Schools (Private),K,12,N,Information Redacted,Information Redacted
School,19647337092521,Los Angeles,Los Angeles Unified,Fairhaven Christian Academy,K-12 Schools (Private),1,12,N,34.219243,-118.244645
School,19647336934798,Los Angeles,Los Angeles Unified,Faith Baptist,K-12 Schools (Private),K,12,N,34.209428,-118.610223
School,19647336146039,Los Angeles,Los Angeles Unified,Faith Christian School PSP,K-12 Schools (Private),K,12,N,33.778819,-118.397888
School,19647337084320,Los Angeles,Los Angeles Unified,First United Methodist Church/Glenoaks Christian Elementary School,Elementary School (Private),K,8,N,34.295068,-118.432669
School,19647337016223,Los Angeles,Los Angeles Unified,Frederick K.C. Price III Christian Schools,K-12 Schools (Private),K,12,N,33.968231,-118.295387
School,19647336144380,Los Angeles,Los Angeles Unified,Fusion Academy,K-12 Schools (Private),6,12,N,34.140358,-118.184920
School,19647336141667,Los Angeles,Los Angeles Unified,Fusion Academy,K-12 Schools (Private),6,12,N,33.866865,-118.394269
School,19647336141345,Los Angeles,Los Angeles Unified,Fusion Academy,K-12 Schools (Private),6,12,N,34.048726,-118.444900
School,19647336150981,Los Angeles,Los Angeles Unified,Fusion Academy,K-12 Schools (Private),6,12,N,34.062707,-118.353911
School,19647336141675,Los Angeles,Los Angeles Unified,Fusion Academy Warner Center,K-12 Schools (Private),6,12,N,34.178776,-118.600997
School,19647336990691,Los Angeles,Los Angeles Unified,Gardena Christian Academy,Elementary School (Private),K,5,N,33.882503,-118.309341
School,19647336160261,Los Angeles,Los Angeles Unified,Gateway Online High School,High Schools (Private),9,12,N,34.066015,-118.309496
School,19647336155626,Los Angeles,Los Angeles Unified,Geffen Academy at UCLA,K-12 Schools (Private),6,12,N,34.059335,-118.446790
School,19647336982193,Los Angeles,Los Angeles Unified,Gindi Maimonides Academy,Elementary School (Private),K,8,N,34.076766,-118.376988
School,19647336160873,Los Angeles,Los Angeles Unified,Good Shepherd Elementary School,Elementary School (Private),K,5,N,34.043935,-118.316660
School,19647336979686,Los Angeles,Los Angeles Unified,Good Shepherd Lutheran School,Elementary School (Private),K,8,N,34.116582,-118.182717
School,19647336162408,Los Angeles,Los Angeles Unified,Grace Global Vision,K-12 Schools (Private),K,12,N,34.070631,-118.305874
School,19647336905533,Los Angeles,Los Angeles Unified,Granada Preparatory School,Elementary School (Private),K,8,N,34.258850,-118.522727
School,19647336979694,Los Angeles,Los Angeles Unified,Greene Gables,Elementary School (Private),K,5,N,34.219095,-118.571686
School,19647336160907,Los Angeles,Los Angeles Unified,Groza Academy,K-12 Schools (Private),K,12,N,34.044877,-118.525543
School,19647336962260,Los Angeles,Los Angeles Unified,Guardian Angel Elementary,Elementary School (Private),K,8,N,34.268610,-118.414518
School,19647336150395,Los Angeles,Los Angeles Unified,Harkham-GAON Academy,K-12 Schools (Private),6,12,N,34.059032,-118.388971
School,19647336934871,Los Angeles,Los Angeles Unified,Harvard-Westlake,High Schools (Private),10,12,N,34.139589,-118.413391
School,19647336936256,Los Angeles,Los Angeles Unified,Harvard-Westlake,K-12 Schools (Private),7,9,N,34.088326,-118.433830
School,19647336909006,Los Angeles,Los Angeles Unified,Hawthorne Academy,K-12 Schools (Private),5,12,N,33.930463,-118.320853
School,19647336157846,Los Angeles,Los Angeles Unified,Haykazunyadz Child Care Center Inc.,Elementary School (Private),K,1,N,34.256018,-118.301845
School,19647336130504,Los Angeles,Los Angeles Unified,HELP Group - Young Learners Preschool,Elementary School (Private),P,K,N,34.171325,-118.420220
School,19647336935159,Los Angeles,Los Angeles Unified,Heritage Christian School,K-12 Schools (Private),6,12,N,34.249193,-118.486447
School,19647336998728,Los Angeles,Los Angeles Unified,Heritage Christian School,K-12 Schools (Private),K,5,N,34.279995,-118.516258
School,19647336164040,Los Angeles,Los Angeles Unified,Higher Knowledge,Elementary School (Private),K,8,N,34.079069,-118.170300
School,19647336934913,Los Angeles,Los Angeles Unified,Highland Hall Waldorf School,K-12 Schools (Private),K,12,N,34.245522,-118.505681
School,19647336142483,Los Angeles,Los Angeles Unified,Hill Point Montessori Preparatory School,Elementary School (Private),K,6,N,34.190744,-118.657014
School,19647339009259,Los Angeles,Los Angeles Unified,Hillside School and Learning Center,Ungraded Schools (Private),P,P,N,34.187841,-118.179276
School,19647336986400,Los Angeles,Los Angeles Unified,Hollywood Schoolhouse,Elementary School (Private),K,6,N,34.093873,-118.337642
School,19647336934962,Los Angeles,Los Angeles Unified,Holy Martyrs Armenian High School–Ferrahian,K-12 Schools (Private),6,12,N,34.167789,-118.518527
School,19647337072598,Los Angeles,Los Angeles Unified,Holy Martyrs Cabayan Armenian Elementary School,Elementary School (Private),K,5,N,34.228787,-118.494492
School,19647336962351,Los Angeles,Los Angeles Unified,Holy Name of Jesus Catholic Elementary,Elementary School (Private),K,8,N,34.025926,-118.313912
School,19647336962385,Los Angeles,Los Angeles Unified,Holy Spirit School,Elementary School (Private),K,8,N,34.047922,-118.354558
School,19647336962401,Los Angeles,Los Angeles Unified,Holy Trinity,Elementary School (Private),K,8,N,33.744366,-118.302815
School,19647336962393,Los Angeles,Los Angeles Unified,Holy Trinity Elementary School,Elementary School (Private),K,8,N,34.120914,-118.261135
School,19647336150239,Los Angeles,Los Angeles Unified,ICL Academy,High Schools (Private),7,12,N,34.047337,-118.319215
School,19647336158133,Los Angeles,Los Angeles Unified,Ideal Academy for Exceptional Learners,Elementary School (Private),K,12,N,34.171626,-118.536602
School,19647336962435,Los Angeles,Los Angeles Unified,Immaculate Conception,Elementary School (Private),K,8,N,34.051275,-118.271258
School,19647336934988,Los Angeles,Los Angeles Unified,Immaculate Heart High School and Middle School,K-12 Schools (Private),6,12,N,34.106195,-118.310671
School,19647336962450,Los Angeles,Los Angeles Unified,Immaculate Heart of Mary Elementary,Elementary School (Private),K,8,N,34.090197,-118.298017
School,19647336145866,Los Angeles,Los Angeles Unified,Interamerican Adult School,High Schools (Private),9,12,N,33.974407,-118.288955
School,19647336159669,Los Angeles,Los Angeles Unified,International  Children's Academy,Elementary School (Private),K,6,N,34.057821,-118.383333
School,19647336143564,Los Angeles,Los Angeles Unified,International School of Los Angeles-BB,K-12 Schools (Private),6,12,N,34.159779,-118.313148
School,19647337081797,Los Angeles,Los Angeles Unified,International School of Los Angeles-LF,Elementary School (Private),K,5,N,34.104534,-118.279716
School,19647336201958,Los Angeles,Los Angeles Unified,International School of Los Angeles–WV,Elementary School (Private),K,5,N,34.178322,-118.528812
School,19647336136881,Los Angeles,Los Angeles Unified,International Virtual Learning Academy,K-12 Schools (Private),K,12,N,34.272158,-118.777882
School,19647336160931,Los Angeles,Los Angeles Unified,Intiwasi Elementary,Elementary School (Private),K,2,N,34.055460,-118.388126
School,19647336148076,Los Angeles,Los Angeles Unified,Islah Academy,Elementary School (Private),K,8,N,33.984915,-118.153788
School,19647336134522,Los Angeles,Los Angeles Unified,Ivy League Royal Academy,K-12 Schools (Private),K,12,N,34.131340,-118.345068
School,19647336158042,Los Angeles,Los Angeles Unified,Ivy League Royal Academy,K-12 Schools (Private),K,12,N,34.169692,-118.501522
School,19647336149009,Los Angeles,Los Angeles Unified,Ivy Road School,K-12 Schools (Private),3,12,N,34.063852,-118.293132
School,19647336163323,Los Angeles,Los Angeles Unified,J.C. Academy,K-12 Schools (Private),1,12,N,34.191246,-118.535857
School,19647336137111,Los Angeles,Los Angeles Unified,Jennifer Kelley,K-12 Schools (Private),K,12,N,33.869319,-118.274680
School,19647336138580,Los Angeles,Los Angeles Unified,JETS Yeshivah,High Schools (Private),10,12,N,34.279905,-118.494116
School,19647330128850,Los Angeles,Los Angeles Unified,John Tracy Clinic,K-12 Schools (Private),P,P,N,34.030121,-118.280887
School,19647336935027,Los Angeles,Los Angeles Unified,Junipero Serra High School,High Schools (Private),9,12,N,33.916502,-118.317788
School,19647336983373,Los Angeles,Los Angeles Unified,Kadima Day School,Elementary School (Private),K,8,N,34.197688,-118.615979
School,19647336148639,Los Angeles,Los Angeles Unified,Kehillat Mogen David Spivak Educational Center,Elementary School (Private),K,5,N,34.054994,-118.400056
School,19647337077597,Los Angeles,Los Angeles Unified,Kids'  World School,K-12 Schools (Private),K,12,N,34.115762,-118.261867
School,19647336165203,Los Angeles,Los Angeles Unified,Kidz Kingdom Academy,Elementary School (Private),K,8,N,34.200884,-118.416904
School,19647336165104,Los Angeles,Los Angeles Unified,Kim Afreeka Village Academy,Elementary School (Private),K,12,N,Information Redacted,Information Redacted
School,19647336986517,Los Angeles,Los Angeles Unified,Kirk O' The Valley School,Elementary School (Private),K,5,N,34.193346,-118.560696
School,19647336163182,Los Angeles,Los Angeles Unified,Knight's Tale School (DBA) is run by Routenstein Royal Group Corp.,Elementary School (Private),K,1,N,34.172530,-118.510942
School,19647336164362,Los Angeles,Los Angeles Unified,Knowledge and Wisdom Education Foundation,Elementary School (Private),K,6,N,34.012299,-118.269690
School,19647336156772,Los Angeles,Los Angeles Unified,L.A. ROAD Christian School,Elementary School (Private),3,9,N,34.115168,-118.235663
School,19647336968002,Los Angeles,Los Angeles Unified,Laurel Hall,Elementary School (Private),K,8,N,34.180381,-118.392857
School,19647336962492,Los Angeles,Los Angeles Unified,Laurence School,Elementary School (Private),K,6,N,34.187079,-118.430431
School,19647337000748,Los Angeles,Los Angeles Unified,Le Lycee Francais de Los Angeles-Century City,Elementary School (Private),K,1,N,34.047267,-118.416082
School,19647337098726,Los Angeles,Los Angeles Unified,Le Lycee Francais de Los Angeles-Elementary and Middle,K-12 Schools (Private),2,8,N,34.027642,-118.414035
School,19647336139331,Los Angeles,Los Angeles Unified,Le Lycee Francais de Los Angeles-High,High Schools (Private),9,12,N,34.029470,-118.409188
School,19647337000763,Los Angeles,Los Angeles Unified,Le Lycee Francais de Los Angeles-Pac Pali,Kindergartens (Private),K,2,N,34.047367,-118.545294
School,19647336162127,Los Angeles,Los Angeles Unified,Learning Individual Studies Academy,Elementary School (Private),K,12,N,34.054932,-118.377627
School,19647336146484,Los Angeles,Los Angeles Unified,Little Acorns Grow,Elementary School (Private),K,5,N,34.207947,-118.547319
School,19647337095409,Los Angeles,Los Angeles Unified,Little Citizens / Westside Academy #3,Elementary School (Private),K,8,N,34.020838,-118.324432
School,19647337079122,Los Angeles,Los Angeles Unified,Little Citizens Westside Academy #1,K-12 Schools (Private),K,12,N,34.005762,-118.308817
School,19647336993604,Los Angeles,Los Angeles Unified,Little Citizens Westside Academy #3,Elementary School (Private),K,8,N,34.021022,-118.324431
School,19647336164610,Los Angeles,Los Angeles Unified,Little Treehouse Academy,Kindergartens (Private),K,K,N,34.242016,-118.537049
School,19647336146831,Los Angeles,Los Angeles Unified,Los Angeles Christian Academy,Elementary School (Private),1,12,N,34.001013,-118.258784
School,19647336924781,Los Angeles,Los Angeles Unified,Los Angeles Christian School,Elementary School (Private),K,8,N,34.037811,-118.292356
School,19647336912935,Los Angeles,Los Angeles Unified,Los Encinos School,Elementary School (Private),K,6,N,34.159601,-118.505550
School,19647336935191,Los Angeles,Los Angeles Unified,Louisville High School,High Schools (Private),9,12,N,34.148822,-118.609893
School,19647336935209,Los Angeles,Los Angeles Unified,Loyola High School of Los Angeles,High Schools (Private),9,12,N,34.044272,-118.296651
