school_name,school_type,position_title,budget_sub_category,total_staff_quantity,total_cost
Garrison ES,Elementary School,Principal,School Leadership,1,147768
Garrison ES,Elementary School,Teacher - Pre-School/Pre-K (Mixed Age),Early Childhood,4,378504
Garrison ES,Elementary School,Aide - Early Childhood,Early Childhood,7,214767
Garrison ES,Elementary School,Teacher - Kindergarten,General Education,2,189252
Garrison ES,Elementary School,Teacher - 1st Grade,General Education,2,189252
Garrison ES,Elementary School,Teacher - 2nd Grade,General Education,1,94626
Garrison ES,Elementary School,Teacher - 3rd Grade,General Education,2,189252
Garrison ES,Elementary School,Teacher - 4th Grade,General Education,2,189252
Garrison ES,Elementary School,Teacher - 5th Grade,General Education,1,94626
Garrison ES,Elementary School,Teacher - Teacher Leader Innovation,General Education,1.5,141939
Garrison ES,Elementary School,Teacher - Specific Learning Support Program,Special Education,1,94626
Garrison ES,Elementary School,Teacher - Communication & Education Support Program,Special Education,2,189252
Garrison ES,Elementary School,Teacher - Early Childhood Communication & Education Support Program,Special Education,1,94626
Garrison ES,Elementary School,Teacher - Early Learning Support Program,Special Education,1,94626
Garrison ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,3,283878
Garrison ES,Elementary School,Aide - Specific Learning Support Program,Special Education,1,30681
Garrison ES,Elementary School,Aide - Communication & Education Support Program,Special Education,4,122724
Garrison ES,Elementary School,Aide - Early Childhood Communication & Education Support Program,Special Education,2,61362
Garrison ES,Elementary School,Aide - Early Learning Support Program,Special Education,1,30681
Garrison ES,Elementary School,Teacher - English Language Learner,English Language Learner,1.5,141939
Garrison ES,Elementary School,Librarian,Related Arts,0.5,47313
Garrison ES,Elementary School,Teacher - Art,Related Arts,0.5,47313
Garrison ES,Elementary School,Teacher - Music,Related Arts,1,94626
Garrison ES,Elementary School,Teacher - Health/Physical Education,Related Arts,1,94626
Garrison ES,Elementary School,Teacher - World Language,Related Arts,1,94626
Garrison ES,Elementary School,Aide - General Education,Classroom Aides,1,30681
Garrison ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,1,94626
Garrison ES,Elementary School,Psychologist,Socio-Emotional Support,1,94626
Garrison ES,Elementary School,Social Worker,Socio-Emotional Support,1,94626
Garrison ES,Elementary School,Administrative Aide,Administrative,2,93444
Garrison ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Garrison ES,Elementary School,Custodian (RW-5),Custodial Staff,1,44876
Garrison ES,Elementary School,Custodian (RW-3),Custodial Staff,1,35715
Garrison ES,Elementary School,Afterschool,Non-Personnel,─,50535.465
Garrison ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,28900
Garrison ES,Elementary School,Admin Premium,Non-Personnel,─,14000
Garrison ES,Elementary School,Custodial Overtime,Non-Personnel,─,8000
Garrison ES,Elementary School,Educational Supplies,Non-Personnel,─,18189
Garrison ES,Elementary School,Office Supplies,Non-Personnel,─,4000
Garrison ES,Elementary School,Ed Tech and System Support (Including Software),Non-Personnel,─,4500
Garrison ES,Elementary School,Health Services,Non-Personnel,─,500
Garrison ES,Elementary School,Custodial Supplies,Non-Personnel,─,8000
Garrison ES,Elementary School,General Supplies,Non-Personnel,─,3000
Garrison ES,Elementary School,Furniture & Fixtures,Non-Personnel,─,500
Garrison ES,Elementary School,Equipment and Machinery (Including Computers),Non-Personnel,─,100000
Garrison ES,Elementary School,Ed Tech and Systems Support (Including Hardware),Non-Personnel,─,4500
Garrison ES,Elementary School,Professional Development,Non-Personnel,─,73064
H.D. Cooke ES,Elementary School,Principal,School Leadership,1,147768
H.D. Cooke ES,Elementary School,Assistant Principal,School Leadership,1,118667
H.D. Cooke ES,Elementary School,Teacher - Pre-School,Early Childhood,2,189252
H.D. Cooke ES,Elementary School,Teacher - Pre-K,Early Childhood,3,283878
H.D. Cooke ES,Elementary School,Aide - Early Childhood,Early Childhood,8,245448
H.D. Cooke ES,Elementary School,Teacher - Kindergarten,General Education,3,283878
H.D. Cooke ES,Elementary School,Teacher - 1st Grade,General Education,3,283878
H.D. Cooke ES,Elementary School,Teacher - 2nd Grade,General Education,3,283878
H.D. Cooke ES,Elementary School,Teacher - 3rd Grade,General Education,3,283878
H.D. Cooke ES,Elementary School,Teacher - 4th Grade,General Education,3,283878
H.D. Cooke ES,Elementary School,Teacher - 5th Grade,General Education,2,189252
H.D. Cooke ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,3,283878
H.D. Cooke ES,Elementary School,Teacher - English Language Learner,English Language Learner,8,757008
H.D. Cooke ES,Elementary School,Counselor - Bilingual,English Language Learner,1,94626
H.D. Cooke ES,Elementary School,Librarian,Related Arts,1,94626
H.D. Cooke ES,Elementary School,Teacher - Art,Related Arts,1,94626
H.D. Cooke ES,Elementary School,Teacher - Music,Related Arts,1,94626
H.D. Cooke ES,Elementary School,Teacher - Health/Physical Education,Related Arts,2,189252
H.D. Cooke ES,Elementary School,Teacher - World Language,Related Arts,1,94626
H.D. Cooke ES,Elementary School,Aide - General Education,Classroom Aides,1,36042
H.D. Cooke ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,1,94626
H.D. Cooke ES,Elementary School,Psychologist,Socio-Emotional Support,1,94626
H.D. Cooke ES,Elementary School,Social Worker,Socio-Emotional Support,1,94626
H.D. Cooke ES,Elementary School,Coordinator - Intl Baccalaureate,Schoolwide Instructional Support,1,90918
H.D. Cooke ES,Elementary School,Business Manager,Administrative,1,62752
H.D. Cooke ES,Elementary School,Administrative Aide,Administrative,1,46722
H.D. Cooke ES,Elementary School,Coordinator - Parent,Administrative,1,43567
H.D. Cooke ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
H.D. Cooke ES,Elementary School,Custodian (RW-5),Custodial Staff,2,89752
H.D. Cooke ES,Elementary School,Custodian (RW-3),Custodial Staff,1,35715
H.D. Cooke ES,Elementary School,Wages as Earned (WAE) Staff,Wages as Earned (WAE) Staff,─,5991.84
H.D. Cooke ES,Elementary School,Afterschool,Non-Personnel,─,137131.01
H.D. Cooke ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,41300
H.D. Cooke ES,Elementary School,Middle Grades & 40/40 ES Extended Day Funds,Non-Personnel,─,100000
H.D. Cooke ES,Elementary School,Admin Premium,Non-Personnel,─,15000
H.D. Cooke ES,Elementary School,Custodial Overtime,Non-Personnel,─,12000
H.D. Cooke ES,Elementary School,Out of City Travel,Non-Personnel,─,5000
H.D. Cooke ES,Elementary School,Educational Supplies,Non-Personnel,─,20128
H.D. Cooke ES,Elementary School,Office Supplies,Non-Personnel,─,5000
H.D. Cooke ES,Elementary School,Ed Tech and System Support (Including Software),Non-Personnel,─,6000
H.D. Cooke ES,Elementary School,Health Services,Non-Personnel,─,250
H.D. Cooke ES,Elementary School,Custodial Supplies,Non-Personnel,─,15000
H.D. Cooke ES,Elementary School,Food and Provisions (Including Catering),Non-Personnel,─,1500
H.D. Cooke ES,Elementary School,Furniture & Fixtures,Non-Personnel,─,1500
H.D. Cooke ES,Elementary School,Equipment and Machinery (Including Computers),Non-Personnel,─,68000
H.D. Cooke ES,Elementary School,Professional Development,Non-Personnel,─,7000
H.D. Cooke ES,Elementary School,Local Travel (Including Field Trips),Non-Personnel,─,2000
H.D. Cooke ES,Elementary School,Conference Fees (Out of City),Non-Personnel,─,5000
H.D. Cooke ES,Elementary School,Contractual Services,Non-Personnel,─,29000
Hardy MS,Middle School,Principal,School Leadership,1,147768
Hardy MS,Middle School,Administrative Officer,School Leadership,1,74398
Hardy MS,Middle School,Assistant Principal,School Leadership,2,237334
Hardy MS,Middle School,Teacher - Schoolwide Enrichment Model (SEM),General Education,2,189252
Hardy MS,Middle School,Teacher - Computer,General Education,1,94626
Hardy MS,Middle School,Teacher - English,General Education,4,378504
Hardy MS,Middle School,Teacher - Math,General Education,4,378504
Hardy MS,Middle School,Teacher - Science (General),General Education,3,283878
Hardy MS,Middle School,Teacher - Social Studies,General Education,3,283878
Hardy MS,Middle School,Teacher - Communication & Education Support Program,Special Education,1,94626
Hardy MS,Middle School,Teacher - Independence & Learning Support Program,Special Education,1,94626
Hardy MS,Middle School,Teacher - Sensory Support Program,Special Education,1,94626
Hardy MS,Middle School,Teacher - Inclusion/Resource Services,Special Education,3,283878
Hardy MS,Middle School,Aide - Communication & Education Support Program,Special Education,2,61362
Hardy MS,Middle School,Aide - Independence & Learning Support Program,Special Education,1,30681
Hardy MS,Middle School,Aide - Sensory Support Program,Special Education,1,30681
Hardy MS,Middle School,Coordinator - Special Education,Special Education,1,90918
Hardy MS,Middle School,Teacher - English Language Learner,English Language Learner,1,94626
Hardy MS,Middle School,Librarian,Related Arts,1,94626
Hardy MS,Middle School,Teacher - Art,Related Arts,1.5,141939
Hardy MS,Middle School,Teacher - Music,Related Arts,1.5,141939
Hardy MS,Middle School,Teacher - Health/Physical Education,Related Arts,2,189252
Hardy MS,Middle School,Teacher - World Language,Related Arts,1.5,141939
Hardy MS,Middle School,Guidance Counselor,Socio-Emotional Support,1,94626
Hardy MS,Middle School,Psychologist,Socio-Emotional Support,1,94626
Hardy MS,Middle School,Social Worker,Socio-Emotional Support,1,94626
Hardy MS,Middle School,Business Manager,Administrative,1,62752
Hardy MS,Middle School,Administrative Aide,Administrative,1,46722
Hardy MS,Middle School,Counselor - Attendance,Socio-Emotional Support,1,50010
Hardy MS,Middle School,Custodial Foreman,Custodial Staff,1,57444
Hardy MS,Middle School,Custodian (RW-5),Custodial Staff,1,44876
Hardy MS,Middle School,Custodian (RW-3),Custodial Staff,1,35715
Hardy MS,Middle School,Admin Premium,Non-Personnel,─,0
Hardy MS,Middle School,Custodial Overtime,Non-Personnel,─,0
Hardy MS,Middle School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,40000
Hardy MS,Middle School,Middle Grades & 40/40 ES Extended Day Funds,Non-Personnel,─,100000
Hardy MS,Middle School,Middle Grades Enrichment & Activities,Non-Personnel,─,5000
Hardy MS,Middle School,Educational Supplies,Non-Personnel,─,60000
Hardy MS,Middle School,Ed Tech and System Support (Including Software),Non-Personnel,─,10000
Hardy MS,Middle School,Custodial Supplies,Non-Personnel,─,20000
Hardy MS,Middle School,General Supplies,Non-Personnel,─,24176
Hardy MS,Middle School,Furniture & Fixtures,Non-Personnel,─,2000
Hardy MS,Middle School,Equipment and Machinery (Including Computers),Non-Personnel,─,47313
Hardy MS,Middle School,Professional Development,Non-Personnel,─,2000
Hardy MS,Middle School,Contractual Services,Non-Personnel,─,2000
Hardy MS,Middle School,Middle Grades Exposures & Excursions,Non-Personnel,─,28000
Hart MS,Middle School,Principal,School Leadership,1,147768
Hart MS,Middle School,Assistant Principal - Intervention (API),School Leadership,1,118667
Hart MS,Middle School,Assistant Principal - Literacy (APL),School Leadership,1,118667
Hart MS,Middle School,Assistant Principal,School Leadership,2,237334
Hart MS,Middle School,Teacher - Computer,General Education,1,94626
Hart MS,Middle School,Teacher - English,General Education,4,378504
Hart MS,Middle School,Teacher - Math,General Education,7,662382
Hart MS,Middle School,Teacher - Science (General),General Education,4,378504
Hart MS,Middle School,Teacher - Social Studies,General Education,2,189252
Hart MS,Middle School,Teacher - 6th Grade,General Education,6,567756
Hart MS,Middle School,Teacher - (12 month),General Education,1,78751
Hart MS,Middle School,Teacher - Specific Learning Support Program,Special Education,2,189252
Hart MS,Middle School,Teacher - Behavior & Education Support Program,Special Education,1,94626
Hart MS,Middle School,Teacher - Communication & Education Support Program,Special Education,2,189252
Hart MS,Middle School,Teacher - Independence & Learning Support Program,Special Education,2,189252
Hart MS,Middle School,Teacher - Inclusion/Resource Services,Special Education,7,662382
Hart MS,Middle School,Aide - Specific Learning Support Program,Special Education,2,61362
Hart MS,Middle School,Aide - Behavior & Education Support Program,Special Education,1,30681
Hart MS,Middle School,Aide - Communication & Education Support Program,Special Education,4,122724
Hart MS,Middle School,Aide - Independence & Learning Support Program,Special Education,3,92043
Hart MS,Middle School,Aide - Inclusion/Resource,Special Education,1,30681
Hart MS,Middle School,Coordinator - Special Education,Special Education,1,90918
Hart MS,Middle School,Librarian,Related Arts,1,94626
Hart MS,Middle School,Teacher - Art,Related Arts,1,94626
Hart MS,Middle School,Teacher - Music,Related Arts,1,94626
Hart MS,Middle School,Teacher - Health/Physical Education,Related Arts,2,189252
Hart MS,Middle School,Teacher - World Language,Related Arts,1,94626
Hart MS,Middle School,Aide - Library/Technology,Related Arts,1,36703
Hart MS,Middle School,Instructional Coach,Schoolwide Instructional Support,1,94626
Hart MS,Middle School,Guidance Counselor,Socio-Emotional Support,2,189252
Hart MS,Middle School,Psychologist,Socio-Emotional Support,1,94626
Hart MS,Middle School,Social Worker,Socio-Emotional Support,4,378504
Hart MS,Middle School,Specialist - Reading,Schoolwide Instructional Support,1,94626
Hart MS,Middle School,Behavior Technician,Socio-Emotional Support,3,117027
Hart MS,Middle School,Business Manager,Administrative,1,62752
Hart MS,Middle School,Administrative Aide,Administrative,2,93444
Hart MS,Middle School,Coordinator - In-School Suspension,Socio-Emotional Support,1,46031
Hart MS,Middle School,Counselor - Attendance,Socio-Emotional Support,1,50010
Hart MS,Middle School,Custodial Foreman,Custodial Staff,1,57444
Hart MS,Middle School,Custodian (RW-5),Custodial Staff,3,134628
Hart MS,Middle School,Custodian (RW-3),Custodial Staff,2,71430
Hart MS,Middle School,Custodial Overtime,Non-Personnel,─,0
Hart MS,Middle School,Afterschool,Non-Personnel,─,64441.32
Hart MS,Middle School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,57400
Hart MS,Middle School,Middle Grades & 40/40 ES Extended Day Funds,Non-Personnel,─,100000
Hart MS,Middle School,Admin Premium,Non-Personnel,─,7500
Hart MS,Middle School,Middle Grades Enrichment & Activities,Non-Personnel,─,5000
Hart MS,Middle School,Educational Supplies,Non-Personnel,─,26802
Hart MS,Middle School,Office Supplies,Non-Personnel,─,2872
Hart MS,Middle School,Custodial Supplies,Non-Personnel,─,19000
Hart MS,Middle School,Furniture & Fixtures,Non-Personnel,─,1500
Hart MS,Middle School,Equipment and Machinery (Including Computers),Non-Personnel,─,15000
Hart MS,Middle School,Library Books,Non-Personnel,─,3500
Hart MS,Middle School,Contractual Services,Non-Personnel,─,33300
Hart MS,Middle School,Middle Grades Exposures & Excursions,Non-Personnel,─,28000
Hearst ES,Elementary School,Principal,School Leadership,1,147768
Hearst ES,Elementary School,Teacher - Pre-K,Early Childhood,2,189252
Hearst ES,Elementary School,Aide - Early Childhood,Early Childhood,4,122724
Hearst ES,Elementary School,Teacher - Kindergarten,General Education,2,189252
Hearst ES,Elementary School,Teacher - 1st Grade,General Education,2,189252
Hearst ES,Elementary School,Teacher - 2nd Grade,General Education,2,189252
Hearst ES,Elementary School,Teacher - 3rd Grade,General Education,2,189252
Hearst ES,Elementary School,Teacher - 4th Grade,General Education,2,189252
Hearst ES,Elementary School,Teacher - 5th Grade,General Education,2,189252
Hearst ES,Elementary School,Teacher - Reading,General Education,1.5,141939
Hearst ES,Elementary School,Teacher - Communication & Education Support Program,Special Education,2,189252
Hearst ES,Elementary School,Teacher - Early Childhood Communication & Education Support Program,Special Education,1,94626
Hearst ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,2,189252
Hearst ES,Elementary School,Aide - Communication & Education Support Program,Special Education,4,122724
Hearst ES,Elementary School,Aide - Early Childhood Communication & Education Support Program,Special Education,2,61362
Hearst ES,Elementary School,Teacher - English Language Learner,English Language Learner,1,94626
Hearst ES,Elementary School,Librarian,Related Arts,1,94626
Hearst ES,Elementary School,Teacher - Art,Related Arts,1,94626
Hearst ES,Elementary School,Teacher - Music,Related Arts,1,94626
Hearst ES,Elementary School,Teacher - Health/Physical Education,Related Arts,1,94626
Hearst ES,Elementary School,Aide - General Education,Classroom Aides,3,97404
Hearst ES,Elementary School,Guidance Counselor,Socio-Emotional Support,1,94626
Hearst ES,Elementary School,Psychologist,Socio-Emotional Support,0.5,47313
Hearst ES,Elementary School,Clerk,Administrative,1,36519
Hearst ES,Elementary School,Administrative Aide,Administrative,1,46722
Hearst ES,Elementary School,Coordinator - In-School Suspension,Socio-Emotional Support,1,46031
Hearst ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Hearst ES,Elementary School,Custodian (RW-5),Custodial Staff,1,44876
Hearst ES,Elementary School,Custodian (RW-3),Custodial Staff,2,71430
Hearst ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,29300
Hearst ES,Elementary School,Admin Premium,Non-Personnel,─,7000
Hearst ES,Elementary School,Custodial Overtime,Non-Personnel,─,4000
Hearst ES,Elementary School,Educational Supplies,Non-Personnel,─,5000
Hearst ES,Elementary School,Office Supplies,Non-Personnel,─,5000
Hearst ES,Elementary School,Custodial Supplies,Non-Personnel,─,7000
Hearst ES,Elementary School,Equipment and Machinery (Including Computers),Non-Personnel,─,14900
Hearst ES,Elementary School,Textbooks,Non-Personnel,─,11271
Hearst ES,Elementary School,Library Books,Non-Personnel,─,2106
Hearst ES,Elementary School,Contractual Services,Non-Personnel,─,20324
Hendley ES,Elementary School,Principal,School Leadership,1,147768
Hendley ES,Elementary School,Dean of Students,School Leadership,1,89373
Hendley ES,Elementary School,Assistant Principal,School Leadership,1,118667
Hendley ES,Elementary School,Teacher - Pre-School,Early Childhood,2,189252
Hendley ES,Elementary School,Teacher - Pre-K,Early Childhood,2,189252
Hendley ES,Elementary School,Aide - Early Childhood,Early Childhood,8,245448
Hendley ES,Elementary School,Teacher - Kindergarten,General Education,4,378504
Hendley ES,Elementary School,Teacher - 1st Grade,General Education,3,283878
Hendley ES,Elementary School,Teacher - 2nd Grade,General Education,3,283878
Hendley ES,Elementary School,Teacher - 3rd Grade,General Education,3,283878
Hendley ES,Elementary School,Teacher - 4th Grade,General Education,3,283878
Hendley ES,Elementary School,Teacher - 5th Grade,General Education,3,283878
Hendley ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,5,473130
Hendley ES,Elementary School,Librarian,Related Arts,1,94626
Hendley ES,Elementary School,Teacher - Art,Related Arts,1,94626
Hendley ES,Elementary School,Teacher - Music,Related Arts,1,94626
Hendley ES,Elementary School,Teacher - Health/Physical Education,Related Arts,2,189252
Hendley ES,Elementary School,Teacher - World Language,Related Arts,1,94626
Hendley ES,Elementary School,Aide - General Education,Classroom Aides,3,92043
Hendley ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,1,94626
Hendley ES,Elementary School,Psychologist,Socio-Emotional Support,1,94626
Hendley ES,Elementary School,Social Worker,Socio-Emotional Support,2,189252
Hendley ES,Elementary School,Behavior Technician,Socio-Emotional Support,1,39009
Hendley ES,Elementary School,Technology Instructional Coach,Schoolwide Instructional Support,1,94626
Hendley ES,Elementary School,Business Manager,Administrative,1,62752
Hendley ES,Elementary School,Clerk,Administrative,2,73038
Hendley ES,Elementary School,Coordinator - In-School Suspension,Socio-Emotional Support,1,46031
Hendley ES,Elementary School,Coordinator - Parent,Administrative,1,43567
Hendley ES,Elementary School,Counselor - Attendance,Socio-Emotional Support,1,50010
Hendley ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Hendley ES,Elementary School,Custodian (RW-5),Custodial Staff,3,134628
Hendley ES,Elementary School,Wages as Earned (WAE) Staff,Wages as Earned (WAE) Staff,─,55245
Hendley ES,Elementary School,Afterschool,Non-Personnel,─,137131.01
Hendley ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,53300
Hendley ES,Elementary School,Admin Premium,Non-Personnel,─,26371
Hendley ES,Elementary School,Custodial Overtime,Non-Personnel,─,20000
Hendley ES,Elementary School,Educational Supplies,Non-Personnel,─,33431
Hendley ES,Elementary School,Office Supplies,Non-Personnel,─,5000
Hendley ES,Elementary School,Ed Tech and System Support (Including Software),Non-Personnel,─,1000
Hendley ES,Elementary School,Health Services,Non-Personnel,─,4000
Hendley ES,Elementary School,Custodial Supplies,Non-Personnel,─,15000
Hendley ES,Elementary School,Food and Provisions (Including Catering),Non-Personnel,─,5000
Hendley ES,Elementary School,Furniture & Fixtures,Non-Personnel,─,10000
Hendley ES,Elementary School,Equipment and Machinery (Including Computers),Non-Personnel,─,24212
Hendley ES,Elementary School,Textbooks,Non-Personnel,─,5000
Hendley ES,Elementary School,Library Books,Non-Personnel,─,5000
Hendley ES,Elementary School,Professional Development,Non-Personnel,─,18025
Hendley ES,Elementary School,Local Travel (Including Field Trips),Non-Personnel,─,6500
Hendley ES,Elementary School,Contractual Services,Non-Personnel,─,34712
Hendley ES,Elementary School,Stipends,Non-Personnel,─,3753
Houston ES,Elementary School,Principal,School Leadership,1,147768
Houston ES,Elementary School,Teacher - Pre-School,Early Childhood,1,94626
Houston ES,Elementary School,Teacher - Pre-School/Pre-K (Mixed Age),Early Childhood,1,94626
Houston ES,Elementary School,Teacher - Pre-K,Early Childhood,1,94626
Houston ES,Elementary School,Aide - Early Childhood,Early Childhood,5,153405
Houston ES,Elementary School,Teacher - Kindergarten,General Education,2,189252
Houston ES,Elementary School,Teacher - 1st Grade,General Education,2,189252
Houston ES,Elementary School,Teacher - 2nd Grade,General Education,2,189252
Houston ES,Elementary School,Teacher - 3rd Grade,General Education,2,189252
Houston ES,Elementary School,Teacher - 4th Grade,General Education,1,94626
Houston ES,Elementary School,Teacher - 5th Grade,General Education,2,189252
Houston ES,Elementary School,Teacher - Resource,General Education,1,94626
Houston ES,Elementary School,Teacher - Communication & Education Support Program,Special Education,1,94626
Houston ES,Elementary School,Teacher - Early Childhood Communication & Education Support Program,Special Education,1,94626
Houston ES,Elementary School,Teacher - Early Learning Support Program,Special Education,2,189252
Houston ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,3,283878
Houston ES,Elementary School,Aide - Communication & Education Support Program,Special Education,2,61362
Houston ES,Elementary School,Aide - Early Childhood Communication & Education Support Program,Special Education,2,61362
Houston ES,Elementary School,Aide - Early Learning Support Program,Special Education,2,61362
Houston ES,Elementary School,Librarian,Related Arts,0.5,47313
Houston ES,Elementary School,Teacher - Art,Related Arts,1,94626
Houston ES,Elementary School,Teacher - Music,Related Arts,0.5,47313
Houston ES,Elementary School,Teacher - Health/Physical Education,Related Arts,1,94626
Houston ES,Elementary School,Teacher - World Language,Related Arts,0.5,47313
Houston ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,1,94626
Houston ES,Elementary School,Psychologist,Socio-Emotional Support,1,94626
Houston ES,Elementary School,Social Worker,Socio-Emotional Support,1,94626
Houston ES,Elementary School,Coordinator - Academy,Schoolwide Instructional Support,1,90918
Houston ES,Elementary School,Registrar,Administrative,1,39448
Houston ES,Elementary School,Administrative Aide,Administrative,1,46722
Houston ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Houston ES,Elementary School,Custodian (RW-5),Custodial Staff,2,89752
Houston ES,Elementary School,Afterschool,Non-Personnel,─,50535.465
Houston ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,28200
Houston ES,Elementary School,Admin Premium,Non-Personnel,─,28113
Houston ES,Elementary School,Custodial Overtime,Non-Personnel,─,5000
Houston ES,Elementary School,Itinerant English Language Learner Teacher,Non-Personnel,─,8516.34
Houston ES,Elementary School,Educational Supplies,Non-Personnel,─,18500
Houston ES,Elementary School,Office Supplies,Non-Personnel,─,1500
Houston ES,Elementary School,Ed Tech and System Support (Including Software),Non-Personnel,─,1500
Houston ES,Elementary School,Health Services,Non-Personnel,─,700
Houston ES,Elementary School,Custodial Supplies,Non-Personnel,─,5000
Houston ES,Elementary School,General Supplies,Non-Personnel,─,7000
Houston ES,Elementary School,Textbooks,Non-Personnel,─,1500
Houston ES,Elementary School,Local Travel (Including Field Trips),Non-Personnel,─,3500
Houston ES,Elementary School,Telecommunications,Non-Personnel,─,1000
Hyde-Addison ES,Elementary School,Principal,School Leadership,1,147768
Hyde-Addison ES,Elementary School,Assistant Principal,School Leadership,1,118667
Hyde-Addison ES,Elementary School,Teacher - Pre-K,Early Childhood,1,94626
Hyde-Addison ES,Elementary School,Aide - Early Childhood,Early Childhood,3,92043
Hyde-Addison ES,Elementary School,Teacher - Kindergarten,General Education,2,189252
Hyde-Addison ES,Elementary School,Teacher - 1st Grade,General Education,2,189252
Hyde-Addison ES,Elementary School,Teacher - 2nd Grade,General Education,3,283878
Hyde-Addison ES,Elementary School,Teacher - 3rd Grade,General Education,3,283878
Hyde-Addison ES,Elementary School,Teacher - 4th Grade,General Education,4,378504
Hyde-Addison ES,Elementary School,Teacher - 5th Grade,General Education,2,189252
Hyde-Addison ES,Elementary School,Teacher - Early Learning Support Program,Special Education,1,94626
Hyde-Addison ES,Elementary School,Teacher - Sensory Support Program,Special Education,0.5,47313
Hyde-Addison ES,Elementary School,Teacher - Inclusion/Resource Services,Special Education,3,283878
Hyde-Addison ES,Elementary School,Aide - Early Learning Support Program,Special Education,1,30681
Hyde-Addison ES,Elementary School,Teacher - English Language Learner,English Language Learner,2,189252
Hyde-Addison ES,Elementary School,Librarian,Related Arts,1,94626
Hyde-Addison ES,Elementary School,Teacher - Health/Physical Education,Related Arts,0.5,47313
Hyde-Addison ES,Elementary School,Aide - General Education,Classroom Aides,3,92043
Hyde-Addison ES,Elementary School,Instructional Coach,Schoolwide Instructional Support,1,94626
Hyde-Addison ES,Elementary School,Psychologist,Socio-Emotional Support,0.5,47313
Hyde-Addison ES,Elementary School,Social Worker,Socio-Emotional Support,1,94626
Hyde-Addison ES,Elementary School,Clerk,Administrative,1,36519
Hyde-Addison ES,Elementary School,Administrative Aide,Administrative,1,46722
Hyde-Addison ES,Elementary School,Custodial Foreman,Custodial Staff,1,57444
Hyde-Addison ES,Elementary School,Custodian (RW-5),Custodial Staff,2,89752
Hyde-Addison ES,Elementary School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,34100
Hyde-Addison ES,Elementary School,Admin Premium,Non-Personnel,─,4000
Hyde-Addison ES,Elementary School,Custodial Overtime,Non-Personnel,─,11000
Hyde-Addison ES,Elementary School,Educational Supplies,Non-Personnel,─,5000
Hyde-Addison ES,Elementary School,Office Supplies,Non-Personnel,─,3000
Hyde-Addison ES,Elementary School,Custodial Supplies,Non-Personnel,─,10000
Hyde-Addison ES,Elementary School,Contractual Services,Non-Personnel,─,5783
Incarcerated Youth Program,Alternative School,Principal,School Leadership,1,147768
Incarcerated Youth Program,Alternative School,Assistant Principal,School Leadership,1,118667
Incarcerated Youth Program,Alternative School,Teacher - Math,General Education,1,94626
Incarcerated Youth Program,Alternative School,Teacher - Reading,General Education,1,94626
Incarcerated Youth Program,Alternative School,Teacher - Social Studies,General Education,0.5,47313
Incarcerated Youth Program,Alternative School,Teacher - Inclusion/Resource Services,Special Education,4,378504
Incarcerated Youth Program,Alternative School,Teacher - Art,Related Arts,0.5,47313
Incarcerated Youth Program,Alternative School,Social Worker,Socio-Emotional Support,1,94626
Incarcerated Youth Program,Alternative School,Registrar,Administrative,1,39448
Incarcerated Youth Program,Alternative School,Clerk,Administrative,0.5,18259.5
Incarcerated Youth Program,Alternative School,Custodial Overtime,Non-Personnel,─,0
Incarcerated Youth Program,Alternative School,Custodial Supplies,Non-Personnel,─,0
Incarcerated Youth Program,Alternative School,Evening Credit Recovery,Non-Personnel,─,8092
Incarcerated Youth Program,Alternative School,Proving What's Possible - Student Satisfaction,Non-Personnel,─,10000
Incarcerated Youth Program,Alternative School,Admin Premium,Non-Personnel,─,7694
Incarcerated Youth Program,Alternative School,Educational Supplies,Non-Personnel,─,3000
Incarcerated Youth Program,Alternative School,Equipment and Machinery (Including Computers),Non-Personnel,─,5000
Incarcerated Youth Program,Alternative School,Tuition for Employee Training,Non-Personnel,─,2000
Incarcerated Youth Program,Alternative School,Contractual Services,Non-Personnel,─,4587
J.O. Wilson ES,Elementary School,Principal,School Leadership,1,147768
J.O. Wilson ES,Elementary School,Dean of Students,School Leadership,1,89373
