school_name,ward,school_type,fy16_budgeted_enrollment,change_in_enrollment_from_fy15,change_in_budget_from_fy15,at_risk_students,budget_allocation_category,amount
Hardy MS,2,Middle,380,-20,-135747,0.25,Title,74080.38
Hardy MS,2,Middle,380,-20,-135747,0.25,Per Pupil Funding Minimum (PPFM),0
Hardy MS,2,Middle,380,-20,-135747,0.25,Stabilization,127742.98
Hardy MS,2,Middle,380,-20,-135747,0.25,Specialty ,0
Hardy MS,2,Middle,380,-20,-135747,0.25,ASP/ECR,0
Hardy MS,2,Middle,380,-20,-135747,0.25,SPED,793719.248946
Hardy MS,2,Middle,380,-20,-135747,0.25,ELL,93040
Hardy MS,2,Middle,380,-20,-135747,0.25,At-Risk,177754.5
Hardy MS,2,Middle,380,-20,-135747,0.25,Enrollment,3173662.89
Hardy MS,2,Middle,380,-20,-135747,0.25,Total,4440000
Hart MS,8,Middle,431,-143,-359069,0.82,Title,207744.23
Hart MS,8,Middle,431,-143,-359069,0.82,Per Pupil Funding Minimum (PPFM),0
Hart MS,8,Middle,431,-143,-359069,0.82,Stabilization,914503.56
Hart MS,8,Middle,431,-143,-359069,0.82,Specialty ,0
Hart MS,8,Middle,431,-143,-359069,0.82,ASP/ECR,0
Hart MS,8,Middle,431,-143,-359069,0.82,SPED,1630112.227892
Hart MS,8,Middle,431,-143,-359069,0.82,ELL,0
Hart MS,8,Middle,431,-143,-359069,0.82,At-Risk,660498.2999999999
Hart MS,8,Middle,431,-143,-359069,0.82,Enrollment,3409449.800624933
Hart MS,8,Middle,431,-143,-359069,0.82,Total,6822308
Hearst ES,3,Elementary,300,7,149905,0.13,Title,7275
Hearst ES,3,Elementary,300,7,149905,0.13,Per Pupil Funding Minimum (PPFM),0
Hearst ES,3,Elementary,300,7,149905,0.13,Stabilization,0
Hearst ES,3,Elementary,300,7,149905,0.13,Specialty ,0
Hearst ES,3,Elementary,300,7,149905,0.13,ASP/ECR,0
Hearst ES,3,Elementary,300,7,149905,0.13,SPED,748638.873419
Hearst ES,3,Elementary,300,7,149905,0.13,ELL,139560
Hearst ES,3,Elementary,300,7,149905,0.13,At-Risk,97915
Hearst ES,3,Elementary,300,7,149905,0.13,Enrollment,2672323.095948942
Hearst ES,3,Elementary,300,7,149905,0.13,Total,3665712
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,Title,218256.6
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,Per Pupil Funding Minimum (PPFM),0
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,Stabilization,0
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,Specialty ,0
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,ASP/ECR,0
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,SPED,465200
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,ELL,0
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,At-Risk,805346.5279069762
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,Enrollment,4028022.0506806597
Hendley ES,8,Elementary,510,-23,167665.7626451403,0.9,Total,5525912
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,Title,120967.21
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,Per Pupil Funding Minimum (PPFM),0
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,Stabilization,0
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,Specialty ,0
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,ASP/ECR,0
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,SPED,841678.873419
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,ELL,0
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,At-Risk,354411.4279069767
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,Enrollment,2328350.174918501
Houston ES,7,Elementary,291,9,78343.65998699656,0.75,Total,3650667
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,Title,7625
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,Per Pupil Funding Minimum (PPFM),0
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,Stabilization,138940.3
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,Specialty ,0
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,ASP/ECR,0
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,SPED,325640
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,ELL,93040
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,At-Risk,3125.0000000000364
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,Enrollment,2880456.415154764
Hyde-Addison ES,2,Elementary,322,-19,-77470.20139375003,0.08,Total,3448826.719581875
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,Title,700
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,Per Pupil Funding Minimum (PPFM),0
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,Stabilization,0
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,Specialty ,0
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,ASP/ECR,8092
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,SPED,465200
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,ELL,12689.166726983209
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,At-Risk,0
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,Enrollment,938579.83
Incarcerated Youth Program,7,Alternative,24,0,303737,0.5,Total,1425261
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,Title,202050.04
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,Per Pupil Funding Minimum (PPFM),0
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,Stabilization,0
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,Specialty ,0
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,ASP/ECR,186992.813
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,SPED,769739.4367095
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,ELL,25414.950781702377
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,At-Risk,406802.22790697624
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,Enrollment,4166642.489715825
J.O. Wilson ES,6,Elementary,493,31,583373,0.65,Total,5757642
Janney ES,3,Elementary,730,58,-40104,0.01,Title,17325
Janney ES,3,Elementary,730,58,-40104,0.01,Per Pupil Funding Minimum (PPFM),795060.16
Janney ES,3,Elementary,730,58,-40104,0.01,Stabilization,0
Janney ES,3,Elementary,730,58,-40104,0.01,Specialty ,0
Janney ES,3,Elementary,730,58,-40104,0.01,ASP/ECR,0
Janney ES,3,Elementary,730,58,-40104,0.01,SPED,651280
Janney ES,3,Elementary,730,58,-40104,0.01,ELL,93040
Janney ES,3,Elementary,730,58,-40104,0.01,At-Risk,13097.699999999997
Janney ES,3,Elementary,730,58,-40104,0.01,Enrollment,5001072.14
Janney ES,3,Elementary,730,58,-40104,0.01,Total,6570875
Jefferson MS,6,Middle,282,-25,-83971,0.79,Title,120091.18
Jefferson MS,6,Middle,282,-25,-83971,0.79,Per Pupil Funding Minimum (PPFM),0
Jefferson MS,6,Middle,282,-25,-83971,0.79,Stabilization,451516.73
Jefferson MS,6,Middle,282,-25,-83971,0.79,Specialty ,105215
Jefferson MS,6,Middle,282,-25,-83971,0.79,ASP/ECR,0
Jefferson MS,6,Middle,282,-25,-83971,0.79,SPED,816259.4367095
Jefferson MS,6,Middle,282,-25,-83971,0.79,ELL,12694.848726114651
Jefferson MS,6,Middle,282,-25,-83971,0.79,At-Risk,342411.3
Jefferson MS,6,Middle,282,-25,-83971,0.79,Enrollment,2534925.2335275784
Jefferson MS,6,Middle,282,-25,-83971,0.79,Total,4383114
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,Title,126223.4
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,Per Pupil Funding Minimum (PPFM),0
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,Stabilization,0
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,Specialty ,15000
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,ASP/ECR,0
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,SPED,1207113.354473
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,ELL,8459.865373480023
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,At-Risk,445326
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,Enrollment,2622864.8619229165
Johnson MS,8,Middle,299,16,463961.85671705473,0.79,Total,4424987
Kelly Miller MS,7,Middle,565,-5,103243,0.7,Title,237091.26
Kelly Miller MS,7,Middle,565,-5,103243,0.7,Per Pupil Funding Minimum (PPFM),0
Kelly Miller MS,7,Middle,565,-5,103243,0.7,Stabilization,0
Kelly Miller MS,7,Middle,565,-5,103243,0.7,Specialty ,0
Kelly Miller MS,7,Middle,565,-5,103243,0.7,ASP/ECR,0
Kelly Miller MS,7,Middle,565,-5,103243,0.7,SPED,1489112.603419
Kelly Miller MS,7,Middle,565,-5,103243,0.7,ELL,25394.748118123913
Kelly Miller MS,7,Middle,565,-5,103243,0.7,At-Risk,739084.5
Kelly Miller MS,7,Middle,565,-5,103243,0.7,Enrollment,3957296.89
Kelly Miller MS,7,Middle,565,-5,103243,0.7,Total,6447980
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,Title,134107.67
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,Per Pupil Funding Minimum (PPFM),0
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,Stabilization,0
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,Specialty ,0
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,ASP/ECR,0
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,SPED,465200
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,ELL,0
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,At-Risk,461064.12790697673
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,Enrollment,2659124.326994859
Ketcham ES,8,Elementary,320,2,118373.32512783632,0.86,Total,3725860
Key ES,3,Elementary,395,4,-141702,0.03,Title,9575
Key ES,3,Elementary,395,4,-141702,0.03,Per Pupil Funding Minimum (PPFM),0
Key ES,3,Elementary,395,4,-141702,0.03,Stabilization,74386.93
Key ES,3,Elementary,395,4,-141702,0.03,Specialty ,0
Key ES,3,Elementary,395,4,-141702,0.03,ASP/ECR,0
Key ES,3,Elementary,395,4,-141702,0.03,SPED,372160
Key ES,3,Elementary,395,4,-141702,0.03,ELL,93040
Key ES,3,Elementary,395,4,-141702,0.03,At-Risk,47895
Key ES,3,Elementary,395,4,-141702,0.03,Enrollment,3039431.333574812
Key ES,3,Elementary,395,4,-141702,0.03,Total,3636488.2613265626
Kimball ES,7,Elementary,352,7,198047,0.77,Title,151190.27
Kimball ES,7,Elementary,352,7,198047,0.77,Per Pupil Funding Minimum (PPFM),0
Kimball ES,7,Elementary,352,7,198047,0.77,Stabilization,0
Kimball ES,7,Elementary,352,7,198047,0.77,Specialty ,0
Kimball ES,7,Elementary,352,7,198047,0.77,ASP/ECR,0
Kimball ES,7,Elementary,352,7,198047,0.77,SPED,418680
Kimball ES,7,Elementary,352,7,198047,0.77,ELL,0
Kimball ES,7,Elementary,352,7,198047,0.77,At-Risk,459069.12790697615
Kimball ES,7,Elementary,352,7,198047,0.77,Enrollment,2988171.308352415
Kimball ES,7,Elementary,352,7,198047,0.77,Total,4017111
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,Title,161289.62
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,Per Pupil Funding Minimum (PPFM),0
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,Stabilization,0
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,Specialty ,0
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,ASP/ECR,0
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,SPED,465200
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,ELL,8459.02359583092
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,At-Risk,591229.027906977
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,Enrollment,3338504.324710275
"King, M.L. ES",8,Elementary,388,-24,-209954.94201467,0.88,Total,4564682
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,Title,144620.04
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,Per Pupil Funding Minimum (PPFM),0
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,Stabilization,59618.46
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,Specialty ,0
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,ASP/ECR,0
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,SPED,1090093.5422365
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,ELL,0
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,At-Risk,475260
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,Enrollment,2697869.96
Kramer MS,8,Middle,318,-53,-235129.52403490245,0.8,Total,4467462
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,Title,17425
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,Per Pupil Funding Minimum (PPFM),621524.4
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,Stabilization,0
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,Specialty ,0
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,ASP/ECR,0
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,SPED,418680
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,ELL,93040
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,At-Risk,49020
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,Enrollment,5132850.6
Lafayette ES,4,Elementary,693,-7,-160660.00000000093,0.03,Total,6332540
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,Title,147686.14
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,Per Pupil Funding Minimum (PPFM),0
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,Stabilization,0
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,Specialty ,0
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,ASP/ECR,0
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,SPED,466639.624473
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,ELL,93040
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,At-Risk,219692.2279069767
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,Enrollment,2507173.511290314
Langdon ES,5,Elementary,261,-77,-1164997.6813019505,0.56,Total,3487720
Langley ES,5,Elementary,310,19,210986,0.64,Title,125347.36
Langley ES,5,Elementary,310,19,210986,0.64,Per Pupil Funding Minimum (PPFM),0
Langley ES,5,Elementary,310,19,210986,0.64,Stabilization,0
Langley ES,5,Elementary,310,19,210986,0.64,Specialty ,0
Langley ES,5,Elementary,310,19,210986,0.64,ASP/ECR,0
Langley ES,5,Elementary,310,19,210986,0.64,SPED,1302065.582365
Langley ES,5,Elementary,310,19,210986,0.64,ELL,25422.526780544293
Langley ES,5,Elementary,310,19,210986,0.64,At-Risk,316989.42790697626
Langley ES,5,Elementary,310,19,210986,0.64,Enrollment,2634597.0512958695
Langley ES,5,Elementary,310,19,210986,0.64,Total,4409461
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,Title,151628.28
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,Per Pupil Funding Minimum (PPFM),0
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,Stabilization,0
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,Specialty ,0
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,ASP/ECR,72042.47750000001
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,SPED,1134206.8967094999
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,ELL,558240
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,At-Risk,342411.3
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,Enrollment,3343690.05
LaSalle-Backus EC,4,Education Campus,352,-5,-32359.328051607125,0.52,Total,5602219
Leckie ES,8,Elementary,474,72,787015,0.47,Title,207306.22
Leckie ES,8,Elementary,474,72,787015,0.47,Per Pupil Funding Minimum (PPFM),0
Leckie ES,8,Elementary,474,72,787015,0.47,Stabilization,0
Leckie ES,8,Elementary,474,72,787015,0.47,Specialty ,0
Leckie ES,8,Elementary,474,72,787015,0.47,ASP/ECR,110359.256
Leckie ES,8,Elementary,474,72,787015,0.47,SPED,511720
Leckie ES,8,Elementary,474,72,787015,0.47,ELL,46543.569774174866
Leckie ES,8,Elementary,474,72,787015,0.47,At-Risk,419990
Leckie ES,8,Elementary,474,72,787015,0.47,Enrollment,3805134.7329461467
Leckie ES,8,Elementary,474,72,787015,0.47,Total,5101054
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,Title,147686.14
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,Per Pupil Funding Minimum (PPFM),0
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,Stabilization,0
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,Specialty ,0
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,ASP/ECR,135905.5155
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,SPED,982678.497892
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,ELL,12698.005392298783
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,At-Risk,159761.49999999863
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,Enrollment,3027112.5965480465
Ludlow-Taylor ES,6,Elementary,351,15,-3158,0.32,Total,4465842
Luke Moore HS,5,High,362,-20,-288256,0,Title,152066.3
Luke Moore HS,5,High,362,-20,-288256,0,Per Pupil Funding Minimum (PPFM),0
Luke Moore HS,5,High,362,-20,-288256,0,Stabilization,23237.07
Luke Moore HS,5,High,362,-20,-288256,0,Specialty ,0
Luke Moore HS,5,High,362,-20,-288256,0,ASP/ECR,80920
Luke Moore HS,5,High,362,-20,-288256,0,SPED,511720
Luke Moore HS,5,High,362,-20,-288256,0,ELL,21155.976766068325
Luke Moore HS,5,High,362,-20,-288256,0,At-Risk,0
Luke Moore HS,5,High,362,-20,-288256,0,Enrollment,2826948.66
Luke Moore HS,5,High,362,-20,-288256,0,Total,3616048
Malcolm X ES,8,Elementary,229,11,300810,0.85,Title,106049.69
Malcolm X ES,8,Elementary,229,11,300810,0.85,Per Pupil Funding Minimum (PPFM),0
Malcolm X ES,8,Elementary,229,11,300810,0.85,Stabilization,0
Malcolm X ES,8,Elementary,229,11,300810,0.85,Specialty ,0
Malcolm X ES,8,Elementary,229,11,300810,0.85,ASP/ECR,0
Malcolm X ES,8,Elementary,229,11,300810,0.85,SPED,485333.54223649995
Malcolm X ES,8,Elementary,229,11,300810,0.85,ELL,0
Malcolm X ES,8,Elementary,229,11,300810,0.85,At-Risk,313868.0279069772
Malcolm X ES,8,Elementary,229,11,300810,0.85,Enrollment,2277911.8893921943
Malcolm X ES,8,Elementary,229,11,300810,0.85,Total,3183308
Mann ES,3,Elementary,335,34,356030,0.01,Title,7550
Mann ES,3,Elementary,335,34,356030,0.01,Per Pupil Funding Minimum (PPFM),0
Mann ES,3,Elementary,335,34,356030,0.01,Stabilization,0
Mann ES,3,Elementary,335,34,356030,0.01,Specialty ,0
Mann ES,3,Elementary,335,34,356030,0.01,ASP/ECR,0
Mann ES,3,Elementary,335,34,356030,0.01,SPED,396139.8122365
Mann ES,3,Elementary,335,34,356030,0.01,ELL,186080
Mann ES,3,Elementary,335,34,356030,0.01,At-Risk,5613.299999999999
Mann ES,3,Elementary,335,34,356030,0.01,Enrollment,2877602.89
Mann ES,3,Elementary,335,34,356030,0.01,Total,3472986
Marie Reed ES,1,Elementary,394,4,-224989,0.36,Title,170487.94
Marie Reed ES,1,Elementary,394,4,-224989,0.36,Per Pupil Funding Minimum (PPFM),0
Marie Reed ES,1,Elementary,394,4,-224989,0.36,Stabilization,13393.4
Marie Reed ES,1,Elementary,394,4,-224989,0.36,Specialty ,0
Marie Reed ES,1,Elementary,394,4,-224989,0.36,ASP/ECR,97586.99650000001
Marie Reed ES,1,Elementary,394,4,-224989,0.36,SPED,418680
Marie Reed ES,1,Elementary,394,4,-224989,0.36,ELL,837360
Marie Reed ES,1,Elementary,394,4,-224989,0.36,At-Risk,210336.7279069781
Marie Reed ES,1,Elementary,394,4,-224989,0.36,Enrollment,3468580.879120239
Marie Reed ES,1,Elementary,394,4,-224989,0.36,Total,5218938.190425034
Maury ES,6,Elementary,378,16,130546,0.13,Title,9150
Maury ES,6,Elementary,378,16,130546,0.13,Per Pupil Funding Minimum (PPFM),0
Maury ES,6,Elementary,378,16,130546,0.13,Stabilization,0
Maury ES,6,Elementary,378,16,130546,0.13,Specialty ,0
Maury ES,6,Elementary,378,16,130546,0.13,ASP/ECR,0
Maury ES,6,Elementary,378,16,130546,0.13,SPED,325640
Maury ES,6,Elementary,378,16,130546,0.13,ELL,8464.074261725535
Maury ES,6,Elementary,378,16,130546,0.13,At-Risk,99165
Maury ES,6,Elementary,378,16,130546,0.13,Enrollment,3190358.23694888
Maury ES,6,Elementary,378,16,130546,0.13,Total,3632777
McKinley MS,5,Middle,250,40,3034601,0.59,Title,65350.23
McKinley MS,5,Middle,250,40,3034601,0.59,Per Pupil Funding Minimum (PPFM),0
McKinley MS,5,Middle,250,40,3034601,0.59,Stabilization,0
McKinley MS,5,Middle,250,40,3034601,0.59,Specialty ,0
McKinley MS,5,Middle,250,40,3034601,0.59,ASP/ECR,0
McKinley MS,5,Middle,250,40,3034601,0.59,SPED,695393.3544729999
McKinley MS,5,Middle,250,40,3034601,0.59,ELL,21160.18565431384
McKinley MS,5,Middle,250,40,3034601,0.59,At-Risk,275051.7
McKinley MS,5,Middle,250,40,3034601,0.59,Enrollment,1977645.53
McKinley MS,5,Middle,250,40,3034601,0.59,Total,3034601
McKinley Technology HS,5,High,646,-54,7052908,0.37,Title,151180.99
McKinley Technology HS,5,High,646,-54,7052908,0.37,Per Pupil Funding Minimum (PPFM),0
McKinley Technology HS,5,High,646,-54,7052908,0.37,Stabilization,0
McKinley Technology HS,5,High,646,-54,7052908,0.37,Specialty ,1680585
McKinley Technology HS,5,High,646,-54,7052908,0.37,ASP/ECR,0
McKinley Technology HS,5,High,646,-54,7052908,0.37,SPED,442659.8122365
McKinley Technology HS,5,High,646,-54,7052908,0.37,ELL,25408.637449334106
McKinley Technology HS,5,High,646,-54,7052908,0.37,At-Risk,447192.9
McKinley Technology HS,5,High,646,-54,7052908,0.37,Enrollment,4305880.66
McKinley Technology HS,5,High,646,-54,7052908,0.37,Total,7052908
Miner ES,6,Elementary,405,-3,-179880,0.74,Title,172678.01
Miner ES,6,Elementary,405,-3,-179880,0.74,Per Pupil Funding Minimum (PPFM),0
Miner ES,6,Elementary,405,-3,-179880,0.74,Stabilization,0
Miner ES,6,Elementary,405,-3,-179880,0.74,Specialty ,0
Miner ES,6,Elementary,405,-3,-179880,0.74,ASP/ECR,59270.21799999999
Miner ES,6,Elementary,405,-3,-179880,0.74,SPED,909299.4367095
Miner ES,6,Elementary,405,-3,-179880,0.74,ELL,25402.324116965836
Miner ES,6,Elementary,405,-3,-179880,0.74,At-Risk,505970.5279069763
Miner ES,6,Elementary,405,-3,-179880,0.74,Enrollment,3428829.3066118318
Miner ES,6,Elementary,405,-3,-179880,0.74,Total,5101449
Moten ES,8,Elementary,427,27,293441,0.88,Title,171363.97
Moten ES,8,Elementary,427,27,293441,0.88,Per Pupil Funding Minimum (PPFM),0
Moten ES,8,Elementary,427,27,293441,0.88,Stabilization,0
Moten ES,8,Elementary,427,27,293441,0.88,Specialty ,0
Moten ES,8,Elementary,427,27,293441,0.88,ASP/ECR,0
Moten ES,8,Elementary,427,27,293441,0.88,SPED,745760
Moten ES,8,Elementary,427,27,293441,0.88,ELL,0
Moten ES,8,Elementary,427,27,293441,0.88,At-Risk,654278.927906977
Moten ES,8,Elementary,427,27,293441,0.88,Enrollment,3389265.636738433
Moten ES,8,Elementary,427,27,293441,0.88,Total,4960668
Murch ES,3,Elementary,634,-46,-315384,0.03,Title,15500
Murch ES,3,Elementary,634,-46,-315384,0.03,Per Pupil Funding Minimum (PPFM),436485.4
Murch ES,3,Elementary,634,-46,-315384,0.03,Stabilization,283921
Murch ES,3,Elementary,634,-46,-315384,0.03,Specialty ,0
Murch ES,3,Elementary,634,-46,-315384,0.03,ASP/ECR,0
Murch ES,3,Elementary,634,-46,-315384,0.03,SPED,396139.8122365
Murch ES,3,Elementary,634,-46,-315384,0.03,ELL,279120
Murch ES,3,Elementary,634,-46,-315384,0.03,At-Risk,48895
Murch ES,3,Elementary,634,-46,-315384,0.03,Enrollment,4532234.79
Murch ES,3,Elementary,634,-46,-315384,0.03,Total,5992296
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,Title,166545.8
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,Per Pupil Funding Minimum (PPFM),0
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,Stabilization,0
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,Specialty ,0
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,ASP/ECR,0
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,SPED,465200
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,ELL,21173.864541111758
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,At-Risk,559458.9
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,Enrollment,3481062.44
Nalle ES,7,Elementary,389,9,285626.5615966199,0.77,Total,4693441
Noyes ES,5,Elementary,214,-93,-1028659,0.65,Title,125347.36
Noyes ES,5,Elementary,214,-93,-1028659,0.65,Per Pupil Funding Minimum (PPFM),0
Noyes ES,5,Elementary,214,-93,-1028659,0.65,Stabilization,0
Noyes ES,5,Elementary,214,-93,-1028659,0.65,Specialty ,0
Noyes ES,5,Elementary,214,-93,-1028659,0.65,ASP/ECR,0
Noyes ES,5,Elementary,214,-93,-1028659,0.65,SPED,886759.248946
Noyes ES,5,Elementary,214,-93,-1028659,0.65,ELL,50857.680225825134
Noyes ES,5,Elementary,214,-93,-1028659,0.65,At-Risk,206594.52790697673
Noyes ES,5,Elementary,214,-93,-1028659,0.65,Enrollment,2124834.422756169
Noyes ES,5,Elementary,214,-93,-1028659,0.65,Total,3447882
Orr ES,8,Elementary,399,27,443930.33052693773,0.77,Title,166545.8
Orr ES,8,Elementary,399,27,443930.33052693773,0.77,Per Pupil Funding Minimum (PPFM),0
Orr ES,8,Elementary,399,27,443930.33052693773,0.77,Stabilization,0
Orr ES,8,Elementary,399,27,443930.33052693773,0.77,Specialty ,0
Orr ES,8,Elementary,399,27,443930.33052693773,0.77,ASP/ECR,0
Orr ES,8,Elementary,399,27,443930.33052693773,0.77,SPED,465200
Orr ES,8,Elementary,399,27,443930.33052693773,0.77,ELL,8459.02359583092
Orr ES,8,Elementary,399,27,443930.33052693773,0.77,At-Risk,520939.32790697715
