,Chengyu,Definition
576,安如泰山,"Song Shi Daoyuan's ""Jingde Chuan Deng Lu"" Volume 12: ""If you are a writer and a general, please go straight to it, let alone what to do."""
577,异曲同工,"""Historical Records: Biography of Pingyuan Jun"": ""As soon as Mr. Mao arrived in Chu, he made Zhao more important than Jiuding Dalu."""
578,九牛一毛,"Jin Liu Kun's ""Answer to Lu Kanshu"": ""When the time comes, the phase is on the knees, and the tears turn into laughter."""
579,百川归海,"Qing, Lingnan Yuyi's fourth episode of ""The Heroes of Eastern Europe"": ""I think in the recent world, no matter what heroes or heroes, they all love money like their lives, not to mention those who are involved in lawsuits, they will inevitably have to fight with those wolf officials. It’s not even worth the money.”"
580,改过自新,"Qing Zeng Pu's ""Nice Sea Flowers"" Chapter 24: ""Chih Yan took advantage of their disturbance and slipped away."""
581,论功行赏,"""Mozi: Shang Xian"": ""The ""Oath of Tang"" said: 'Yu seeks the sage of Yuan, and works with him to govern the world.'"""
582,从天而降,"Yuan Bai Renfu's ""Indus Rain"" wedge: ""The ministers draw bows from left to right, and there are eighteen martial arts, no one can master it."""
583,疾恶如仇,"""Warring States Policy Yan Ce 1"": ""The King of Yan hangs to death and asks for life, and shares the joys and sorrows with the people."""
584,攀龙附凤,"Jin Lu Ji's ""Walking to Luo Daozhong"": ""Standing and looking at my hometown, Gu Ying is desolate and self-pity."""
585,指鹿为马,"Ming Zhang Dai's ""Huanghua Examination Preface"": ""It can be seen that according to the map, the Sanxi Road is clear at a glance."""
586,鸿鹄之志,"Song Yang Wanli's ""Wake up early and enter the city from Zhang's Village outside the city"": ""It's also hard to send off the old and welcome the new, and it's hard work for two years."""
587,好大喜功,"Song Chen Liang's ""Book with Xin You'an Temple"": ""The river is in the river, and it is a thousand miles away."""
588,噤若寒蝉,"Song Dynasty Wei Tai's ""Dongxuan Transcript"" Volume Four: ""Talking for Xianggong to catch everything in one go."""
589,草菅人命,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"" forty-third chapter: ""A resourceful person who can conquer a general who is accustomed to war has more than one or two thousand people."""
590,尸位素餐,"Yuan Guan Hanqing's ""Dream of Xishu"": ""There is no need for monks to hold incantations, and Taoists to preach."""
591,防微杜渐,"Yuan Qin Jianfu's ""Zhao Li Letting Fat"" 2nd fold: ""I am in this tiger head village, anyone who holds it, sees me, and is afraid of death, and today I hold this fellow, and his face will not change."""
592,取而代之,"""Liang Shu Jianwen Emperor Ji"": ""Reading is in ten lines."" Song Liu Kezhuang's ""Miscellaneous Notes Six Characters and Five Songs"" poem: ""Waiting to be missed at five watch and three o'clock, read ten lines at a time."""
593,如坐针毡,"Ming Gu Yanwu's ""Book of Friends"" 27: ""The disease of Junwen lies in Han and Europe. If you have this path in your chest, you will never break away from the word ""reliance"" for the rest of your life, and you will never be able to reach the peak."""
594,侃侃而谈,"The Three Kingdoms Shu, Zhuge Liang's ""Teaching and Military Commander History Joining the Army"": ""The husband who participates in the office gathers all thoughts, and is loyal and beneficial."""
595,众志成城,"Han Cao Cao's ""Lao Xu Huangling"": ""I have used troops for more than 30 years, and I have heard of those who are good at military use in ancient times, but I have never driven straight into the enemy's siege."""
596,城下之盟,"""Zuo Zhuan: Zhuanggong Ten Years"": ""The husband fights, and courage is also. One bang, and then decline, three and exhaust."""
597,讳莫如深,"Qing Liang Shaoren's ""Essays on Two Kinds of Qiuyu'an, Volume 8, History of the Pavilion"": ""Isn't it a great cause for grief when soldiers are exhausted, and loyal ministers burst into tears and sigh, unable to do anything, only one death to serve the country?"""
598,包藏祸心,"""Gongyang Biography: Xuangong Twelve Years"": ""The barren land of tin (given)."""
599,病入膏肓,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 9: ""Once Xue Pan was rampant and domineering, he not only ignored the contract, but instead 'helped Zhou and abused' to please his son."""
600,后悔莫及,"""Book of the Later Han Dynasty: Biography of Liu Xuan"": ""The emperor was drinking to me, and he was using it at this time to hold affairs!"""
601,马首是瞻,"Qing Zeng Pu's ""Nice Sea Flowers"" Chapter 31: ""I'm a fake, and you're just as sad when you hear it."""
602,疲于奔命,"Han Xu Shen's ""Shuowen Jiezi, Part One"": ""Heaven is upside down. It is supreme, from the first."""
603,狼子野心,"Liang Jiangyan of the Southern Dynasties, ""Four of Beautiful Colors"": ""Five lights wander, ten colors are scattered."""
604,杞人忧天,"The fourth chapter of Liang Qichao's ""New China's Future"": ""But if the autocratic regime is not eliminated, no matter how hard you and your rulers work together, the people's power will never develop."""
605,刚愎自用,"The fourth fold of the fifth book of Yuan Wang Shifu's ""The Story of the West Chamber"": ""I now have the wife's official letter, the name of the county ruler, how can I be born happily, and give him both hands personally."""
606,竭泽而渔,"Song Xin Qiji's ""Congratulations to the Bridegroom, Bie Maojia's Twelve Brothers"": ""The general's reputation has been split after a hundred battles."
607,居安思危,"""Historical Records - Biography of Lu Buwei"": ""Bu Xianyang city gate, hang a thousand pieces of gold on it, and extend the feudal lords and tourists to those who can add or lose the word."""
608,捉襟见肘,"Ming Shi Nai'an's ""Water Margin Complete Biography"", the third chapter: ""Since ancient times, there have been several cases: hunger does not choose food, cold does not choose clothing, panic does not choose road, poverty does not choose wife."""
609,卧薪尝胆,"""The Book of Southern Qi: The Biography of Linggao"": ""The minister is ordinary, miserable, and prosperous, and the rewards are generous, which is rare in a thousand years."""
610,骄奢淫逸,"""Zhu Zi Quan Shu, The Analects of Confucius"": ""It is said that it is faithful and respectful, and it is unforgettable."""
611,举棋不定,"Yuan Ji Junxiang's ""Orphan of Zhao's"" first fold: ""I, Han Jue, are a man who stands above the ground."""
612,亡羊补牢,"Qing Qian Cai's ""Said Yuequan Biography"", Chapter 23: ""I camp here for the sake of my sufficiency. I want to wait for the soldiers to come, and kill him without leaving a piece of armor."""
613,游刃有余,"Yuan Guan Hanqing's ""Magic Harmony"" the third fold: ""Xiao Lingshi, let me tell you, human life is a matter of heaven and earth, and it is no trivial matter!"""
614,一曝十寒,"""Zuo Zhuan: Seventeen Years of Wengong"": ""If you are desperate, what can you choose?"""
615,南辕北辙,"Song Zheng Sixiao's ""Answering Wushan People's Questions about Traveling and Viewing Geographical Books"": ""The ancients were smart in their hearts, and they were easy to see at first sight... If the later generations are nagging, fragmented, abandoning the original and chasing the end, it is extravagant."""
616,奉公守法,"""Wu Zi, Li Shi"": ""The husband issues orders, and people are happy to hear them; raise the army and move the crowd, and people are happy to fight; fight against each other, and people are happy to die."""
617,旷日持久,"Han Liu Xiang's ""Said Garden ,  Power and Conspiracy"": ""This so-called blessing does not come again, but the misfortune will come again."""
618,缘木求鱼,"Song Shi Daoyuan's ""Five Lantern Festival"": ""The lion turns over and drags its feet."""
619,刻舟求剑,"""Zuo Zhuan, Xianggong Eighth Year"": ""This is like the grass and trees, the few monarchs are in the monarch, and the stench of the monarch is also. Han Cai Yong's ""Mr. Xuanwen Li Xiu Stele"": ""Anyone who is close to his friends, has a bad smell. And, the assembly and buried. """
620,三人成虎,"""Warring States Policy: Qin Policy Four"": ""Accumulate thin to become thick, and accumulate less to become more."" ""Han Shu Biography of Dong Zhongshu"": ""Accumulate less to become more, and accumulate small to become huge."""
621,井底之蛙,"The first fold of Yuan Anonymous's ""Locking Magic Mirror"": ""Jiazhou has cold, source two rivers, and Hanoi has a Jianjiao, making waves and harming the people."""
622,成竹在胸,"""Records of the Grand Historian: The Biography of Sun Tzu Wu Qi"": ""The good fighters guide them because of their potential."""
623,水滴石穿,"""Lao Tzu"": ""All things in the world are born from existence, and existence is born from non-existence."""
624,脍炙人口,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 73: ""Nothing, Zuo is just making a fuss, why ask him?"""
625,爱屋及乌,"Tang Dynasty Han Yu's ""On Huaixi Issues"": ""Now I have heard of the crusade against Yuanji, and human feelings must have the meaning of help, but they are all weak, self-protection is flawless, and bluffing, there must be."""
626,呕心沥血,"In the Song Dynasty, Zhu Xi's ""Yiluo Yuanyuan Lu"" volume three quoted ""Shang Cai Yulu"": ""Ming Dao sits all day long, like a clay sculpture, but when you meet people, it is a group of harmony."""
627,庸人自扰,"Warring States Chu and Qu Yuan's ""Li Sao"": ""Looking ahead and looking back, looking at the people's plans."""
628,模棱两可,"Yuan Jia Zhongming's ""To the Jade Comb"" is the first fold: ""I sent him away from his hometown, and there is no way to advance or retreat."
629,宠辱不惊,"""Han Shu Xu Chuan Xia"": ""Lechang is honest, and does not deal with it."""
630,沆瀣一气,"Liang Ren Fang of the Southern Dynasties, ""Shu Yi Ji"": ""Wu Huanglongzhong, Wu Jun Haiyan has Lu Dong, his wife Zhu Shi, and Rong Zhi. Husband and wife are very close to each other, and they are inseparable. At that time, people were called shoulder-to-shoulder people."""
631,功亏一篑,"Qing Pu Songling's ""Strange Tales from a Liaozhai: Unjust Prison"": ""Take one person at the end of the paper, and then become a gangrene of the bones, and suffer all kinds of sins in the public gate, which is a painful pain."""
632,明哲保身,"""Zhu Ziyu Lei"" Volume 73: ""The sage's bottom line is fair and upright."""
633,天经地义,"Qing Li Ruzhen's ""The Mirror of Flowers"" Chapter 6: ""And it's a drinking game, why can't this fairy wait in a hurry."""
634,白驹过隙,"Ming Ruan Dacheng's ""Swallow Notes ,  Purchase Happiness"": ""This is a sure-fire calculation, and it must be won."""
635,含沙射影,"Song Ouyang Xiu's ""Returning to the Field"": ""Although the Gong of Zhongshan is filled with ingenuity, it is difficult to adjust the soup with Fu's talk."""
636,丧心病狂,"Ming Li Zhi's ""Water Margin Quanshu Fafan"": ""Now it is ingenious, not the same as it is, or it is special outside the eyes, or it is collected in the middle."""
637,奴颜婢膝,"""Sangama Sutra"": ""Unclothed, stick and stick with you."""
638,釜底抽薪,"The second fold of Yuan Guan Hanqing's ""Saving the Wind and Dust"": ""When I get there, I will write a letter of divorce and leave everything."""
639,精忠报国,"""Zhuangzi, Gengsangchu"": ""Said: Seeing me is just around the corner."" ""Liezi, Zhongni"": ""Far away from the Eight Wastelands, and within the immediate vicinity."""
640,玩物丧志,"Tang Li Bai's ""Book with Han Jingzhou"": ""Why don't you let Bai raise his eyebrows and cheer up the sky?"""
641,八面威风,"""Zuo Zhuan, Zhaogong 28 Years"": ""Today's son is not good enough, if the son is silent, I have lost my son."" Du Yu noted: ""The appearance is not outstanding."" Tang Pei Du's ""self-inscription portrait praise "": ""You are not very long, you are not good-looking."""
642,害群之马,"Song Shen Kuo's ""Mengxi Bi Tan ,  Supplementary Biography"": ""(Kou Zhun) can cut off major events without sticking to the small details; he has the ability to lead, but he does not show his edge."""
643,为虎作伥,"""The Analects of Confucius, Yan Yuan"": ""The beauty of a gentleman in adulthood is the evil of immaturity."""
644,如意算盘,"""Liezi, Huangdi"": ""Xia Jie, Yin Zhou, Lu Xing, Chu Mu, all have the same appearance and seven apertures as people, but have the heart of beasts."" ."""
645,天衣无缝,"Qing Bi Yuan's ""Continued Funding and Governance Tongjian: Song Jilizong Jingding Four Years"": ""Renzong's governance is effective, and Shenzong has made great achievements."""
646,越俎代庖,"Han Zhaoqi's ""San Fu Jue Lu Wei Kang"": ""Wei Yuan is fifteen years old, eight feet five inches in length, and is the governor of the county. Yang Biao said: 'Although the chief Wei is young, he has a mature style. , the horse of a thousand miles.'"""
647,黔驴技穷,"Qing Ji Yun's ""Yuewei Caotang Notes, Huaixi Magazine 1"": ""You don't need to ask this, just ask your own heart. A clear conscience is what Yin law calls goodness."""
648,惊弓之鸟,"Ming Shi Nai'an's ""Water Margin Complete Biography"", the 91st chapter: ""The general abandoned evil and returned to the righteous, and like Song, he contributed to the country, and the court should reuse it."""
649,鱼目混珠,"""Zhu Ziyu Lei"": ""If you have a head but no tail, you will be loyal too soon."""
650,火中取栗,"""The Chronicles of the Three Kingdoms, Wei Shu, Zhang Ji's Biography"", Pei Songzhi's annotation quoted ""Wei Lue"": ""Today, the generals do not agree with each other, and it seems that there are a few days."""
651,杯水车薪,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"" Chapter 104: ""When the public sees it, it is dim and shaky."""
652,车水马龙,"Tang Liu Zongyuan's ""Post-Preface to the Collected Works of Yang Pingshi"": ""The rest will be explored in a corner, and those who are opposite to the Tao will be far away."""
653,迷途知返,"""Lao Tzu"": ""Being born into death, there are three out of ten people who are born, and three out of ten who die."""
654,弃之可惜,"Song Su Shi's poem ""Hezi You Churi Ri Jian Zhi"": ""When I feel the time and the incident, the gains outweigh the losses."""
655,兵贵神速,"Yuan, Zhang Kejiu's ""Little Crimson Lips, Flip Back to the Past"" series: ""Let's leave the office early and give up the post, far from the world of right and wrong, and hide the head and show the tail."""
656,披荆斩棘,"""Sun Tzu: Conspiracy"": ""A hundred victories in a hundred battles are not good ones."""
657,乐此不疲,"""Wuyue Spring and Autumn Period: Helu Nei Biography"": ""Don't you hear the song on the river? Pity each other with the same illness, and save each other with the same worries."""
658,渐入佳境,"Ming Xu Zhonglin's ""Fengshen Romance"" Chapter 56: ""Today, the generals know how to obey and go against the enemy, and they are all ministers in the same palace, so why should they share each other?"""
659,城狐社鼠,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 67: ""There is no one in our family. As the saying goes, 'the birds fly first'."
660,兢兢业业,"Qing Li Ruzhen's second episode of ""The Mirror of Flowers"": ""That man, the king, is the master of the four seas and nine states."
661,后起之秀,"""Historical Records: Biography of Qu Yuan and Jia Sheng"": ""The sages are not stagnant in things but can move with the world. The world is turbid, why not follow the flow and spread the waves?"" It's going with the flow."""
662,风声鹤唳,"Jin Lu Ji's ""Wen Fu"" ""Then choose the righteousness according to the department, test the remarks and go to school."""
663,功败垂成,"Tandoori Fu's poem ""Six Quatrains in Opera"": ""Stealing Qu and Song Yifang, fearing to follow Qi Liang's footsteps."""
664,穷兵黩武,"""Liezi Tianrui"": ""When will heaven and earth end? It will end with me."" Lu Chongxuan explained: ""Although the size is different, they all end up together."""
665,偃旗息鼓,"""Zuo Zhuan, Xiang Gong Twenty-nine Years"": ""Seeing Zichan is like acquaintance."""
666,身先士卒,"""Lao Tzu"": ""Having the mother of a country can last for a long time. This is the way to have deep roots and long-term vision."" ""Han Feizi: Jie Lao"": ""If you are strong, you will grow, and if you have deep roots, you will see for a long time."""
667,崇洋媚外,"""The 11th place where the master of the Tang Dynasty Sanzang collected scriptures and poems and entered the land of the Queen's Mother"": ""Master Day: 'You have great supernatural powers, so there is no harm in going.'"""
668,数不胜数,"Song Luo Dajing ""Supplement to Helin Yulu"", Volume 15: ""Jing Gong is a young man, he is invincible."""
669,马不停蹄,"""New History of the Five Dynasties, Liang Chen's Biography, Zhu Zhen"": ""Zhang Ren Yuzhen, a general of Jane's side, said: 'If there are violators of the order in the army, please behead them first and then slay them.'"""
670,知难而退,"""Book of Jin, Fu Jian Records"": ""Jian and Fu Rong went to the city and looked at the king's teacher. They saw that the troops were neat and the soldiers were elite; and they looked north at the grass and forests on Bagong Mountain, all of which were humanoids. Gu Weirong said: 'This is also a strong enemy. Also, what does it mean to be less?' I feel terrified."""
671,盘根错节,"""Lie Zi, King Mu of Zhou"": ""Carrying on the emptiness without falling, touching the real without stumbling, ever-changing, can not be extreme."" ""Historical Records Jia Yi Biography"": ""It is ever-changing, and there is an extreme before the beginning."""
672,如虎添翼,"""Continued Biography of Deng Lu"": ""Fang Zhi's head is all Tao, and the Dharma is complete."""
673,高朋满座,"Qing Zhai Hao's ""Popular Edition Geography"" quoted the ""Jiaojing"": ""You are always diligent and diligent, such as a small water flowing constantly, you can penetrate the stone."""
674,妖言惑众,"Yuan, Anonymous's ""Sianhuan Ji"" the third fold: ""Situ, if you are willing to be with me, you can have the best of both worlds."""
675,玩火自焚,"Tang Hanyu's ""Send the Poor"": ""The master was downcast and thanked him."""
676,一息尚存,"The second fold of Yuan Li Xingdao's ""Grey Lan"": ""I didn't know he had two sides and three swords, and he transferred to his husband and master."""
677,纲举目张,"""Shishuoxinyu, Literature"": ""Zhi Daolin shared Feng Taichang's speech in Baima Temple, and because of ""Xiao Yao"", Zhi Zhuoran set new principles on the table of the two schools and innovated outside the sages."""
678,耳闻目睹,"Qing Gong Zizhen's ""Jihai Miscellaneous Poems"": ""I persuade Tiangong to be more vigorous and to lower talents without sticking to one pattern."""
679,人所共知,"""Historical Records: Ranger Biography"": ""However, his personal intentions are honest and submissive, and those who are well-known are well-deserved, and the scholars are not undeserved."""
680,无懈可击,"Jin Li Mi's ""Chen Qing Table"": ""The mother and grandson are more dependent on each other."""
681,虚无缥缈,"Han Chenlin's ""Answer to Dong A Wang Jian"": ""Bing Qingping is the weapon of a capable general, and the bell is silent, and we should make a decisive decision."""
682,名副其实,"""Zhuzi Yulei"": ""Because it is said that self-deception is deceiving others: deceiving others is also self-deception, and this is self-deception even worse."""
683,不肖子孙,"""Book of Southern Qi: The Biography of Yu Qi"": ""Yu Lin (Wang) was abandoned, and he sighed secretly: 'Wang, Xu Sui tied the hakama and wasted for a lifetime, how can there be such a reason and evil in the world?'"""
684,死而后已,"Yuan, Anonymous's ""Peach Blossom"" 2nd fold: ""Mammy, don't worry, the villain has practiced medicine for three generations, and he knows all about medical books and pulses, and you can get rid of the disease."""
685,变幻莫测,"""Book of Rites, Qu Li Shang"": ""Li is a matter of communication. To go without coming is also inappropriate; to come and not to go is also inappropriate."""
686,前所未有,"The first fold of Yuan Shang Zhongxian's ""Liu Yi Biography"": ""Coughing lightly and calling for wind and rain early, who doesn't know that he is swept up in the rivers and lakes."""
687,从容不迫,"""The Analects of Confucius, Xue Er"": ""The Poetry says: 'It is like cutting, like cutting, like grinding.' What does it mean to be with?"" Song Zhu Xi commented: ""If you say that you can treat bones and corners, you should cut them and then discuss them again. For those who treat jade, after cutting it and regrinding it, the treatment has been refined, and the refinement is sought.”"
688,闻所未闻,"The fourth fold of ""Selected Songs of the Yuan Dynasty: Indus Leaf"": ""The soldiers were in chaos, and they would definitely be driven into captivity."""
689,不期而遇,"Qing Li Ruzhen's ""The Mirror of Flowers"", the twelfth chapter: ""either falsely accusing it of being delicious or lazy, or falsely accusing it of doing wrong."""
690,参差不齐,"Yuan, Anonymous's ""Fish Qiaoji"" the third fold: ""I do not know how much I have been beaten, but Yuan (original) came to that Xianggong to be generous."""
691,不识好歹,"Song Yan Yu's ""Canglang Poetry Commentary"": ""Taibai sent a sentence, saying that it is straight to the point."""
692,心领神会,"Han Yuefu poem ""Meeting Xing"": ""When you meet on a narrow road, there is no room for cars."""
693,不知不觉,"Tandoori Fu's ""Lili"" poem: ""Lili Kaiyuan event is clearly in front of you."""
694,颠倒是非,"""Poetry, Bei Feng, Qiuqiu"": ""Uncle Xi Bo Xi,"
695,转危为安,"Qing Wei Zian's ""Huayuehen"" Chapter 25: ""Qiuhen sighed: 'You will come as soon as you invite me, but it will be entangled in the future."""
696,装聋作哑,"Returning to Youguang in the Dynasty, ""The Book of Inscriptions and Responsibilities for Officials and Responsibilities"": ""Gu Gong of Kou Ruoxi of Da Si, Gong Liu of Da Sikong Nantan, Fang and Shi Weng are Hunan society, like-minded, and their praise is solid and appropriate."""
697,熟视无睹,"""Book of Songs, Daya, Daming"": ""Wei this King Wen, be careful."""
698,恍然大悟,"Ming Feng Menglong's ""Records of the Kingdoms of the Eastern Zhou Dynasty"", Chapter 80: ""Today Wang Zhi is repaying Wu, he must do what he likes first, and then he must control his life."""
699,掉以轻心,"Ming Wang Shouren's ""Record of Biography III"": ""Gong Wen (Han Yu) has a great spirit, and it was he who closed at an early age to continue the past and forge ahead."" Who am I?"""
700,推己及人,"Ming Li Kaixian's ""Preface to the Beautiful Poems of the City"": ""The two words are in the market. Although the children and children are beginning to speak, they also know how to sing them, but they are obscene and obscene, and they can't be heard."""
701,信手拈来,"Song Chao Duanli's ""Xingxiangzi"" lyrics: ""Outside of Mosi's body, and in front of the bottle, the original flower grows well, the person grows healthy, and the moon grows round."""
702,不一而足,"Yuan Yang Wenkui's ""Children's Reunion"" second fold: ""How could he be ungrateful?"""
703,不计其数,"Ming Feng Menglong's ""Yu Shi Ming Yan"" volume twenty-seven: ""The slave character also hopes that the husband and wife are honored. When you are ungrateful, you will not read the love of the hair, and the kindness will be revenge, and the slave will be pushed into the heart of the river."""
704,顺理成章,"Qing Li Ruzhen's ""Mirror of Flowers"" Chapter 98: ""The clouds and mists are gradually fading, the sun is dimly lit, there are people walking around, and the flowers are fragrant and the birds are singing everywhere, which can be quite lingering."""
705,知人善任,"In the Southern Song Dynasty, Liu Yiqing's ""New Words of the World, Rendan"": ""Wang Weijun said, wine is attracting people."""
706,姑息养奸,"Yuan, Anonymous's ""Little Yuchi"" second fold: ""Then the old Yuchi is gone, and he will succeed."""
707,彻头彻尾,"Qing, Wu Jianren's ""The Status Quo of the Weird Witnessed in Twenty Years"" Chapter 20: ""It's just that you shouldn't be swaying around like this, you should call him out brightly."""
708,无穷无尽,"Qing Hong Liangji's ""Beijiang Poetry"" Volume 1: ""Writing about the moon is so vivid, why should future generations write it?"""
709,事与愿违,"Qing Li Ruzhen's Ninth Chapter of ""The Mirror of Flowers"": ""My little brother is only five or six feet away from the ground. This tree is unreachable. How can I pick him? This is 'The leprosy and toad want to eat swan meat'."""
710,言之成理,"Qing, Wu Jianren's ""The Strange Situation I Witnessed in Twenty Years"" Chapter 5: ""But I don't know if there is the words 'the real thing, the old man is not deceived'?"""
711,各自为政,"Yuan Kang Jinzhi's ""Li Kui Negative Jing"" Chapter 4: ""This is rubbing my mountain's itch, and discipline him to catch the turtle in the urn, and bring it in hand."""
712,来日方长,"Song Shi Daoyuan's ""Jingde Chuan Denglu"": ""Under the gate of Deshan, the water is blocked."""
713,人微言轻,"Tang Gu Dezhang's ""Shangzhongshu Menxia and Riyuan Discussing the Abolition of Dongdu Tai Temple"": ""It is said that there is a temple in the capital, and it is self-defeating if it is not attacked."""
714,词不达意,"""Mencius Teng Wengong Shang"": ""It is not benevolent to be rich, and it is not rich to be benevolent."""
715,普天同庆,"Ming Feng Menglong's ""Xing Shi Heng Yan Lu Tai learns poetry and wine to be proud of the king"": ""Then Lu Nan sent him directly for more than 500 miles, and he was reluctant to part."""
716,人之常情,"""Han Book of Hejian Xian Wang Liu De Biography"": ""Learn well in ancient times, and seek truth from facts."""
717,人心所向,"Qing Wu Jingzi's ""School of Foreign Studies"", the third chapter: ""If those people who work in the fields and pick up dung at the door of the house are just ordinary people, if you bow your hands with him and sit on an equal footing, this will break the school rules, and even my face will be broken. It's all gone."""
718,旁观者清,"Song Zhang Lei's ""Plum blossoms after the little snow in the twelfth lunar month"": ""The fragrance is spotless to the bone, and the fairy goddess Gushe is exposed."""
719,神乎其神,"Yuan Qin Jianfu's ""Zhao Li Makes Fat"" 40% off: ""The following will be rewarded by officials one by one, which is not a problem."""
720,来龙去脉,"Song Bi Zhongyou's ""Sacrifice to Fan Deru"": ""People rejoice at being big and forget about their personalities, otherwise it is not surprising that they are public."""
721,事过境迁,"Ming Feng Menglong's ""Awakening the World Hengyan"" volume sixteen: ""There are so many little girls who love him, and they are so fascinated by them that they don't even think about their family."""
722,言传身教,"""Sun Tzu Jiudi"": ""Husband Wu people and Yue people hate each other. When they are in the same boat, they help each other. When they meet the wind, they are like left and right hands."""
723,胡言乱语,"Han Dongfangshuo's ""Mr. Feiyou Lun"": ""Yuxi! It's really good? It's really good? It's easier said than done."""
724,因地制宜,"Qing Xu Ke's ""Qing Barnyard Banknotes Thirty-Four"": ""The inspection is the governor, one step to the sky, the prison students are the prisoners, and the gentle sweeps the floor."""
725,胡说八道,"Three Kingdoms Wei Cao Cao's ""Rang County Self-Ming Ben Zhiling"": ""If the country has no orphans, I don't know how many people will be called emperors and how many people will be called kings."" Song Wang Yuanliang's ""Reading History"": ""Liu Xiang is king and hegemony, Guan Zhang Lifeless and useless."""
726,煞费苦心,"Ming Xueji's ""Medical Cases General Commentary"": ""One day the skin is dead numb and insensitive, the second day the flesh is dead and the needles are not painful."""
727,冒名顶替,"Song Chengjiezhai's ""Qinyuanchun"" lyrics: ""The face is full of spring breeze, a group of harmony, and the book and poems in the chest are exposed."""
728,盲人摸象,"Yuan Wang Shifu's first book of ""The Story of the West Chamber"": ""Pang Er who looks like such a happy mother is rarely seen before, only to teach people to be dazzled and speechless, and the soul will fly for a long time."""
729,乘虚而入,"""The Biography of Cui Hao in Wei Shu"": ""When Yuxi enters Hangu, there will be no way to advance and retreat, and you will be attacked by the enemy; if you go north to the shore, Yao Jun will not leave the gate to help me."""
730,风雨飘摇,"Ming Shi Nai'an's ""Water Margin Complete Biography"" Chapter 26: ""Then Hu Zhengqing has fifteen buckets in his heart to fetch water, seven up and down."""
731,不痛不痒,"Song Shihao's ""The Legend of Jing Chai"": ""Pretend to be so annoyed that my chest is full of anger."""
732,风云变幻,"""Han Feizi: The Eight Traitors"": ""The only one who has not been ordered, is only the one who has not made a promise, and who has not made a promise, firstly agrees to the decree, observes the appearance and observes the color, and takes the first master's heart."""
733,水到渠成,"Qing Zhang Nanzhuang's ""He Dian, Preface"": ""It is always a matter of mouth and no intention, and security is put in place."""
734,堂堂正正,"Yuan Wang Shifu's ""Lichuntang"" 4th fold: ""I will give you a thousand taels of gold and a hundred bottles of fragrant wine, and I will make a big beating in Lichuntang and make a celebratory feast."""
735,令行禁止,"Yuan Guan Hanqing's ""Dou E's Injustice"" 2nd fold: ""Left and right, break up the drums, send the horses, and go back to the private house."""
736,量入为出,"Ming Feng Menglong's Seventy-sixth Chapter of ""Records of the Kingdoms of the Eastern Zhou Dynasty"": ""The army is divided into three: one army attacked Maicheng, the other attacked Ji Nancheng, and Dawu led a large army to attack Yingdu. If the two cities are destroyed, Ying will not be able to defend them."""
737,开诚布公,"Qing Li Baojia's ""Official Realm"" Chapter 57: ""This single-track office has always been comprehensive in all aspects of affairs, and he is not willing to give any praise or criticism."""
738,无恶不作,"Zang Mao followed the ""Preface to the Selection of Yuan Songs"": ""And Guan Hanqing is the best in the world, and he is full of ink."""
739,惹火烧身,"In the Tang Dynasty, Zhao Yuanyi's ""Fengtian Lu"" volume four: ""Guangsheng said when he was dying: 'For the descendants of the story, the first is not to do, and the second is to leave.'"""
740,热气腾腾,"""The Biography of King Ruyin of the Wei Dynasty"": ""The words are like a hundred tongues, and the courage is like a mouse."""
741,偷梁换柱,"""Han Shu, Xiao Wang's Biography and Praise"": ""Xiao Wang's successive generals and prime ministers borrowed the grace of the master, which can be said to be intimate and dead. When the gap was opened, the slander and evil were constructed, and the death was planned by the concubine. Alas!"""
742,目瞪口呆,"The second fold of Yuan Anonymous's ""Pen'er Ghost"": ""I live in this tile kiln and do my job. I have never fought with an open fire, and I just seek money with my bare hands."""
743,分庭抗礼,"""Shangshu Xian has a virtue"": ""As an official, only the virtuous, and the left and right are only the people."""
744,风雨同舟,"Qing Li Ruzhen's ""The Mirror of Flowers"" Chapter 43: ""Although my niece is young, I don't think it's easy to show up."""
745,卷土重来,"Qing Ji Yun's ""Notes on Yuewei Thatched Cottage"": ""Extremely tired, the gods do not keep their homes."""
746,快马加鞭,"Song Shi Puji's ""Five Lanterns Huiyuan"" Volume Sixteen: ""Ask: 'How is an urgent sentence?' The teacher said: 'The eyebrows are burning.'"" ""Wenwen Tongkao, Shi Bian II"": ""At the beginning of Yuanyou, Duke Wen entered Minister, all the sages are used together, and the sick people who innovate the law are like saving their eyebrows, young crops, and assistants."""
747,星罗棋布,"""Easy Tun"": ""Yunlei Tun, the gentleman uses economics."""
748,作茧自缚,"Ming Feng Menglong's ""Records of the Kingdoms of the Eastern Zhou Dynasty"", chapter 57: ""The two were instructed by An Jia first, and they were vague and refused to distinguish for Zhao."""
749,似是而非,"Song Sun Guangxian's ""Beijing Dreams Suoyan"" Volume 11: ""I was born in a sheltered place, and I also went to Jinjiang, but I was afraid of Yingchuan to know about it, so I traveled to Zizhong County, and disappeared, for fear of being known."""
