,Chengyu,Appearances,Topic,Definition,Explanation,Frequency,Pinyin,English Definition,English Explanation,Example
494,白日做梦,1,None,《论语·八佾》：“子谓《韶》：‘尽美矣，又尽善也。’谓《武》：‘尽美矣，未尽善也。’”,赤：火红色，比喻真纯；赤心：忠心；报国：为国家效劳。形容赤胆忠心，为国效力,1,bái rì zuò mèng,"""The Analects of Confucius, Ba Yi"": ""Zi said ""Shao"": 'To be beautiful, but also to be good.' In ""Wu"": 'To be beautiful, but not to be good.'""","Red: fire red, a metaphor for true and pure; Red heart: loyalty; Serving the country: serving the country. Describe the red-blooded and loyal heart, serving the country",None
495,粗枝大叶,3,mainland China politics,《左传·宣公十五年》：“谚曰：‘高下在心，川泽纳污，山薮藏疾，瑾瑜匿瑕。’国君含垢，天之道也。”,比喻读书甚多，知识渊博。,2,cū zhī dà yè,"""Zuo Zhuan: Xuangong Fifteen Years"": ""The proverb says: 'The high and the low are in the heart, the rivers and the zealots tolerate the filth, the mountains hide the diseases, and the Jinyu hides the flaws.'",It is a metaphor for being well read and knowledgeable.,”读懂抗疫表彰大会与抗疫精神背后的激励与鞭策，我们才能使之转化为全面建设社会主义现代化国家、实现中华民族伟大复兴的强大力量，更加紧密地团结在以习近平同志为核心的党中央周围，不忘初心、牢记使命、顽强拼搏、勇担重任，在全面建设社会主义现代化国家的新征程上创造新的历史伟业。 新华社北京4月1日电 近日，四川西昌发生森林火灾、湖南郴州段发生列车脱轨、黑龙江伊春发生尾矿砂泄漏，灾难事故呈多发势头。事故和灾难的背后往往存在思想意识的麻痹松懈和工作作风的粗枝大叶。当前在统筹推进新冠肺炎疫情防控和经济社会发展工作的紧要关头，尤其要坚决遏制事故灾难多发势头。
496,礼尚往来,3,culture,汉·刘向《新序·杂事》记载：叶公子高非常喜欢龙，器物上刻着龙，房屋上也画着龙。真龙知道了，来到叶公家里，把头探进窗子。叶公一见，吓得拔腿就跑。,比喻居心险恶，不可接近。,2,lǐ shàng wǎng lái,"Han Liu Xiang's ""Xinxu, Miscellaneous"" records: Ye Gongzi Gao likes dragons very much, and dragons are engraved on utensils, and dragons are also painted on houses. Zhenlong found out, came to Ye Gong's house, and put his head into the window. When Duke Ye saw it, he was so frightened that he ran away.",It is a metaphor for having sinister intentions and not to be approached.,这一结果顺应两国民意，符合全球期待，受到普遍欢迎。如何管控分歧、扩大交集？双方接下去的行动备受关注。当地时间7月9日，美方表示，将对从医疗设备到关键电容器等110种中国输美工业品豁免之前加征的25%关税，并表示愿意推动美国企业为相关中国企业继续供货。7月18日晚，中方经贸高级别磋商牵头人应约与美方通话，就落实大阪会晤共识及下一步磋商交换了意见，恢复了中断两个月的对话。中国向来讲究礼尚往来，美方愿意回到平等沟通的正轨上，中方自然也乐意与美方相向而行。
497,呼风唤雨,1,International news,《左传·宣公十二年》：“蔿敖为宰，择楚国之令典，军行，右辕，左追蓐，前茅虑无，中权，后劲。”,写人-德才-⒃奸诈-奸滑,1,hū fēng huàn yǔ,"""Zuo Zhuan: Xuangong Twelve Years"": ""Lin Ao is the slaughter, choose the order of the state of Chu, the army is on the right, the left is chasing, the front is not considered, the middle power, and the stamina.""",Writing about people - Virtue and talent - (16) Treachery and treachery,美国决策圈的一些人眼中只有自己——自己的利益，自以为全能的本领，狂傲得不可一世。为了一己之私，他们在全球供应链上呼风唤雨，臆想着“伟大而优先”的他们可以左右一切。
498,精益求精,36,sports,《左传·僖公二十三年》：“晋楚治兵，遇于中原，其辟君三舍。”,比喻全国闻名。,4,jīng yì qiú jīng,"""Zuo Zhuan, Xi Gong Twenty-Three Years"": ""Jin and Chu ruled the army, and they encountered the Central Plains, and they established three houses for the emperor.""",The metaphor is nationally known.,“隐形冠军”通常是指这样一类企业，它们规模并不大，但却在某个行业细分领域默默耕耘、精益求精，占据市场领先地位。
499,胡作非为,8,Hong Kong - Macau politics,《左传·宣公十五年》：“我无尔诈，尔无我虞。”,写人-德才-⒀才能-才学,3,hú zuò fēi wéi,"""Zuo Zhuan: Xuangong Fifteen Years"": ""I have no fraud, and I have no worries.""",Writing about people - virtue and talent - (13) talent - talent,持续升级的暴力活动正威胁着每一个香港市民的安危。在此危急时刻，止暴制乱是香港的当务之急。广大民众已经对暴力乱港分子的胡作非为看够了、受够了!
500,开门见山,4,culture,《史记·孙子吴起列传》：“约束既布，乃设铁钺，即三令五申之。”汉·张衡《东京赋》：“三令五申，示戮斩牲。”,制：牵制。指地界连接，如犬牙交错，可以互相牵制。,2,kāi mén jiàn shān,"""Records of the Grand Historian: The Biography of Sun Tzu Wu Qi"": ""As soon as the constraints are set, the iron yoke is set up, that is, three orders and five applications.""","System: hold back. It refers to the connection of land boundaries, such as the interlocking of dog teeth, which can hold each other in check.",中国共产党的百年成长史，也是一部充满艰难险阻、不断斗争的历史。与国民党反动派斗争、与地方武装军阀斗争、与日本军国主义斗争、与党内的错误路线错误观点斗争，今天与国内外的反动势力斗争，中国共产党在斗争中成长、壮大、成熟。在大革命时期，毛泽东同志就首次论述了“革命斗争”，在《中国社会各阶级的分析》中，他开门见山地指出：“谁是我们的敌人？
501,狭路相逢,19,mainland China politics,《左传·襄公二十八年》：“赋诗断章，余取所求焉。”,写事-事态-⑼杂乱、整齐-杂乱,3,xiá lù xiāng féng,"""Zuo Zhuan, Xiang Gong Twenty-Eight Years"": ""The poems are broken out of chapters, and I take what I ask for.""","Writing things - state of affairs - (9) clutter, neatness - clutter",”敢于担当、敢于斗争，是共产党人鲜明的政治品格。在防范化解重大风险中发扬斗争精神，就要有直面问题矛盾的勇气、“在困难面前逞英雄”的豪气、啃硬骨头挑重担的担当、逢山开路遇水架桥的干劲。狭路相逢勇者胜。
502,历历在目,6,Hong Kong - Macau politics,《战国策·齐策一》：“群臣进谏，门庭若市。”,比喻男子徒有其表。也用来形容男子的美貌。,3,lì lì zài mù,"""Warring States Policy: Qi Policy 1"": ""The ministers are admonishing, and the door is like a city.""",It is a metaphor for a man's vain appearance. It is also used to describe the beauty of a man.,为搅乱香港，给大陆制造麻烦，民进党当局没少出钱出力。他们不断煽风点火、进行政治化操弄；公然邀请“港独”头目赴台“交流培训”；掏钱为香港暴徒采购、分发暴力抗法所需要的各式装备；甚至还为香港暴力激进分子提供庇护，让台湾成为“避罪天堂”。桩桩件件，历历在目。民进党当局就是这样吃着“人血馒头”，化身成了选票收割机，靠煽动岛内民粹延续政治生命。
503,里应外合,4,entertainment,《易·坤》：“臣；弑其君，子弑其父，非一朝一夕之故，其所由来者渐矣。”,日影移动一寸的时间也应当爱惜。表示时间极其宝贵。,2,lǐ yìng wài hé,"""Easy Kun"": ""The minister; killing his lord, and the son killing his father, is not because of one day and one night, and the source of it is gradually.""",The time that the sun's shadow moves an inch should also be cherished. It means that time is extremely precious.,近一年的风波与动荡也清楚表明，香港的反中乱港势力与外部势力里应外合，妄图通过煽动无底线的“政治揽炒”“经济揽炒”“社会揽炒”，瘫痪特区政府运作，挑战中央权威。
504,蛛丝马迹,1,mainland China politics,《战国策·魏策一》：“事秦，则楚韩必不敢动，无楚韩之患，则大王高枕而卧，国必无忧矣。”,形容富有才智，满腹经纶。,1,zhū sī mǎ jì,"""Warring States Policy - Wei Ce 1"": ""When Qin is involved, then Chu and Han will not dare to move. If there is no trouble in Chu and Han, then the king will lie high on his head, and the country will be worry-free.""",It describes a person who is rich in talent and full of knowledge.,“两面人”再怎么会演能秀，终究是戴着假面行事，不可能天衣无缝。只要用心核查、多方探察，既听其言、更观其行，既察其表、更析其里，总能发现蛛丝马迹，看出问题所在。
505,充耳不闻,11,International news,《孟子·公孙丑上》：“故事半古之人，功必倍之，惟此时为然。”,嘴长三尺。形容人善于辨说。,3,chōng ěr bù wén,"""Mencius Gongsun Chou Shang"": ""People whose stories are half ancient, their merits will be multiplied, but only at this time.""",The mouth is three feet long. It describes a person who is good at discriminating.,美方自5月10日起，对从中国进口的2000亿美元清单商品加征的关税税率由10%提高到25%；此后又宣布，对从中国进口的约3000亿美元商品加征10%关税，分两批自今年9月1日、12月15日起实施。这种损人不利己的挑衅，已经逼近美国人民所能承受的极限。面对美国各界反对加征关税的声音一浪高过一浪，美国一些人就是充耳不闻。他们一再用“健忘症”躲闪自己作过的正式承诺，用重复叠加的谎言回应批评之声，用幻想的所谓美国毫发未损的“胜利”装点门面。
506,视而不见,50,Hong Kong - Macau politics,《韩非子·难一》：“楚人有鬻盾与矛者，誉之曰：‘吾盾之坚，莫之能陷也。’又誉其矛曰：‘吾矛之利，于物无不陷也。’或曰：‘以子之矛陷子之盾，何如？’其人勿能应也。”,写人-言谈-⑴谈吐-善言,4,shì ér bù jiàn,"""Han Feizi: Difficulty One"": ""The people of Chu have a shield and a spear, and they praised it: 'My shield is strong, and nothing can be trapped.' And he praised his spear and said: 'The advantage of my spear is that everything can be trapped.' Also.' Or he said: 'How can I use my son's spear to trap my son's shield?'",Writing about people - speech - (1) talk - good speech,当前香港面临的根本不是所谓人权、民主问题，而是尽快止暴制乱、恢复秩序、维护法治的问题。美参议院对乱港分子大肆打砸纵火视而不见，对香港社会各界的民意诉求视而不见，对国际法和国际关系基本准则视而不见，公然为香港反对派和激进暴力犯罪分子张目，其目的就是要破坏香港繁荣稳定，以此遏制中国的发展。
507,志同道合,14,International news,《汉书·霍光传赞》：“然光不学亡术，暗于大理。”,场：戏场。比喻只知道附和别人，自己没有主见。也比喻见识不广,3,zhì tóng dào hé,"""Han Book of Huo Guang Zhuan Zan"": ""Ran Guang does not learn the art of death, and is dark in Dali.""",Field: theater. The metaphor is that one only knows how to agree with others and has no opinion. It is also a metaphor for not having a wide range of knowledge,中非是命运与共、志同道合的好朋友、好伙伴、好兄弟。
508,小心翼翼,7,culture,清·蒲松龄《聊斋志异·一员官》：“济南同知吴公，刚正不阿。”,比喻自寻烦恼，自招忧患。,3,xiǎo xīn yì yì,"Qing, Pu Songling's ""Strange Tales from a Liaozhai, A Official"": ""Jinan knows Wu Gong together, and he is upright.""",It is a metaphor for self-seeking troubles and self-induced worries.,一般来说，怕有两种，一种是缘于未知，对眼前的事情或者想象中的事物不熟悉、不了解，放大其威胁，突出其危害，因之退避三舍、彷徨无措；另一种是缘于敬畏，担心处理不好会带来不利后果，辜负大家的信任，因之小心翼翼、紧张不已。
509,投其所好,1,mainland China politics,宋·朱熹《答吕方子约（九月十三日）》：“随语生解，节上生枝，则更读万卷书，亦无用处也。”,写事-对立-⑻福祸-祸,1,tóu qí suǒ hào,"Song Zhu Xi's ""Answer to Lu Fangzi (September 13th)"": ""It is useless to read thousands of volumes of books if you follow words to generate explanations, and branch to branches.""",Writing things-opposites-(8) blessings and woes-woes,有的认为“多一事不如少一事”，对违规违纪问题不及时制止，反而听之任之；有的怕丢选票、怕得罪人，对上级投其所好，对同级“多行方便”，对下级哄着护着，不敢批评；有的担心“大家都在说好话，如果我坚持说‘坏话’，不就成了‘异类’”，等等。
510,雷厉风行,30,mainland China politics,《论语·子路》“名不正则言不顺，言不顺则事不利。”,余子：其他的人。眼里没有旁人。形容自高自大，目中无人。,4,léi lì fēng xíng,"""The Analects of Confucius Zilu"" ""If the name is not correct, the words will not go well, and if the words are not correct, the situation will be unfavorable.""","Yu Zi: Other people. There is no one else in his eyes. Describe self-important and arrogant, with no one in sight.",疫情防控战情紧急，专用医院早一点建成，就能早一点阻击疫情、早一点抢救生命。纵有千难万难，也要向险而行、毫不退缩。争分夺秒、雷厉风行的“火雷速度”，凝结着一个雷打不动的信念——人民群众生命安全和身体健康高于一切。
511,继往开来,114,mainland China politics,《后汉书·何进传》：“国家之事易可容易？覆水不收，宜深思之。”,写人-德才-⒆傲慢-自大,5,jì wǎng kāi lái,"""The Biography of He Jin in the Later Han Dynasty"": ""Can the affairs of the country be easy? It is advisable to think deeply about it.""",Writing about people - virtue and talent - (19) arrogance and arrogance,新时代的中国，既面临新的历史机遇，又面临各种风险挑战，前进路上还有许多“雪山”、“草地”需要跨越，还有许多“娄山关”、“腊子口”需要征服，正所谓“船到中流浪更急、人到半山路更陡”。引领中国号巨轮破浪前行，推进民族复兴伟业，要求全党发扬斗争精神、增强斗争本领、强化责任担当，付出更为艰巨、更为艰苦的努力。在全党开展“不忘初心、牢记使命”主题教育，是以习近平同志为核心的党中央统揽伟大斗争、伟大工程、伟大事业、伟大梦想作出的重大部署，是我们党在新时代不断推进自我革命的重要实践，具有十分重大而深远的意义。主题教育恰逢中华人民共和国成立70周年，我们党即将迎来建党100周年，可谓正当其时——“主题教育就是要进一步筑牢理想信念，就是要在新中国成立70年的时候宣示下一个70年，我们将高举革命的旗帜，继往开来，重整行装再出发。
512,白手起家,10,financial news,五代·安重荣《上石敬瑭表》：“须知机不可失，时不再来。”,柴草做不成饭。比喻贫困。,3,bái shǒu qǐ jiā,"Five Dynasties ,  An Chongrong's ""Shangshi Jingtang Table"": ""It is important to know that the opportunity must not be missed, and the time will never come.""",Firewood cannot make rice. A metaphor for poverty.,翻开厚重的宁夏红色奋斗史，璀璨夺目、熠熠生辉，那些于发展实践中培育并坚持的革命光荣传统和优良作风，至今依然是激励我们不畏艰难、勇往直前的宝贵精神财富。回望过往的奋斗路，在硝烟弥漫的战争岁月，为追求民族解放、人民当家作主，多少人舍生忘死、前仆后继；在白手起家的建设年代，为改变贫穷面貌、实现国家富强，多少人不计得失、奉献一生；在创新求进的改革时代，为攻克发展难题、加快赶超跨越，多少人义无反顾、冲锋在前……他们的身上，凝聚着奋进的力量；他们的心里，怀揣着信仰的追求；他们的行动，就是对铭记革命历史、传承革命精神的最好诠释。
513,恩将仇报,2,culture,宋·欧阳修《与梅圣俞书》：“昨在真定，有诗七八首，今录去，班门弄斧，可笑可笑。”,丑态：丑恶的神态；毕：完全。丑恶的形态彻底暴露,2,ēn jiāng chóu bào,"Song Ouyang Xiu's ""Book with Mei Sheng Yu"": ""Yesterday in Zhending, there were seven or eight poems, and I will record them today. It's ridiculous.""",Ugly: ugly demeanor; Bi: completely. The ugly form is completely exposed,也有知名作家介绍写作经验说，把作品当成不是自己的，从别人的角度旁观，冷静地修改。像这样借力于他人的做法，同样不失为人生改过之灵方。所谓“当局者迷，旁观者清”，请别人帮助审视自我，也许更能把自己看个通透。打磨钻石用的是另一颗钻石，人生修为一样离不开他人敲打。当年晏子决意辞退三年不给他挑毛病的幕僚，相比之下，如今有的人对帮自己指出不足的人不谢反恨、恩将仇报，实在糊涂至极。
514,鸟语花香,12,mainland China politics,《淮南子·人间训》：“近塞上之人有善术者，马无故亡而入胡。人皆吊之。其父曰：‘此何遽不为福乎？’居数月，其马将胡骏马而归。人皆贺之。…故福之为祸，祸之为福，化不可极，深不可测也。”,胎发未干。用以指孩童之时。,3,niǎo yǔ huā xiāng,"""Huainanzi, Huijianxun"": ""People near the fortress have good skills, horses die for no reason and enter Hu. Everyone hangs them. His father said: 'Why is this not a blessing?' After living for several months, his The horse will return the Hu Junhorse. Everyone congratulates him. .",The hair of the fetus is not yet dry. It is used to refer to the time when a child is a child.,中华民族向来尊重自然、爱护自然，“天人合一”的理念深深植根于中华民族的精神之中，这些朴素的生态智慧穿越时空至今熠熠生辉。党的十八大以来，习近平多次强调“坚持人与自然和谐共生”“环境就是民生”“绿水青山就是金山银山”等理念，深刻诠释人与自然发展的关系，为绿色发展提供了强大的理论支撑和实践指导。事实上，在推动绿色发展方面，中国不仅有理念主张，也有实际行动。中国坚持生态惠民、生态利民、生态为民，蓝天白云、清水绿岸、鸟语花香正在从畅想变为现实。
515,引人入胜,6,culture,唐·张彦远《历代名画记·张僧繇》：“金陵安乐寺四白龙不点眼睛，每云：‘点睛即飞去。’人以为妄诞，固请点之。须臾，雷电破壁，两龙乘云腾去上天，二龙未点眼者见在。”,有功劳的一定奖赏，有罪过的一定惩罚。形容赏罚严明。,3,yǐn rén rù shèng,"Tang Zhang Yanyuan's ""Famous Paintings of Past Dynasties: Zhang Sengyao"": ""The four white dragons of Anle Temple in Jinling do not point their eyes, but every cloud says: 'When the eye is touched, it will fly away.' The two dragons ride on the clouds to go to the sky, and the two dragons who haven't blinked their eyes are there.""","Those who have merits must be rewarded, and those who have sins must be punished. Describe the reward and punishment is clear.",我们要围绕引人入胜、润物无声地广泛宣传习近平新时代中国特色社会主义思想这个重大课题，牢牢坚持群众路线，回答好“为了谁”、“依靠谁”、“我是谁”的问题；把准普通群众关切点，抓住社会发展关键点，激发思想感情共鸣点，用群众的语言、喜闻乐见的形式宣传科学理论、阐释方针政策、传播主流价值，持续提高主流舆论的传播力引导力影响力公信力。
516,首当其冲,10,Hong Kong - Macau politics,《二程全书·遗书二上》：“真知与常知异。尝见一田夫曾被虎伤，有人说虎伤人，众莫不惊，独田夫色动异于众。”,写人-德才-⑿团结-帮助,3,shǒu dāng qí chōng,"""Second Cheng Quanshu ,  Posthumous Note II"": ""True knowledge is different from common knowledge. When I saw that Yi Tian was injured by a tiger, some people said that the tiger hurt people, and everyone was not surprised.",Writing about people - virtues and talents - (12) unity - help,就拿美国此次将中国企业华为及其附属公司等列入限制清单来说，损失最大，或是首当其冲受到损失的，有可能是美国企业。
517,心不在焉,2,mainland China politics,宋·苏轼《次韵米黻二王书跋尾》：“巧偷豪夺古来有，一笑谁似痴虎头。”,旧时比喻地方官廉明公正。,2,xīn bù zài yān,"Song Su Shi's ""Second Rhyme Mifu Second King's Book Postscript"": ""A clever trick has been used in ancient times. Whoever smiles is like a crazy tiger's head.""","In the old days, it was a metaphor for the integrity and impartiality of local officials.",当下的95后、00后大学生思想活跃，有强烈的学习兴趣和怀疑精神，因而今天的教学工作必须严肃以对、以诚相待。如果教师自身对于教学工作没有充分准备，就不免面对这样的悖论与窘境：学生枯坐课堂、心不在焉，认为有的老师老套死板，课程无聊乏味，全无学习兴趣。
518,有声有色,6,Hong Kong - Macau politics,元·无名氏《延安府》第二折：“如有班部监司，不才官吏，一笔勾销，永不叙用。”,形容人富有才学，享有很高的声望，不同流俗。,3,yǒu shēng yǒu sè,"The second fold of Yuan Anonymous's ""Yan'an Mansion"": ""If there are supervisors and divisions in the squad, and officials who are not talented, they will be written off and never used again.""","It describes a person who is rich in talent and enjoys a high reputation, different from the common people.",“泰山崩于前而色不变，麋鹿兴于左而目不瞬。”心中有目标，脚下才有力量。当今世界正经历百年未有之大变局，面对国内外风险挑战明显上升的复杂局面，尤须呼唤“咬定青山不放松”的勇毅担当。脱贫攻坚如何再接再厉攻克深度贫困？产业基础高级化、产业链现代化的攻坚战，如何打得有声有色有成果？
519,名不副实,3,mainland China politics,元·康进之《李逵负棘》第三折：“你休得顺水推船，偏不许我过河拆桥。”,形容响亮的歌声，高入云霄，能使流云受阻而停下来。,2,míng bù fù shí,"Yuan Kang Jinzhi's ""Li Kui Negative Thorn"" 3rd fold: ""You can push the boat smoothly, but you won't allow me to cross the river and demolish the bridge.""","It describes a loud song, high into the clouds, which can make the flowing clouds obstructed and stop.",”民主的形式丰富多样，没有放之四海而皆准的固定模式。如果一味照搬照抄，只会拘泥于刻板，甚至水土不服、名不副实。民主的真谛，在于保障人民当其家、作其主，就是要如实反映民生民情，让群众说了算、得实惠，解决他们关心的现实问题、治理难题。
520,绝处逢生,2,None,《史记·平原君虞卿列传》：“鄙谚曰：‘利令智昏。’平原君（赵胜）负冯亭邪说，使赵陷长平四十余万众，邯郸几亡。”,阑珊：将尽，将衰。指春天就要过去了。,2,jué chù féng shēng,"""Historical Records: Biography of Pingyuan Jun and Yuqing"": ""The vulgar proverb says: 'Let the wisdom be fainted.' Pingyuan Jun (Zhao Sheng) defeated Feng Tingxie's theory, causing Zhao to be trapped in Changping for more than 400,000 people, and a few in Handan.""","Appendage: will be exhausted, will decline. It refers to the fact that spring is about to pass.",None
521,高不可攀,3,mainland China politics,《庄子·齐物论》：“狙公赋芧，曰：‘朝三而暮四。’众狙皆怒。曰：‘然则朝四而暮三。’众狙皆悦。名实未亏而喜怒为用，亦因是也。”,暴：暴烈；躁：急躁。形容大发脾气或十分着急的样子,2,gāo bù kě pān,"""Zhuangzi ,  Qiwu Lun"": ""The Duke of Spy gave the scorpion, saying: 'Three in the morning and four in the evening.' All the snipers were angry. He said: 'Then the fourth in the morning and the third in the evening.' All the snipers were happy. Emotions and anger are used, and that’s why.”",暴暴：暴烈；躁：急躁。 Describe a big temper or a very anxious look,基层有风雨，只要挺起胸膛栉风沐雨，风雨过后就能看得见彩虹；挑战有风险，只要无惧无畏敢于担当，风险再大也会化为无限机遇；路上有风光，只要心中有景一往无前，旖旎风光就会始终相伴相随。有毕业学员曾经这样深情地说道：“当我遥望雪域高原，感觉它是那么遥不可及、高不可攀；当我登上雪山高峰，发现自己不再渺小。
522,货真价实,1,mainland China politics,三国吴·徐整《三五历纪》,形容人精力充沛，风度不凡。,1,huò zhēn jià shí,"Three Kingdoms Wu, Xu Zheng ""Three Five Calendars""",It describes a person who is energetic and poised.,民生无小事，枝叶总关情。当前，各地坚持学史力行，深入开展“我为群众办实事”实践活动：北京怀柔聚焦物业管理、城市环境、交通管理等，通过“干部直达现场”等工作机制切实解决一批疑难复杂的重点民生诉求；江苏南京公布第一批项目清单，涵盖保障和改善民生、深化政务服务改革等5方面20项内容；青海西宁确定实施10类30项重点民生实事，各区县结合稳定就业、公共服务等列出211项重点民生项目……一项项务实有力的创新举措，一张张“货真价实”的项目清单，给老百姓带来实实在在的获得感、幸福感、安全感，彰显共产党人一以贯之的赤子情怀、始终如一的人民立场。
523,望而生畏,4,financial news,《吕氏春秋·自知》：“百姓有得钟者，欲负而走，则钟大不可负。以椎毁之，钟况然有声。恐人闻之而夺己也，遽掩其耳。”,比喻旅途平安。,2,wàng ér shēng wèi,"""Lü Shi Chunqiu Self-Knowing"": ""If the common people have a bell and want to bear it and leave, the bell is too big to bear. If it is destroyed with a vertebra, the bell will still have a sound. I am afraid that people will hear it and steal themselves, and cover their ears.""",It is a metaphor for a safe journey.,比如，广东佛山的嘉腾机器人公司就研发出机器人之间的“聊天软件”，他们称其为“嘉腾—Brain”。同一个企业里经常会有来自不同国家、不同企业、不同类型的机器人，这个软件可以实现这些机器人之间的信息交互，使这些机器人能够协同工作。想象一下，如果地球上的机器人也有“微信”，也通过朋友圈“聊天”，这是一幅什么场景？再比如，胃肠镜检查是所有医疗检查中最让人望而生畏的检查之一，广州的南方医科大学刘思德教授团队开发出“5G+AI”胶囊胃镜技术就解决了这个问题，受检者只需吞下一粒智能胶囊，智能胶囊就以每秒3-5张照片的速度在胃肠道拍摄照片，并将这些照片同步发送到受检者的手机App上，手机App再将数据发射到云端进行人工智能数据处理，处理结果实时反馈给受检者，受检者无需去医院就可以完成检查。
524,水泄不通,2,culture,《孟子·公孙丑上》：“宋人有闵其苗之不长而揠之者，茫茫然归，谓其人曰：‘今日病矣，予助苗长矣。’其子趋而往视之，苗则槁矣。”,杀只鸡用宰牛的刀。比喻大材小用。,2,shuǐ xiè bù tōng,"""Mencius, Gongsun Chou Shang"": ""The Song people had Min Qimiao who did not grow up and looked at them, and they returned in a daze, saying to them: 'Today, I am sick, and I will help the seedlings grow.' After all, the seedlings are dead.""",To kill a chicken with the same knife used to slaughter a cow. It is a metaphor for the small use of a large material.,记者在河南新乡调研时，遇上戏班来村里演曲剧《哑女告状》，全村老少将戏台围得水泄不通。当含冤受诬的“哑女”被解开哑穴，终于发出一声哀鸣时，蹲在墙根、坐在三轮车上、站在平房顶上的村民们顿时雀跃，齐声欢呼。
525,不攻自破,23,sports,《易·既济》：“君子以思患而豫防之。”《乐府诗集·君子行》：“君子防未然。”,比喻相聚饮酒时的欢乐。觥，酒器。,4,bù gōng zì pò,"""Easy Jiji"": ""A gentleman thinks about trouble and hesitates to prevent it."" ""Yuefu Poetry Collection ,  A gentleman's line"": ""A gentleman guards against the future.""","It is a metaphor for the joy of getting together to drink wine. Goblet, a drinking vessel.",既出钱，又出力。证据确凿，内外勾连的判断早就实锤，乱港背后“无大台”的说法不攻自破。正是接收到台当局用言行发出的支持信号，几十名曾冲击立法会的香港暴徒顺利逃匿至台湾，并要求提供庇护。
526,迎刃而解,15,mainland China politics,《战国策·楚策一》：“秦之所害于天下莫如楚，楚强则秦弱，楚弱则秦强，此其势不两立。”,写事-交往-_-⑸言论,3,yíng rèn ér jiě,"""Warring States Policy: Chu Ce No. 1"": ""What Qin has harmed in the world is no more than Chu. When Chu is strong, Qin is weak, and when Chu is weak, Qin is strong. This is incompatible with each other.""",Writing - Interaction -_- (5) Speech,尽管此前相关部门曾三令五申要求拆除违规设施、恢复洞庭水域，整改工作却一拖再拖，没有从根本上解决问题。如今，专项督察开展仅一个多月，事件责任人就受到处罚，“超级矮围”拆除到位。17年与13天的对比，说明只要拿出动真碰硬的监管决心、雷霆万钧的执法力度，“老大难”问题也可以迎刃而解。这当中的关键就是要执法必严。
527,实事求是,286,mainland China politics,《后汉书·孔融传》：“安有巢而卵不破乎？”,旧时称好的帝王了解民情。,5,shí shì qiú shì,"""The Book of the Later Han: The Biography of Kong Rong"": ""Is there a nest without breaking the egg?""","In the old days, the emperor who claimed to be good understood the people.",去年年底，中共中央政治局会议提出，要“创造性贯彻落实党中央方针政策和工作部署”。记者注意到，有的地方贯彻上级文件规定，一味照抄照搬，看不出本地特点。凡事都要因地制宜，落实上级政策，必须本着实事求是原则，发挥干事创业主动性，把上级要求贯彻到实际中，体现出成效来。
528,饥寒交迫,2,culture,《后汉书·杨彪传》：“愧无日先见之明，犹怀老牛舐犊之爱。”,海屋：寓言中堆存记录沧桑变化筹码的房间；筹：筹码。旧时用于祝人长寿。,2,jī hán jiāo pò,"""Book of the Later Han Dynasty: Biography of Yang Biao"": ""I am ashamed of my foresight, but I still cherish the love of an old ox and a calf.""","Sea House: A room where chips are stacked to record the vicissitudes of change in the parable; chip: chips. In the old days, it was used to wish people long life.",被称为“死亡陷阱”的茫茫草原，是长征途中最艰难的路段，许多红军烈士长眠于此。据一位老红军回忆，即便在这样饥寒交迫的情况下，“每天歌声随着人流在草原上荡漾”。
529,喜出望外,2,Hong Kong - Macau politics,元·赵孟睢对叛袒鹫摺肥骸叭思淝梢斩崽旃ぃ兑┤嫉魄逯缤！！?【拼音】:qiǎo,写事-交往-_-⑸言论,2,xǐ chū wàng wài,"Yuan, Zhao Mengsui is stubborn about his betrayal and slaughtering the cubs! ! ?【Pinyin】:qiǎo",Writing - Interaction -_- (5) Speech,长期以来，“港独”分子和香港极端反对派人士通过表演式的“现身说法”给“一国两制”泼了许多脏水。而民进党早已把攻击“一国两制”定为2020年“大选”的选战主轴，有“港独”前来背书，自然喜出望外。民进党此次出钱出力、明里暗里地支持香港激进暴力示威，为的无非是自己的选举利益。
530,一尘不染,2,culture,汉·蔡邕《太尉乔玄碑》：“其性庄，疾华尚朴，有百折不挠，临大节而不可夺之风。”,比喻东西失而复得或人去而复回。,2,yī chén bù rǎn,"Han Cai Yong's ""Taiwei Qiao Xuan Stele"": ""Its character is dignified, and it is elegant and simple.",The metaphor is that something is lost and found again or a person goes and comes back.,小事小节中有政治、有方向、有形象、有人格。党员干部特别是领导干部应对照“三严三实”、紧盯关键环节，于细微处着力，修身律己，慎终如始。要时刻自重自省自警自励，做到慎独慎初慎微慎友。要加强道德修养，追求健康情趣，像珍惜生命一样珍惜自己的节操，做一个一尘不染的人。
