,Chengyu,Explanation
498,精益求精,The metaphor is nationally known.
499,胡作非为,Writing about people - virtue and talent - (13) talent - talent
500,开门见山,"System: hold back. It refers to the connection of land boundaries, such as the interlocking of dog teeth, which can hold each other in check."
501,狭路相逢,"Writing things - state of affairs - (9) clutter, neatness - clutter"
502,历历在目,It is a metaphor for a man's vain appearance. It is also used to describe the beauty of a man.
503,里应外合,The time that the sun's shadow moves an inch should also be cherished. It means that time is extremely precious.
504,蛛丝马迹,It describes a person who is rich in talent and full of knowledge.
505,充耳不闻,The mouth is three feet long. It describes a person who is good at discriminating.
506,视而不见,Writing about people - speech - (1) talk - good speech
507,志同道合,Field: theater. The metaphor is that one only knows how to agree with others and has no opinion. It is also a metaphor for not having a wide range of knowledge
508,小心翼翼,It is a metaphor for self-seeking troubles and self-induced worries.
509,投其所好,Writing things-opposites-(8) blessings and woes-woes
510,雷厉风行,"Yu Zi: Other people. There is no one else in his eyes. Describe self-important and arrogant, with no one in sight."
511,继往开来,Writing about people - virtue and talent - (19) arrogance and arrogance
512,白手起家,Firewood cannot make rice. A metaphor for poverty.
513,恩将仇报,Ugly: ugly demeanor; Bi: completely. The ugly form is completely exposed
514,鸟语花香,The hair of the fetus is not yet dry. It is used to refer to the time when a child is a child.
515,引人入胜,"Those who have merits must be rewarded, and those who have sins must be punished. Describe the reward and punishment is clear."
516,首当其冲,Writing about people - virtues and talents - (12) unity - help
517,心不在焉,"In the old days, it was a metaphor for the integrity and impartiality of local officials."
518,有声有色,"It describes a person who is rich in talent and enjoys a high reputation, different from the common people."
519,名不副实,"It describes a loud song, high into the clouds, which can make the flowing clouds obstructed and stop."
520,绝处逢生,"Appendage: will be exhausted, will decline. It refers to the fact that spring is about to pass."
521,高不可攀,暴暴：暴烈；躁：急躁。 Describe a big temper or a very anxious look
522,货真价实,It describes a person who is energetic and poised.
523,望而生畏,It is a metaphor for a safe journey.
524,水泄不通,To kill a chicken with the same knife used to slaughter a cow. It is a metaphor for the small use of a large material.
525,不攻自破,"It is a metaphor for the joy of getting together to drink wine. Goblet, a drinking vessel."
526,迎刃而解,Writing - Interaction -_- (5) Speech
527,实事求是,"In the old days, the emperor who claimed to be good understood the people."
528,饥寒交迫,"Sea House: A room where chips are stacked to record the vicissitudes of change in the parable; chip: chips. In the old days, it was used to wish people long life."
529,喜出望外,Writing - Interaction -_- (5) Speech
530,一尘不染,The metaphor is that something is lost and found again or a person goes and comes back.
531,不近人情,"Guan Ning: The name of the person. Seat: A woven fabric used for sitting and lying down. Metaphorically, the friendship between friends is cut off in two, suspending the relationship."
532,不足为奇,The metaphor is that the war was fierce and blood was spilled.
533,空前绝后,It is a metaphor for the interdependence of bad and good things.
534,神魂颠倒,Poor ape: an ape closely pursued by a hunter. It is a metaphor for being in poverty and desperate to find a place to stay.
535,同舟共济,To take something very brittle and touch it to a stone. The metaphor is that things are bound to fail.
536,谈何容易,hills: hills; valleys: valleys. The hills become valleys and the valleys become hills. A metaphor for the great change of world affairs
537,走投无路,Dai: the name of the county in the north in ancient times; Dai horse: the good horse produced in the north. A metaphor for people who are fond of their homeland and do not want to die in their hometown
538,称王称霸,Refers to the rare and valuable nature of good neighbors.
539,麻木不仁,Reasoning and worldliness
540,眼花缭乱,The paperwork strains the body. Describe the busy official business.
541,装模作样,The inferior horse is only thinking about the feed in the stable. The metaphor is that an incompetent person is only greedy for comfort and has no great ambition.
542,唯唯诺诺,"Originally, it refers to the simultaneous performance of various kinds of miscellaneous plays. Later, it describes the chaos of things. It also refers to a lot of changes (with derogatory meaning)."
543,高人一等,Writing matters - Situation - (7) Culture and art - Vocal dance
544,有口无心,Describe the situation of people in deep water
545,推心置腹,Spreading what is wrong and getting more and more wrong
546,打退堂鼓,Writing about people - Virtue and talent - (20) Greed - Greed
547,顾此失彼,Buddhist term. It is a metaphor for profound enlightenment. It also describes the incisiveness and thoroughness of the commentary.
548,面面俱到,Writing - Situation - (7) Culture and Art - Masterpiece
549,不可救药,"It is a metaphor for unity and mutual assistance, working together to overcome difficulties."
550,危在旦夕,Writing about events - state of affairs - (2) change - for the better
551,粉墨登场,Pan: pleasure. Refers to enjoyment not being excessive
552,弱不禁风,"Measure: guess, estimate. The ghosts and gods can't anticipate. Describe extremely magical and mysterious."
553,泾渭分明,啮: bite; 狸: civet cat. Even a mouse with no way to escape will bite a cat. The metaphor is that a mouse will resist to the death even if it is oppressed by someone.
554,明火执仗,Writing - Situation - (5) Military - Combat
555,任人唯贤,"Feng Tang of the Han Dynasty had been through three dynasties, and when he reached Emperor Wu, he was elected as a virtuous person, but he was too old to be an official. He lamented that he was born at the wrong time or expressed his old age."
556,有机可乘,It is a metaphor for the reversal of the position of the top and the bottom and the lack of distinction between the superior and the inferior.
557,燃眉之急,The white clouds in the sky are far away from one's loved ones. A metaphor for missing a loved one
558,满腹经纶,"All: all, all; dead: dead, non-existent. Describe the sadness of seeing the relics and remembering the dead."
559,含糊其辞,Writing about people - feelings -_- (5) grief
560,销声匿迹,"Sink: sink. The stove is not with the water, producing frogs. Describe the seriousness of flooding"
561,不分彼此,To measure the abyss with the finger of one inch. It is a metaphor for the inability of superficial learning to understand the deeper truth.
562,千篇一律,It is a metaphor for the upward movement.
563,百花齐放,It is a metaphor for a person's open-mindedness.
564,来者不拒,"The phoenix comes to dance with extraordinary instruments. In ancient times, it refers to auspicious signs."
565,好高骛远,Writing about people - experiences - (3) situations - good situations
566,与人为善,It describes a dangerous terrain that can be guarded by a small number of troops.
567,格格不入,Writing objects - Geography - _ - Dangerous places
568,大快人心,Refers to the many errors in the text
569,苦口婆心,"Bing Ge: weapons, referring to war; disturbance: chaos. Describe the social turmoil and chaos in times of war"
570,轻描淡写,"Imitation. A metaphor for mere imitation, lacking creativity"
571,操之过急,Attacked internally and externally by the enemy.
572,日积月累,Braid: arrange in order; shell: shell. Describe the neatness and whiteness of the teeth
573,安分守己,It is a metaphor for a sign of certain victory with the army.
574,一日千里,八音：Ancient collective name for musical instruments; 遏：stopping; 遏密：meaning that the emperor stopped playing music after his death. Various musical instruments stopped playing. Refers to the death of a head of state
575,背信弃义,It is suspicious and alarming to each other
576,万紫千红,"Scattering chaff to squint the eyes of others. The metaphor is that although the external objects are small, the harm caused is great."
577,莫名其妙,"Teach the soldiers to fight so that they know that retreating is a disgrace, and thus they will be able to go forward and kill the enemy to win."
578,无稽之谈,"Writing things - state of affairs - (2) change - disappear, eliminate"
579,老马识途,Willingness to put their lives on the line in times of danger.
580,骇人听闻,"When in distress, we live and die."
581,安如泰山,"Metaphorically speaking, the situation is planned and decisions are made"
582,异曲同工,Long lance: spear; Fu: chant. The poem is written across the spear. It refers to the heroic and heroic temperament of being able to write and fight.
583,九牛一毛,Examine the principles of things in order to gain knowledge.
584,百川归海,Pig: A pig. Parents talk the talk and teach their sons to be honest and untrustworthy.
585,改过自新,"达：通懂；地：底子；知：知知道。 Metaphorically, the root is clear and understandable"
586,论功行赏,It is used to describe the revitalization of people's hearts and redeem the bad social atmosphere.
587,从天而降,Refers to the absence of a sense of merit and the desire to be retired
588,疾恶如仇,"If you ask others for advice when you encounter difficulties, you will learn a lot."
589,攀龙附凤,"Lin: close to, next to. It refers to the painstaking practice of calligraphy."
590,指鹿为马,临：及；讳：避避。 It is not necessary to avoid it when writing.
591,鸿鹄之志,The nature of a person's transgressions gives an idea of the person's character.
592,好大喜功,Writing about people - Experiences - (1) Experiences - Trapped in residence
593,噤若寒蝉,Writing - state of affairs - (1) act - misconduct
594,草菅人命,"Writing about events - the state of affairs - (7) sound, atmosphere - sound"
595,尸位素餐,Writing about people - Virtue and talent - (5) Humility - Modesty
596,防微杜渐,The poem was written in a thoughtful manner.
597,取而代之,Writing - Situation - (7) Culture and Art - Masterpiece
598,如坐针毡,Forgetting to take his wife with him when he moved. The metaphor is careless to the point of absurdity.
599,侃侃而谈,Writing about people - Virtue and talent - (1) Noble - Tolerance
600,众志成城,"Pass: pass by; Cun: preserve, have. Wherever the sage goes, the people are invariably touched and forever influenced by his spirit."
601,城下之盟,Venture: to create a meritorious career. Pendant: to pass down. Unification: refers to a system of succession. To create a meritorious career and pass it on to future generations.
602,讳莫如深,Writing - Situation - (1) World - Save the country
603,包藏祸心,"Asking for a glass of water, but getting wine. The metaphor is to get more than what is asked for."
604,病入膏肓,"Writing about events - state of affairs - (3) results - obvious, good"
605,后悔莫及,The spittle from the cough is turned into pearls. It is a metaphor for high level of speech. It is also used as a metaphor for beautiful poetry and writing.
606,马首是瞻,Bunch of hemp: a bundle of burnable hemp as a torch; please fire: borrow fire. To ask for fire from the neighboring family by rolling hemp as a fire-starting rope. The metaphor is to ask for help. It is also used as a metaphor for solving difficulties for people.
607,疲于奔命,Writing things-Interaction-_-(3) Attitude
608,狼子野心,"Chen Li: contribute talent; On: serve; Lie: official position, post. According to the size of the contribution talent, hold the corresponding official position"
609,杞人忧天,The metaphor is that the article is written quickly.
610,刚愎自用,Writing about people - virtue and talent - (13) talent - talent
611,竭泽而渔,"Metaphorically speaking, heart to heart, meeting heart to heart"
612,居安思危,"Just started it, not finished yet."
613,捉襟见肘,"Writing about events - state of affairs - (3) results - fair, poor"
614,卧薪尝胆,A shake of the hand is a violation of the ban. The metaphor is that the decree is cumbersome and harsh.
615,骄奢淫逸,Writing matter - situation - (4) rule of law - public security and justice
616,举棋不定,"Luo: Female Luo, the name of the plant. Take vines to mend the holes in the house. It is a metaphor for living in poverty and making up for it. Later, it is often used as a metaphor for making do with what is available."
617,亡羊补牢,"Do not ask for money casually in the face of money, and be honest and clean."
618,游刃有余,It is a metaphor for being a clean person and not accepting bribes.
619,一曝十寒,"Draw the knife: pull out the knife. Water: running water. The knife is drawn to cut off the flowing water. The metaphor is not helpful, but will accelerate the development of the situation."
620,南辕北辙,"Scabbard: A wooden cage to hold a fierce animal. Originally, it means that the person in charge of guarding the cage did not do his duty. Later, it is often used as a metaphor to describe the indulgence of bad guys."
621,奉公守法,To release a tiger to defend oneself. The metaphor is to take advantage of bad guys and invite disaster on oneself.
622,旷日持久,Writing about people - experience - (1) experience - change
623,缘木求鱼,Accurately judge the enemy situation and take appropriate countermeasures to defeat the enemy
624,刻舟求剑,"聒：声音吵吵；舍：舍弃。 Describe others are not willing to listen, but still rambling on and on."
625,三人成虎,Writing about people - Talking - (1) Talking - Talking a lot
626,井底之蛙,"The original metaphor is only good-looking in appearance. Later, it describes a man's good looks."
627,成竹在胸,You do not have to have a regular teacher to be taught.
628,水滴石穿,"Resume: describe wide. The thin blade inserted between the bones, but still feel wide, there is room for maneuvering. It is often described as a great ability, high skill, handling problems effortlessly."
629,脍炙人口,"The original meaning is to go into the mountains to hunt deer, without the help of Yu Guan who is familiar with the terrain and the nature of deer, it is a waste of effort. Later, it is said that if you do something rashly without maturity, you will definitely work hard without success."
630,爱屋及乌,Expressing thoughts of distant friends.
631,呕心沥血,The old words of congratulation for a long and happy life.
632,庸人自扰,Mao: refers to the grains produced on the ground; Bait: to step on. The original meaning is that both the food eaten and the land lived on are owned by the king. It was used by feudal officials to express their gratitude to the monarch for his kindness.
633,模棱两可,Writing - Situation - (6) Teaching - Learning
634,宠辱不惊,The metaphor is to pretend to be calm so that people cannot guess.
635,沆瀣一气,Writing about people - mind -_- (15) sedation
636,功亏一篑,"Metaphorically, it covers up the truth of the matter."
637,明哲保身,Pinch the throat and hold down the back. The metaphor is to control the key points and control the enemy's death.
638,天经地义,"To: invoke. To explore the deep, to bring about the arrival of the distant. A metaphor for exploring the deep."
639,白驹过隙,Writing - Situation - (6) Teaching - Seminar
640,含沙射影,It is in the middle of the axle of the car. It is a metaphor for an official in an important position.
641,丧心病狂,It means that the Son of Heaven is above all officials and his dignity is unreachable. The old metaphor is about the dignity of the emperor.
642,奴颜婢膝,"The hot soup has burned my mouth, and I have to blow on it even if I eat it in pieces. It is a metaphor for having learned a lesson and being overly cautious about things."
643,釜底抽薪,"開：Open, understand; 服務：Matters. Knowing the reasoning of you and being able to do all kinds of things well."
644,精忠报国,飞：形容極快；刍：刍：饲料；挽：拉車或船；粟：小米，泛指粮食。 It refers to the rapid transportation of grain and fodder.
645,玩物丧志,Writing about people - Virtue and talent - (4) Sincerity - Sincerity
646,八面威风,Benefit: To give someone a benefit; Expense: To consume. To give someone a benefit without losing anything for oneself.
647,害群之马,Writing - state of affairs - (1) behavior - appropriate
648,为虎作伥,Refers to correcting mistakes and making up for faults.
649,如意算盘,Writing about things-opposites-(5) similarities and differences-differences
650,天衣无缝,Writing about people - virtue and talent - (18) hypocrisy - hypocrisy
651,越俎代庖,We appreciate the strange text and analyze its doubts.
652,黔驴技穷,Refers to remediation of the military.
653,惊弓之鸟,Change the strategy of the plan.
654,鱼目混珠,Expose the hidden bad guys and bad things.
655,火中取栗,Roll up the armor and rush forward
656,杯水车薪,Refers to dissatisfaction and opinion in mind
657,车水马龙,It is a metaphor that those who are officials do not compete with the people for profits.
658,迷途知返,It refers to befriending powerful people to keep one's position.
659,弃之可惜,Confucius praised the four qualities of man.
660,兵贵神速,Writing about people - Virtue and talent - (5) Modesty and prudence
661,披荆斩棘,To annex weak states and crush dim-witted and confused monarchs.
662,乐此不疲,Lurking inside like a fox or a mouse.
663,渐入佳境,Writing about things-opposites-(5) similarities and differences-similarities
664,城狐社鼠,Refers to matchmaking.
665,兢兢业业,Writing about people - Experiences - (1) Experiences - Marriage
666,后起之秀,"In the olden days, it was said that a person would not forget his wife and children when he was dying."
667,风声鹤唳,"I eat very little every day, but I have to deal with a lot of work. It describes hard work and poor health."
668,功败垂成,Writing objects-objects-_-adjectives
669,穷兵黩武,The red flowers and green leaves are scattered. Describe the flowers and trees swaying with the wind.
670,偃旗息鼓,Writing objects - scenery -_- flowers and trees
671,身先士卒,It is a description of running around for fame and fortune.
672,价值连城,Writing about people - Virtue and talent - (14) despicable - drilling
673,崇洋媚外,"Well: The name of the star. The hand can touch the sky, describing the extremely high"
674,数不胜数,Describing a house as tall and numerous
675,马不停蹄,"Angry eyes: staring at each other with wide eyes; Choke wrist: holding the other wrist with one hand. Describing an angry, brave look"
676,知难而退,"Case: the same as ""press"", hold; angrily: stare. Holding the sword in his hand, he stared angrily"
677,盘根错节,Carrying dry food and sitting in armor. Described as fully armed and ready for battle.
678,如虎添翼,"Like clouds and water waves, a thousand shapes and forms are unpredictable. Describe the unpredictability of things."
679,高朋满座,Expressing nostalgia for friends and relatives (mostly used in letters in the old days).
680,妖言惑众,Find ways to convict the innocent as guilty.
681,玩火自焚,To follow the powerful and despise the deposed
682,一息尚存,Spying on each other's gaps
683,纲举目张,Pout: dig. Digging a deep pit. A metaphor for designing to harm people
684,耳闻目睹,It is like an inchworm that bends and cannot be extended. A metaphor for a person who is not ambitious
685,人所共知,Metaphorical survival with skill
686,无懈可击,"It refers to the accumulation of a lot of wealth without being able to help others, causing resentment among the people and eventually more losses."
687,虚无缥缈,Fat: a fat horse. Clothes: wear. Light: light and warm fur clothes. Driving a fat horse and wearing expensive clothes. Describe the lavish and luxurious life.
688,名副其实,"humble: lowly; flatter: flattering; sufficient: excessive; respectful: obsequious. Lowly, flattering, excessively submissive, flattering to others"
689,不肖子孙,Suffering from anger smothered in the heart.
690,死而后已,Writing - Interaction -_- (5) Speech
691,变幻莫测,To sing the praises of goodness and to correct faults.
692,前所未有,"Originally, it refers to King Wu's conquest of Zhou and the high morale of the army, and later it was used as an ode to the army fighting for justice."
693,从容不迫,"Pil: To assist. The use of criminal law as a metaphor for the people, so that people know the law, fear the law and abide by it, in order to achieve the effect that cannot be received by education."
694,闻所未闻,昧旦：break of dawn. It means getting up before dawn. Describes diligent or anxious
695,不期而遇,To conceal one's talent and not to reveal it
696,参差不齐,Compete for the best talent
697,不识好歹,Examine the suspicious end and eliminate the difficult point
698,心领神会,The metaphor is incisive and detailed in its analysis
699,不知不觉,"It refers to governing the country and talking about the way to rule the country. Metaphorically speaking, to be in a high position"
700,颠倒是非,Describe breaking the ready-made format
701,转危为安,"敕：通 ""饬""，谨饬；毖：谨慎。 Be careful from the beginning to the end"
702,装聋作哑,舂容：Describing the sound tone is grand and loud; 大雅： grand and elegant. It refers to the gracefulness of the article and the elegance of the wording
703,熟视无睹,"Bo: broad; about: restrained. Extensive learning, abide by the rituals and laws"
704,恍然大悟,The head is on the sky and the feet are on the ground. Refers to living on earth.
705,掉以轻心,Writing about people - Acting - (2) Style - One sided
706,推己及人,Talent: talent and knowledge; Wang: fame and prestige. Talent and fame can be called the status of public auxiliary.
707,信手拈来,Writing - Situation - (3) Economy - Circulation
708,不一而足,Food is as expensive as oil and fuel is as expensive as cinnamon. It is a metaphor for the high price of goods.
709,不计其数,It is a metaphor for being idle and having nothing to do.
710,顺理成章,"Flesh and flesh pressed against each other, bone and bone together. Describe the intensity of the battle."
711,知人善任,It is a metaphor for a person or thing that is in an extremely dangerous situation.
712,姑息养奸,Writing things-opposition-(7) safety and danger-danger
713,彻头彻尾,"Originally, it means to spray the chicken with water to make it sober before fighting. Later, it is used as a metaphor for pushing and urging."
714,无穷无尽,The metaphor is to pick and choose in both directions.
715,事与愿违,"Brigade: together, with. To go in and out with all the people. Describe following everyone and having no claim of one's own."
716,言之成理,The old term refers to the knowledge of the scriptures and good conduct.
717,各自为政,"Bing: grasp; 要: 要旨;执, hold; 本: 根本. Refers to mastering the main idea and the root"
718,来日方长,Writing matter-situation-_-(2) Administration
719,人微言轻,"底：通 ""抵""。 To do one's best, to try one's best"
720,词不达意,"Goblet: square wood, which was used by the ancients to write. 率尔：不思思索；操觚：指作文。 Originally describing quick thinking in writing, it later refers to writing rashly without careful consideration."
721,普天同庆,Writing about people-acting-(2) style-sloppy
722,人之常情,Describe the noisy shouting.
723,人心所向,It refers to being wrongly accused and falsely accused.
724,旁观者清,"What the top loves, the people below will love this hobby even more."
725,神乎其神,"Refers to multiple, also refers to trickery, trickery"
726,来龙去脉,Writing about people - Virtue and talent - (26) Stupidity - shallow opinion
727,事过境迁,Metaphorically imitating others
728,言传身教,"Que: lack of; lamp bar: lamp stand. There is no lamp stand, so people are used as lamp stands. In the old days, it was a satire on men's fear of domesticity"
729,胡言乱语,Describe talkative and talk casually.
730,因地制宜,This is the case in the morning and the case in the evening. Describe the diligent and persistent pursuit of learning.
731,胡说八道,Watching the timing and understanding the movement
732,煞费苦心,Love the people and seek to benefit them.
733,冒名顶替,"We seek knowledge by constantly overcoming difficulties, and when we have knowledge, we strive to implement it."
734,盲人摸象,A metaphor for relatives fighting each other
735,乘虚而入,"The Chinese idiom of ""mining copper in the mountains to mint coins"" and ""boiling seawater to obtain salt"" refers to the good exploitation of natural resources. The metaphor is good at exploiting natural resources."
736,风雨飘摇,Writing - Situation - (3) Economy - Management
737,不痛不痒,Writing about people - Virtue and talent - (6) Integrity - Integrity
738,风云变幻,"Describing the poetry as far-reaching, elegant and tranquil"
739,水到渠成,Generally refers to governing the country.
740,堂堂正正,A metaphor for a smooth resolution.
741,令行禁止,"Flow: water flowing with the trend; Kan: low and uneven. Flowing with the current, stopping when in danger. The metaphor is to go out of benevolence when things are going well, and to retreat when you encounter setbacks."
742,量入为出,Like meteor lightning. It is a metaphor for the rapidity of Mercedes-Benz.
743,开诚布公,The metaphor is extremely broad in scope.
744,无恶不作,"Writing about events - the state of affairs - (7) sound, atmosphere - sound"
745,惹火烧身,It is a metaphor for holding state power.
746,热气腾腾,Writing about people - experience - (3) situation - poverty
747,偷梁换柱,The metaphor is to find ways to recruit idle talents.
748,目瞪口呆,Writing about events - state of affairs - (4) degree - other
749,分庭抗礼,A metaphor for national unification.
750,风雨同舟,It is a metaphor for not revealing one's sharpness and being indifferent to the world. It is also a metaphor for incompetence and uselessness.
751,卷土重来,"High: In a prominent and important position. Lin Shen: As facing the abyss. Being in a prominent position is like facing an abyss. In olden times, it means that there is often danger when the official position is high."
752,快马加鞭,It is a metaphor for two parties who have a close relationship to become unconcerned or hostile to each other.
753,星罗棋布,Writing - state of affairs - (1) act - misconduct
754,作茧自缚,Look inward: to look inward; counter-hear: to listen to the outside. It refers to the ability to both reflect on one's own words and actions and to listen to the opinions of others.
755,似是而非,"K: restraint. Confucianism means to restrain oneself so that everything is ""ritual""."
756,休戚相关,Select talent based on virtue and reputation.
757,浮光掠影,Writing - Situation - (5) Military - Strategies
758,坐以待毙,The rafters are destroyed. It is a metaphor for the fall or death of a person in power.
759,坐吃山空,Sharp: Rapid. Those who are eager to advance are often quick to fall back.
760,一心一意,Settling for poverty and taking pleasure in it.
761,删繁就简,Writing about people - feelings -_- (6) sadness
762,肝胆相照,The old term refers to a person of high moral character who can undertake major tasks.
763,抛头露面,Writing about people - Virtue and talent - (1) noble - noble
764,乌合之众,Concentrate on your studies and get along well with your classmates.
765,声泪俱下,"They come when they don't want to, but go away when they do."
766,发人深省,Bind the horse: Wrap up the horse's hoof to prevent it from slipping; Hang the car: Hook the car firmly to prevent it from falling off. Wrap up the horse's feet and hang the car up the mountain. Describe the difficult and dangerous situation of walking on the mountain.
767,引狼入室,Describe the resolute and rapid action.
768,貌合神离,There is no more corruption and fraud. Describe that bad things are extinct and the social atmosphere is good.
769,损人利己,Describe the sumptuous dishes.
770,舍近求远,It describes a tragic fire in which numerous people were burned to death.
771,大发雷霆,坚: sturdy; 利: sharp. It means the warship is strong and the cannon is fierce. Describe the strong navy
772,东拼西凑,Writing - Situation - (7) Culture and Art - Masterpiece
773,跋山涉水,Describe groups of people gathered in one place.
774,畅所欲言,"The sun shades through the clouds, describing a very high"
775,口口声声,The words are described as majestic and superb.
776,并驾齐驱,"It refers to things that are not normal, not even in ancient and modern times."
777,倾家荡产,Writing about events - state of affairs - (4) degree - other
778,例行公事,"Shelter: shade; dry: rush, offend. Blocking the sun and rushing straight to the clouds. Describe as very tall"
779,全军覆没,Described as very tall.
780,心猿意马,Writing about people - feeling -_- (5) body
781,回头是岸,"Food in the mouth, hand patting the stomach. Describe the carefree life in peaceful times."
782,风流人物,Writing about people-looks-(1) Appearance-ugly
783,津津有味,The metaphor is eclectic and not radical.
784,蠢蠢欲动,Writing about people - Virtue and talent - (16) Treachery and smoothness
785,出神入化,Describe the unadorned.
786,枉费心机,"Serving at night to go to bed, and visiting in the morning to ask for good wishes. In the old days, it was a daily ritual to serve parents."
787,一技之长,"Writing about events - state of affairs - (3) results - fair, poor"
788,洁身自好,"It refers to a friendship that cannot always be maintained, and friends become enemies."
789,未老先衰,Writing about people - feelings - (9) hatred - resentment
790,群策群力,Writing about people - feelings - (7) fear - fear
791,忍气吞声,Fear the prestige and feel the virtue.
792,光明正大,Writing about people - mindfulness - (2) thoughts - thinking
793,安营扎寨,"Writing things-opposites-(2) strong, weak-weak and small"
794,束之高阁,It is a metaphor for the hypocritical style of a hypocrite whose words are not true and whose deeds are not the same.
795,无所不至,Refers to valuing others and despising oneself.
796,寸草春晖,Drinking slowly and singing lowly. It describes the leisure and enjoyment of the feudal era scholars.
797,不自量力,A prostitute's business to win the hearts of others
798,弄巧成拙,Writing about people - Virtue and talent - (20) Greed - Greed
799,出乎意外,"Count: to count, to criticize. Adding comments behind the scenes, slandering people wantonly."
800,突如其来,Writing about people - speech - (4) arguments - way
801,本来面目,Admonishing the corpse and accusing the butcher of the fault of killing the animal. The metaphor is that admonition does not help
802,井井有条,Restraint of feelings and desires
803,有口皆碑,"The term refers to the establishment of a separate party, a metaphor for forming a private party"
804,浑然一体,惙怛：Sorrowful look; 伤悴：Sorrowful. Describe very sad and sorrowful
805,雪上加霜,Writing about people - feelings -_- (6) sadness
806,流连忘返,"Violence: brutalization; ling: the same as ""ling"", invasion, bullying. To brutalize the people internally and oppress the weak externally"
807,不以为然,"The heart is as fragrant as the celandine grass, and the quality is as pure and white as the dandy. It is a metaphor for high moral integrity."
808,不见经传,A metaphor for an article with new ideas.
809,食不果腹,"This refers to the fact that the person doing the study starts from a wide range, and then proceeds to a deeper level, and finally reaches simplicity."
810,可有可无,Revitalize and perpetuate the extinct ones.
811,刻不容缓,Writing - Situation - (7) Culture and Art - Masterpiece
812,轰动一时,Giving the dry place to the toddler and sleeping in the wet place by herself. Describe the hard work of raising children.
813,自然而然,It describes that there is a very large amount of grain stored due to a good year.
814,一衣带水,Writing about things - situations - (3) economy - production
815,泥沙俱下,It describes the brightness and prestige.
816,山崩地裂,Refers to the enlightenment of the world
817,无人问津,Charmed: vivid appearance. Describe things in vivid colors. Refers to outstanding achievements
818,不义之财,"Implicit: subtle but not obvious. Describe the style and mood euphemism and delicate, subtle and measured"
819,混为一谈,"Material: Tong ""talent"". Knowledge: through ""wisdom"". Outstanding talent, high wisdom."
820,海市蜃楼,Ang: look up; Shrug: towering; Gully: valley. Look up to the clouds and tower over the mountains and ravines. Describe the outstanding talent and great achievements. It also describes a person with high ambition and broad-mindedness.
821,百感交集,The skin is wrinkled and the hair is pale. Describe the appearance of an old man in his old age.
822,人困马乏,Showing off one's talent. It is also used as a metaphor to show off one's talent and express oneself.
823,权宜之计,Serving oxen and horses to drive
824,不辞劳苦,A metaphor for a talented person who has no ambition and who is wandering
825,不远万里,It is like dying and living many times. Describe the suffering.
826,威风凛凛,Writing about the matter - state of affairs - (4) degree - serious
827,独善其身,"Full of valleys, full of pits. Describe it as a lot, everywhere."
828,光彩夺目,Describe low crying
829,奔走相告,Refers to the flowery spring light
830,不修边幅,"Describe a person's emotion, voice and face are very harsh look."
831,嗤之以鼻,"The sword in the box, the bright lamp in the tent, the sword light, if hidden. It is a metaphor for things that cannot be hidden, or deliberately reveal news to attract attention."
832,坐井观天,"Writing about events - state of affairs - (3) results - fair, poor"
833,崇山峻岭,"Originally, it refers to the ""Three Dynasties' Chronology"" and ""Twelve Vassals' Chronology"" in ""The Records of the Grand Historian"". Later, it refers to the lineage tables and genealogies arranged in a tabular row."
834,因循守旧,Writing matter-Situation-(7) Culture and art-Coloring and painting art
835,吃里扒外,It is a metaphor for a handsome young man. Often used as a compliment.
836,天各一方,Defeat: Destroyed. The broken and fragmented scale armor is a metaphor for the snowflakes flying all over the sky.
837,好为人师,It is a metaphor for the parting of lovers and friends.
838,风起云涌,"In the old days, printing books, mostly with date wood pear wood carved board. It is a metaphor for the indiscriminate carving of useless books."
839,喜形于色,It is a metaphor for great literary talent.
840,蹉跎岁月,"The floating clouds, the dew in the early morning. It is a metaphor for the ease of passing time and the shortness of life."
841,平分秋色,The metaphor is that the article has a beautiful rhythm.
842,千方百计,"In the old days, it was a metaphor for a general who died in battle."
843,不遗余力,It is a metaphor for excellent people making friends or talented people tying the knot.
844,万古流芳,"The original metaphor is to describe the longevity of grace. Later, it was used to refer to people's sons and daughters."
845,取长补短,Writing about people-appellation-_-(5) Outlaws
846,一掷千金,"Stepping on the tail of a tiger, walking on the ice that will thaw in spring. Metaphorically, the situation is very dangerous."
847,人才济济,Writing things-opposition-(7) safety and danger-danger
848,知己知彼,The metaphor doesn't fit and works right.
849,了如指掌,"Remnant: remaining; Ointment: grease; Fu: fragrance, residue. A metaphor for the literary heritage left by the previous generations"
850,不知所措,Writing - Situation - (7) Culture and art - Others
851,不动声色,Writing about people - Virtue and talent - (1) noble - noble
852,以己度人,It refers to being friends with herons and gulls. A metaphor for living in seclusion
853,逢场作戏,A metaphor for effortless rewarding words.
854,假公济私,Writing - Interaction -_- (5) Speech
855,悔之晚矣,"It refers to the poetry that is beautiful and flamboyant, chanting the wind and making the moon."
856,朝令夕改,Love: Graceful love. Buddhist term for the pain of parting of a dear one
857,犬牙交错,"Sangma is above Pu water, the ancient place of Wei. Ancient refers to lewd wind. Later, it also refers to the rendezvous of men and women."
858,打成一片,"The people are fellow citizens, and things are of the same kind. Generally refers to the beloved and all things."
859,寻根究底,Generally refers to men of later generations
860,千辛万苦,Hold: hold on to and not let go; Dispose: dispose of. Holding on to the law and using power
