Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,7,61655,108019,Contra Costa,Brentwood Union Elementary,Marsh Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,681,160,0.235,203,0.298,670,159,0.237,201,0.3,Y
2016-2017,7,61655,110528,Contra Costa,Brentwood Union Elementary,Adams (J. Douglas) Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1163,191,0.164,242,0.208,1163,191,0.164,242,0.208,Y
2016-2017,7,61655,127464,Contra Costa,Brentwood Union Elementary,Mary Casey Black Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,628,210,0.334,268,0.427,615,206,0.335,263,0.428,Y
2016-2017,7,61655,6003644,Contra Costa,Brentwood Union Elementary,Brentwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,669,164,0.245,216,0.323,658,162,0.246,214,0.325,Y
2016-2017,7,61655,6003651,Contra Costa,Brentwood Union Elementary,Edna Hill Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,988,291,0.295,353,0.357,988,291,0.295,353,0.357,Y
2016-2017,7,61655,6070981,Contra Costa,Brentwood Union Elementary,Garin Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,603,158,0.262,196,0.325,591,153,0.259,190,0.321,Y
2016-2017,7,61655,6109730,Contra Costa,Brentwood Union Elementary,Ron Nunn Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,553,76,0.137,101,0.183,542,74,0.137,99,0.183,Y
2016-2017,7,61655,6112718,Contra Costa,Brentwood Union Elementary,William B. Bristow Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1172,193,0.165,243,0.207,1172,193,0.165,243,0.207,Y
2016-2017,7,61655,6117410,Contra Costa,Brentwood Union Elementary,Loma Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,666,81,0.122,111,0.167,651,78,0.12,106,0.163,Y
2016-2017,7,61655,6119754,Contra Costa,Brentwood Union Elementary,R. Paul Krey Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,874,122,0.14,148,0.169,858,119,0.139,145,0.169,Y
2016-2017,7,61663,130930,Contra Costa,Byron Union Elementary,Vista Oaks Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1684,Directly funded,Y,K,12,634,166,0.262,249,0.393,603,151,0.25,230,0.381,Y
2016-2017,7,61663,6003669,Contra Costa,Byron Union Elementary,Excelsior Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,590,120,0.203,178,0.302,589,120,0.204,178,0.302,Y
2016-2017,7,61663,6101943,Contra Costa,Byron Union Elementary,Discovery Bay Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,489,138,0.282,184,0.376,473,135,0.285,181,0.383,Y
2016-2017,7,61663,6119838,Contra Costa,Byron Union Elementary,Timber Point Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,521,71,0.136,100,0.192,521,71,0.136,100,0.192,Y
2016-2017,7,61671,6003677,Contra Costa,Canyon Elementary,Canyon Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,72,2,2.78E-02,3,4.17E-02,72,2,2.78E-02,3,4.17E-02,Y
2016-2017,7,61697,1,Contra Costa,John Swett Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,0.5,2,0.5,4,2,0.5,2,0.5,Y
2016-2017,7,61697,737023,Contra Costa,John Swett Unified,John Swett High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,558,245,0.439,307,0.55,536,238,0.444,299,0.558,Y
2016-2017,7,61697,737619,Contra Costa,John Swett Unified,Willow High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,K,12,55,32,0.582,38,0.691,50,31,0.62,37,0.74,Y
2016-2017,7,61697,6003685,Contra Costa,John Swett Unified,Carquinez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,351,204,0.581,254,0.724,351,204,0.581,254,0.724,Y
2016-2017,7,61697,6003701,Contra Costa,John Swett Unified,Rodeo Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,746,481,0.645,569,0.763,738,475,0.644,563,0.763,Y
2016-2017,7,61705,133769,Contra Costa,Knightsen Elementary,Old River Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,179,48,0.268,54,0.302,171,45,0.263,51,0.298,Y
2016-2017,7,61705,6003719,Contra Costa,Knightsen Elementary,Knightsen Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,406,125,0.308,149,0.367,406,125,0.308,149,0.367,Y
2016-2017,7,61713,1,Contra Costa,Lafayette Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,0,0,0,0,6,0,0,0,0,Y
2016-2017,7,61713,6003727,Contra Costa,Lafayette Elementary,Burton Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,810,9,1.11E-02,13,1.60E-02,794,9,1.13E-02,13,1.64E-02,Y
2016-2017,7,61713,6003743,Contra Costa,Lafayette Elementary,Happy Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,545,4,7.34E-03,5,9.17E-03,531,4,7.53E-03,5,9.42E-03,Y
2016-2017,7,61713,6003750,Contra Costa,Lafayette Elementary,Lafayette Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,538,15,2.79E-02,20,3.72E-02,538,15,2.79E-02,20,3.72E-02,Y
2016-2017,7,61713,6003768,Contra Costa,Lafayette Elementary,M. H. Stanley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1235,26,2.11E-02,38,3.08E-02,1235,26,2.11E-02,38,3.08E-02,Y
2016-2017,7,61713,6003792,Contra Costa,Lafayette Elementary,Springhill Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,481,5,1.04E-02,7,1.46E-02,481,5,1.04E-02,7,1.46E-02,Y
2016-2017,7,61721,1,Contra Costa,Liberty Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,1,6.67E-02,1,6.67E-02,8,1,0.125,1,0.125,Y
2016-2017,7,61721,107797,Contra Costa,Liberty Union High,Heritage High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2499,329,0.132,417,0.167,2457,322,0.131,410,0.167,Y
2016-2017,7,61721,730457,Contra Costa,Liberty Union High,Freedom High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2643,782,0.296,944,0.357,2581,755,0.293,914,0.354,Y
2016-2017,7,61721,730572,Contra Costa,Liberty Union High,Independence High,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,295,58,0.197,59,0.2,229,48,0.21,49,0.214,Y
2016-2017,7,61721,733980,Contra Costa,Liberty Union High,Liberty High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2579,670,0.26,796,0.309,2455,628,0.256,748,0.305,Y
2016-2017,7,61721,733998,Contra Costa,Liberty Union High,La Paloma High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,168,84,0.5,93,0.554,130,65,0.5,70,0.538,Y
2016-2017,7,61739,1,Contra Costa,Martinez Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,3,0.273,3,0.273,10,3,0.3,3,0.3,Y
2016-2017,7,61739,730440,Contra Costa,Martinez Unified,Vicente Martinez High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,63,19,0.302,21,0.333,57,18,0.316,20,0.351,Y
2016-2017,7,61739,730473,Contra Costa,Martinez Unified,Briones (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,42,11,0.262,12,0.286,38,10,0.263,11,0.289,Y
2016-2017,7,61739,730549,Contra Costa,Martinez Unified,Alhambra Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1179,170,0.144,207,0.176,1137,166,0.146,201,0.177,Y
2016-2017,7,61739,6003826,Contra Costa,Martinez Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,411,123,0.299,141,0.343,396,120,0.303,138,0.348,Y
2016-2017,7,61739,6003834,Contra Costa,Martinez Unified,John Swett Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,528,49,9.28E-02,62,0.117,517,48,9.28E-02,60,0.116,Y
2016-2017,7,61739,6003842,Contra Costa,Martinez Unified,Las Juntas Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,374,162,0.433,176,0.471,366,160,0.437,174,0.475,Y
2016-2017,7,61739,6003875,Contra Costa,Martinez Unified,Morello Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,522,57,0.109,65,0.125,522,57,0.109,65,0.125,Y
2016-2017,7,61739,6057186,Contra Costa,Martinez Unified,Martinez Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1013,225,0.222,263,0.26,1013,225,0.222,263,0.26,Y
2016-2017,7,61747,1,Contra Costa,Moraga Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0,0,0,3,0,0,0,0,Y
2016-2017,7,61747,6003909,Contra Costa,Moraga Elementary,Camino Pablo Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,387,3,7.75E-03,3,7.75E-03,377,3,7.96E-03,3,7.96E-03,Y
2016-2017,7,61747,6003917,Contra Costa,Moraga Elementary,Donald L. Rheem Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,414,9,2.17E-02,9,2.17E-02,414,9,2.17E-02,9,2.17E-02,Y
2016-2017,7,61747,6003925,Contra Costa,Moraga Elementary,Joaquin Moraga Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,696,10,1.44E-02,10,1.44E-02,696,10,1.44E-02,10,1.44E-02,Y
2016-2017,7,61747,6003933,Contra Costa,Moraga Elementary,Los Perales Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,398,5,1.26E-02,5,1.26E-02,390,5,1.28E-02,5,1.28E-02,Y
2016-2017,7,61754,0,Contra Costa,Mt. Diablo Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,63,23,0.365,24,0.381,62,23,0.371,24,0.387,Y
2016-2017,7,61754,1,Contra Costa,Mt. Diablo Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,141,29,0.206,30,0.213,122,25,0.205,26,0.213,Y
2016-2017,7,61754,106088,Contra Costa,Mt. Diablo Unified,Delta View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,659,237,0.36,306,0.464,636,233,0.366,299,0.47,Y
2016-2017,7,61754,730044,Contra Costa,Mt. Diablo Unified,Northgate High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1558,95,6.10E-02,130,8.34E-02,1510,94,6.23E-02,128,8.48E-02,Y
2016-2017,7,61754,730317,Contra Costa,Mt. Diablo Unified,Horizons School: Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,158,19,0.12,21,0.133,147,18,0.122,20,0.136,Y
2016-2017,7,61754,730333,Contra Costa,Mt. Diablo Unified,Gateway High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,28,17,0.607,20,0.714,26,16,0.615,18,0.692,Y
2016-2017,7,61754,730358,Contra Costa,Mt. Diablo Unified,Prospect High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,46,26,0.565,27,0.587,42,23,0.548,23,0.548,Y
2016-2017,7,61754,730416,Contra Costa,Mt. Diablo Unified,Crossroads High (Alternative),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,37,30,0.811,30,0.811,22,18,0.818,18,0.818,Y
2016-2017,7,61754,730424,Contra Costa,Mt. Diablo Unified,Summit High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,106,45,0.425,48,0.453,86,30,0.349,33,0.384,Y
2016-2017,7,61754,730655,Contra Costa,Mt. Diablo Unified,Diablo Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,18,14,0.778,15,0.833,18,14,0.778,15,0.833,Y
2016-2017,7,61754,731646,Contra Costa,Mt. Diablo Unified,College Park High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2054,319,0.155,418,0.204,1993,312,0.157,407,0.204,Y
2016-2017,7,61754,731836,Contra Costa,Mt. Diablo Unified,Concord High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1489,569,0.382,701,0.471,1441,547,0.38,676,0.469,Y
2016-2017,7,61754,734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1344,851,0.633,997,0.742,1291,818,0.634,961,0.744,Y
2016-2017,7,61754,734764,Contra Costa,Mt. Diablo Unified,Olympic Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,288,175,0.608,187,0.649,205,129,0.629,139,0.678,Y
2016-2017,7,61754,737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1246,767,0.616,908,0.729,1205,744,0.617,883,0.733,Y
2016-2017,7,61754,6003958,Contra Costa,Mt. Diablo Unified,Ayers Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,447,95,0.213,109,0.244,437,93,0.213,107,0.245,Y
2016-2017,7,61754,6003966,Contra Costa,Mt. Diablo Unified,Bancroft Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,598,42,7.02E-02,63,0.105,598,42,7.02E-02,63,0.105,Y
2016-2017,7,61754,6003974,Contra Costa,Mt. Diablo Unified,Bel Air Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,560,482,0.861,532,0.95,551,476,0.864,524,0.951,Y
2016-2017,7,61754,6003982,Contra Costa,Mt. Diablo Unified,Cambridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,660,587,0.889,633,0.959,654,582,0.89,628,0.96,Y
2016-2017,7,61754,6004030,Contra Costa,Mt. Diablo Unified,El Dorado Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,901,479,0.532,575,0.638,901,479,0.532,575,0.638,Y
2016-2017,7,61754,6004048,Contra Costa,Mt. Diablo Unified,El Monte Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,443,236,0.533,288,0.65,434,233,0.537,285,0.657,Y
2016-2017,7,61754,6004055,Contra Costa,Mt. Diablo Unified,Fair Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,331,222,0.671,269,0.813,324,219,0.676,266,0.821,Y
2016-2017,7,61754,6004063,Contra Costa,Mt. Diablo Unified,Foothill Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,990,64,6.46E-02,88,8.89E-02,990,64,6.46E-02,88,8.89E-02,Y
2016-2017,7,61754,6004097,Contra Costa,Mt. Diablo Unified,Hidden Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,872,221,0.253,270,0.31,855,217,0.254,266,0.311,Y
2016-2017,7,61754,6004105,Contra Costa,Mt. Diablo Unified,Highlands Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,597,69,0.116,95,0.159,583,69,0.118,95,0.163,Y
2016-2017,7,61754,6004154,Contra Costa,Mt. Diablo Unified,Meadow Homes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,848,695,0.82,783,0.923,840,690,0.821,778,0.926,Y
2016-2017,7,61754,6004162,Contra Costa,Mt. Diablo Unified,Monte Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,525,85,0.162,106,0.202,525,85,0.162,106,0.202,Y
2016-2017,7,61754,6004170,Contra Costa,Mt. Diablo Unified,Mountain View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,440,161,0.366,193,0.439,439,161,0.367,192,0.437,Y
2016-2017,7,61754,6004188,Contra Costa,Mt. Diablo Unified,Mt. Diablo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,821,54,6.58E-02,62,7.55E-02,821,54,6.58E-02,62,7.55E-02,Y
2016-2017,7,61754,6004196,Contra Costa,Mt. Diablo Unified,Oak Grove Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,692,557,0.805,628,0.908,692,557,0.805,628,0.908,Y
2016-2017,7,61754,6004220,Contra Costa,Mt. Diablo Unified,Pine Hollow Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,597,154,0.258,203,0.34,597,154,0.258,203,0.34,Y
2016-2017,7,61754,6004238,Contra Costa,Mt. Diablo Unified,Sunrise (Special Education),Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,5,39,19,0.487,25,0.641,39,19,0.487,25,0.641,Y
2016-2017,7,61754,6004246,Contra Costa,Mt. Diablo Unified,Pleasant Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,657,108,0.164,129,0.196,648,108,0.167,129,0.199,Y
2016-2017,7,61754,6004253,Contra Costa,Mt. Diablo Unified,Sequoia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,528,42,7.95E-02,56,0.106,528,42,7.95E-02,56,0.106,Y
2016-2017,7,61754,6004261,Contra Costa,Mt. Diablo Unified,Riverview Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,808,638,0.79,721,0.892,808,638,0.79,721,0.892,Y
2016-2017,7,61754,6004295,Contra Costa,Mt. Diablo Unified,Shore Acres Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,539,426,0.79,493,0.915,528,419,0.794,484,0.917,Y
2016-2017,7,61754,6004303,Contra Costa,Mt. Diablo Unified,Silverwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,513,151,0.294,180,0.351,495,150,0.303,178,0.36,Y
2016-2017,7,61754,6004311,Contra Costa,Mt. Diablo Unified,Strandwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,634,57,8.99E-02,72,0.114,624,57,9.13E-02,72,0.115,Y
2016-2017,7,61754,6004329,Contra Costa,Mt. Diablo Unified,Sun Terrace Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,522,303,0.58,372,0.713,517,302,0.584,370,0.716,Y
2016-2017,7,61754,6004337,Contra Costa,Mt. Diablo Unified,Valhalla Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,581,96,0.165,117,0.201,581,96,0.165,117,0.201,Y
2016-2017,7,61754,6004345,Contra Costa,Mt. Diablo Unified,Valle Verde Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,497,32,6.44E-02,43,8.65E-02,483,31,6.42E-02,41,8.49E-02,Y
2016-2017,7,61754,6004352,Contra Costa,Mt. Diablo Unified,Valley View Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,836,242,0.289,303,0.362,836,242,0.289,303,0.362,Y
2016-2017,7,61754,6004360,Contra Costa,Mt. Diablo Unified,Walnut Acres Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,643,35,5.44E-02,40,6.22E-02,625,35,5.60E-02,39,6.24E-02,Y
2016-2017,7,61754,6004378,Contra Costa,Mt. Diablo Unified,Westwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,332,120,0.361,144,0.434,332,120,0.361,144,0.434,Y
2016-2017,7,61754,6004394,Contra Costa,Mt. Diablo Unified,Woodside Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,367,101,0.275,135,0.368,359,99,0.276,133,0.37,Y
2016-2017,7,61754,6004402,Contra Costa,Mt. Diablo Unified,Wren Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,523,328,0.627,377,0.721,516,323,0.626,372,0.721,Y
2016-2017,7,61754,6004410,Contra Costa,Mt. Diablo Unified,Ygnacio Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,475,342,0.72,400,0.842,465,336,0.723,391,0.841,Y
2016-2017,7,61754,6096226,Contra Costa,Mt. Diablo Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,554,450,0.812,511,0.922,554,450,0.812,511,0.922,Y
2016-2017,7,61754,6105357,Contra Costa,Mt. Diablo Unified,Sequoia Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,932,251,0.269,324,0.348,932,251,0.269,324,0.348,Y
2016-2017,7,61754,6111504,Contra Costa,Mt. Diablo Unified,Diablo View Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,731,91,0.124,115,0.157,731,91,0.124,115,0.157,Y
2016-2017,7,61754,6112395,Contra Costa,Mt. Diablo Unified,Gregory Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,403,123,0.305,148,0.367,391,121,0.309,146,0.373,Y
2016-2017,7,61754,6114904,Contra Costa,Mt. Diablo Unified,Pleasant Hill Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,909,268,0.295,323,0.355,909,268,0.295,323,0.355,Y
2016-2017,7,61754,6118087,Contra Costa,Mt. Diablo Unified,Eagle Peak Montessori,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,305,Locally funded,N,1,8,234,14,5.98E-02,14,5.98E-02,234,14,5.98E-02,14,5.98E-02,Y
2016-2017,7,61762,1,Contra Costa,Oakley Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0,0,0,2,0,0,0,0,Y
2016-2017,7,61762,110684,Contra Costa,Oakley Union Elementary,Iron House Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,737,272,0.369,325,0.441,727,270,0.371,322,0.443,Y
2016-2017,7,61762,129064,Contra Costa,Oakley Union Elementary,Almond Grove Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,449,91,0.203,109,0.243,435,91,0.209,108,0.248,Y
2016-2017,7,61762,6004428,Contra Costa,Oakley Union Elementary,Oakley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,409,245,0.599,282,0.689,399,243,0.609,280,0.702,Y
2016-2017,7,61762,6096234,Contra Costa,Oakley Union Elementary,Gehringer Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,783,296,0.378,351,0.448,770,291,0.378,344,0.447,Y
2016-2017,7,61762,6108765,Contra Costa,Oakley Union Elementary,O'Hara Park Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,874,299,0.342,350,0.4,874,299,0.342,350,0.4,Y
2016-2017,7,61762,6110803,Contra Costa,Oakley Union Elementary,Laurel Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,462,102,0.221,150,0.325,451,99,0.22,145,0.322,Y
2016-2017,7,61762,6110811,Contra Costa,Oakley Union Elementary,Vintage Parkway Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,529,174,0.329,234,0.442,529,174,0.329,234,0.442,Y
2016-2017,7,61762,6119226,Contra Costa,Oakley Union Elementary,Delta Vista Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,770,290,0.377,350,0.455,770,290,0.377,350,0.455,Y
2016-2017,7,61770,1,Contra Costa,Orinda Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,0,0,0,0,3,0,0,0,0,Y
2016-2017,7,61770,6004444,Contra Costa,Orinda Union Elementary,Del Rey Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,434,3,6.91E-03,3,6.91E-03,422,2,4.74E-03,2,4.74E-03,Y
2016-2017,7,61770,6004451,Contra Costa,Orinda Union Elementary,Glorietta Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,455,1,2.20E-03,1,2.20E-03,455,1,2.20E-03,1,2.20E-03,Y
