Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2020-2021,16,63941,6010474,Kings,Kings River-Hardwick Union Elementary,Kings River-Hardwick Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Not Participating,Y,00D7,Locally funded,N,K,8,794,169,0.213,179,0.225,783,169,0.216,178,0.227,Y
2020-2021,16,63958,136556,Kings,Kit Carson Union Elementary,Kings Valley Academy II,Elementary School District,K-12 Schools (Public),Traditional,N/A,Y,1896,Directly funded,Y,K,12,1139,931,0.817,985,0.865,783,633,0.808,677,0.865,Y
2020-2021,16,63958,6010482,Kings,Kit Carson Union Elementary,Kit Carson Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,368,247,0.671,281,0.764,363,244,0.672,278,0.766,Y
2020-2021,16,63958,6113120,Kings,Kit Carson Union Elementary,Mid Valley Alternative Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Y,88,Locally funded,N,K,8,32,15,0.469,18,0.562,32,15,0.469,18,0.562,Y
2020-2021,16,63966,6010508,Kings,Lakeside Union Elementary,Lakeside Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,CEP,N ,N/A,N/A,N,K,8,266,237,0.891,249,0.936,263,235,0.894,246,0.935,Y
2020-2021,16,63974,128702,Kings,Lemoore Union Elementary,Bridges Academy,Elementary School District,District Community Day Schools,Community Day School,Not Participating,N ,N/A,N/A,N,6,8,1,1,1,1,1,1,1,1,1,1,Y
2020-2021,16,63974,6118590,Kings,Lemoore Union Elementary,Cinnamon Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,547,308,0.563,368,0.673,547,308,0.563,368,0.673,Y
2020-2021,16,63974,6069140,Kings,Lemoore Union Elementary,Lemoore Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,618,414,0.67,457,0.739,603,404,0.67,446,0.74,Y
2020-2021,16,63974,100156,Kings,Lemoore Union Elementary,Lemoore University Elementary Charter,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Y,489,Locally funded,N,6,8,150,69,0.46,83,0.553,150,69,0.46,83,0.553,Y
2020-2021,16,63974,6111934,Kings,Lemoore Union Elementary,Liberty Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,8,624,380,0.609,432,0.692,624,380,0.609,432,0.692,Y
2020-2021,16,63974,6010532,Kings,Lemoore Union Elementary,Meadow Lane Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,606,385,0.635,433,0.715,599,382,0.638,428,0.715,Y
2020-2021,16,63974,6066666,Kings,Lemoore Union Elementary,P. W. Engvall Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,681,389,0.571,450,0.661,681,389,0.571,450,0.661,Y
2020-2021,16,63982,0,Kings,Lemoore Union High,District Office,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,Adult,3,2,0.667,2,0.667,1,0,0,0,0,Y
2020-2021,16,63982,1630011,Kings,Lemoore Union High,Jamison (Donald C.) High (Continuation),High School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,76,57,0.75,60,0.789,73,55,0.753,58,0.795,Y
2020-2021,16,63982,1635606,Kings,Lemoore Union High,Lemoore High,High School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,1895,865,0.456,1005,0.53,1843,840,0.456,977,0.53,Y
2020-2021,16,63982,110205,Kings,Lemoore Union High,Lemoore Middle College High,High School District,High Schools (Public),Traditional,Not Participating,Y,1068,Directly funded,N,9,12,232,66,0.284,78,0.336,229,65,0.284,77,0.336,Y
2020-2021,16,63982,136234,Kings,Lemoore Union High,Lemoore Online College Preparatory High,High School District,High Schools (Public),Traditional,N/A,Y,1877,Directly funded,N,9,12,135,59,0.437,71,0.526,132,59,0.447,71,0.538,Y
2020-2021,16,63990,0,Kings,Pioneer Union Elementary,District Office,Elementary School District,N/A,N/A,N/A,Y,00D1,Locally funded,N,K,8,3,2,0.667,2,0.667,3,2,0.667,2,0.667,Y
2020-2021,16,63990,116699,Kings,Pioneer Union Elementary,Frontier Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,Y,00D1,Locally funded,N,K,5,482,161,0.334,214,0.444,471,158,0.335,210,0.446,Y
2020-2021,16,63990,6010557,Kings,Pioneer Union Elementary,Pioneer Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,Y,00D1,Locally funded,N,K,5,510,222,0.435,261,0.512,504,219,0.435,258,0.512,Y
2020-2021,16,63990,6110233,Kings,Pioneer Union Elementary,Pioneer Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Y,00D1,Locally funded,N,6,8,545,188,0.345,232,0.426,545,188,0.345,232,0.426,Y
2020-2021,16,73932,1630110,Kings,Reef-Sunset Unified,Adelante High,Unified School District,Continuation High Schools,Continuation School,CEP,N ,N/A,N/A,N,9,12,5,3,0.6,3,0.6,4,3,0.75,3,0.75,Y
2020-2021,16,73932,6010565,Kings,Reef-Sunset Unified,Avenal Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,K,5,690,603,0.874,644,0.933,685,599,0.874,640,0.934,Y
2020-2021,16,73932,1630953,Kings,Reef-Sunset Unified,Avenal High,Unified School District,High Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,9,12,745,622,0.835,667,0.895,727,605,0.832,650,0.894,Y
2020-2021,16,73932,6010573,Kings,Reef-Sunset Unified,Kettleman City Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,K,8,259,235,0.907,245,0.946,258,234,0.907,244,0.946,Y
2020-2021,16,73932,6109888,Kings,Reef-Sunset Unified,Reef Sunset Middle,Unified School District,Junior High Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,6,8,575,514,0.894,543,0.944,575,514,0.894,543,0.944,Y
2020-2021,16,73932,1630185,Kings,Reef-Sunset Unified,Reef-Sunset Secondary Community Day,Unified School District,District Community Day Schools,Community Day School,CEP,N ,N/A,N/A,N,6,12,3,3,1,3,1,3,3,1,3,1,Y
2020-2021,16,73932,1630078,Kings,Reef-Sunset Unified,Sunrise High (Continuation),Unified School District,Continuation High Schools,Continuation School,Provision 2,N ,N/A,N/A,N,9,12,23,16,0.696,16,0.696,18,14,0.778,14,0.778,Y
2020-2021,16,73932,6118566,Kings,Reef-Sunset Unified,Tamarack Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,K,5,428,377,0.881,411,0.96,426,375,0.88,409,0.96,Y
2020-2021,17,10173,128231,Lake,Lake County Office of Education,Clearlake Creativity,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N ,N/A,N/A,N,K,12,22,15,0.682,20,0.909,21,15,0.714,19,0.905,Y
2020-2021,17,10173,1730167,Lake,Lake County Office of Education,Lloyd Hance Community,County Office of Education (COE),County Community,County Community School,N/A,N ,N/A,N/A,N,7,12,1,1,1,1,1,1,1,1,1,1,Y
2020-2021,17,64014,1730043,Lake,Kelseyville Unified,Ed Donaldson Education Center,Unified School District,Continuation High Schools,Continuation School,Provision 2,N ,N/A,N/A,N,9,12,18,11,0.611,12,0.667,18,11,0.611,12,0.667,Y
2020-2021,17,64014,6010607,Lake,Kelseyville Unified,Kelseyville Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,K,5,487,357,0.733,394,0.809,480,351,0.731,388,0.808,Y
2020-2021,17,64014,1734359,Lake,Kelseyville Unified,Kelseyville High,Unified School District,High Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,9,12,548,321,0.586,357,0.651,520,305,0.587,341,0.656,Y
2020-2021,17,64014,138537,Lake,Kelseyville Unified,Kelseyville Learning Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N ,N/A,N/A,N,K,12,127,62,0.488,68,0.535,126,61,0.484,67,0.532,Y
2020-2021,17,64014,6107791,Lake,Kelseyville Unified,Mountain Vista Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,6,8,384,242,0.63,269,0.701,384,242,0.63,269,0.701,Y
2020-2021,17,64014,6112759,Lake,Kelseyville Unified,Riviera Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,K,5,181,98,0.541,118,0.652,179,98,0.547,117,0.654,Y
2020-2021,17,64022,107706,Lake,Konocti Unified,Blue Heron,Unified School District,Opportunity Schools,Opportunity School,N/A,N ,N/A,N/A,N,9,11,6,6,1,6,1,6,6,1,6,1,Y
2020-2021,17,64022,6010615,Lake,Konocti Unified,Burns Valley,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,7,525,446,0.85,476,0.907,521,443,0.85,473,0.908,Y
2020-2021,17,64022,1730027,Lake,Konocti Unified,Carle (William C.) High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N ,N/A,N/A,N,9,12,79,63,0.797,67,0.848,60,50,0.833,52,0.867,Y
2020-2021,17,64022,6010623,Lake,Konocti Unified,East Lake,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,7,199,172,0.864,180,0.905,198,171,0.864,179,0.904,Y
2020-2021,17,64022,6057434,Lake,Konocti Unified,Highlands Academy,Unified School District,District Community Day Schools,Community Day School,CEP,N ,N/A,N/A,N,2,8,10,10,1,10,1,10,10,1,10,1,Y
2020-2021,17,64022,132571,Lake,Konocti Unified,Konocti Education Center,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,N ,N/A,N/A,N,4,12,408,297,0.728,330,0.809,404,294,0.728,327,0.809,Y
2020-2021,17,64022,6084990,Lake,Konocti Unified,Lower Lake Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,7,717,558,0.778,606,0.845,711,555,0.781,602,0.847,Y
2020-2021,17,64022,1735000,Lake,Konocti Unified,Lower Lake High,Unified School District,High Schools (Public),Traditional,CEP,N ,N/A,N/A,N,8,12,962,723,0.752,815,0.847,932,701,0.752,792,0.85,Y
2020-2021,17,64022,1,Lake,Konocti Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,1,0,0,0,0,Y
2020-2021,17,64022,6109706,Lake,Konocti Unified,Pomo,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,7,672,582,0.866,622,0.926,669,579,0.865,619,0.925,Y
2020-2021,17,64022,1730118,Lake,Konocti Unified,Richard H. Lewis Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N ,N/A,N/A,N,K,12,24,18,0.75,21,0.875,23,18,0.783,21,0.913,Y
2020-2021,17,64030,1732304,Lake,Lakeport Unified,Clear Lake High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,395,222,0.562,243,0.615,383,213,0.556,234,0.611,Y
2020-2021,17,64030,1730142,Lake,Lakeport Unified,Lakeport Alternative (Home School),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N ,N/A,N/A,N,K,12,72,49,0.681,53,0.736,72,49,0.681,53,0.736,Y
2020-2021,17,64030,114215,Lake,Lakeport Unified,Lakeport Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,N ,N/A,N/A,N,6,10,4,4,1,4,1,4,4,1,4,1,Y
2020-2021,17,64030,6010631,Lake,Lakeport Unified,Lakeport Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,3,395,280,0.709,312,0.79,390,280,0.718,310,0.795,Y
2020-2021,17,64030,1730019,Lake,Lakeport Unified,Natural High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,21,16,0.762,16,0.762,20,15,0.75,15,0.75,Y
2020-2021,17,64030,6010649,Lake,Lakeport Unified,Terrace Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,4,8,501,329,0.657,364,0.727,501,329,0.657,364,0.727,Y
2020-2021,17,64048,6010656,Lake,Lucerne Elementary,Lucerne Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,CEP,N ,N/A,N/A,N,K,8,274,210,0.766,230,0.839,273,209,0.766,229,0.839,Y
2020-2021,17,64055,129601,Lake,Middletown Unified,California Connections Academy North Bay,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1653,Directly funded,Y,K,12,186,86,0.462,97,0.522,178,82,0.461,93,0.522,Y
2020-2021,17,64055,6105456,Lake,Middletown Unified,Cobb Mountain Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,132,75,0.568,86,0.652,132,75,0.568,86,0.652,Y
2020-2021,17,64055,6110761,Lake,Middletown Unified,Coyote Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,417,172,0.412,189,0.453,411,171,0.416,188,0.457,Y
2020-2021,17,64055,108340,Lake,Middletown Unified,Lake County International Charter,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Y,681,Directly funded,Y,K,8,78,48,0.615,54,0.692,77,47,0.61,53,0.688,Y
2020-2021,17,64055,1730035,Lake,Middletown Unified,Loconoma Valley High,Unified School District,Continuation High Schools,Continuation School,N/A,N ,N/A,N/A,N,11,12,9,5,0.556,5,0.556,9,5,0.556,5,0.556,Y
2020-2021,17,64055,1736008,Lake,Middletown Unified,Middletown High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,457,201,0.44,221,0.484,440,193,0.439,213,0.484,Y
2020-2021,17,64055,6107049,Lake,Middletown Unified,Middletown Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,8,209,103,0.493,117,0.56,209,103,0.493,117,0.56,Y
2020-2021,17,64055,6010672,Lake,Middletown Unified,Minnie Cannon Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,165,102,0.618,118,0.715,165,102,0.618,118,0.715,Y
2020-2021,17,64055,1,Lake,Middletown Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0,0,0,2,0,0,0,0,Y
2020-2021,17,76976,1730050,Lake,Upper Lake Unified,Clover Valley High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N ,N/A,N/A,N,9,12,20,15,0.75,17,0.85,18,14,0.778,16,0.889,Y
2020-2021,17,76976,1,Lake,Upper Lake Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,1,1,1,Y
2020-2021,17,76976,6010680,Lake,Upper Lake Unified,Upper Lake Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,339,230,0.678,275,0.811,331,223,0.674,267,0.807,Y
2020-2021,17,76976,1737006,Lake,Upper Lake Unified,Upper Lake High,Unified School District,High Schools (Public),Traditional,CEP,N ,N/A,N/A,N,9,12,305,210,0.689,242,0.793,295,203,0.688,234,0.793,Y
2020-2021,17,76976,6108773,Lake,Upper Lake Unified,Upper Lake Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,187,128,0.684,150,0.802,187,128,0.684,150,0.802,Y
2020-2021,18,10181,6069934,Lassen,Lassen County Office of Education,Lassen County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N ,N/A,N/A,N,K,12,10,2,0.2,2,0.2,9,2,0.222,2,0.222,Y
2020-2021,18,64089,6010698,Lassen,Big Valley Joint Unified,Big Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,62,44,0.71,47,0.758,62,44,0.71,47,0.758,Y
2020-2021,18,64089,1831601,Lassen,Big Valley Joint Unified,Big Valley Jr. Sr. High,Unified School District,High Schools (Public),Traditional,N/A,N ,N/A,N/A,N,6,12,55,32,0.582,34,0.618,54,31,0.574,33,0.611,Y
2020-2021,18,64105,6010730,Lassen,Janesville Union Elementary,Janesville Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,386,145,0.376,164,0.425,380,142,0.374,161,0.424,Y
2020-2021,18,64113,6010748,Lassen,Johnstonville Elementary,Johnstonville Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,178,75,0.421,83,0.466,175,73,0.417,81,0.463,Y
2020-2021,18,64139,1833813,Lassen,Lassen Union High,Credence High,High School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,18,12,0.667,13,0.722,18,12,0.667,13,0.722,Y
2020-2021,18,64139,131953,Lassen,Lassen Union High,Lassen Community Day,High School District,District Community Day Schools,Community Day School,CEP,N ,N/A,N/A,N,9,12,14,13,0.929,13,0.929,14,13,0.929,13,0.929,Y
2020-2021,18,64139,1833805,Lassen,Lassen Union High,Lassen High,High School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,790,257,0.325,274,0.347,776,251,0.323,268,0.345,Y
2020-2021,18,64162,6010789,Lassen,Ravendale-Termo Elementary,Juniper Ridge Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,8,12,11,0.917,11,0.917,12,11,0.917,11,0.917,Y
2020-2021,18,64170,6010797,Lassen,Richmond Elementary,Richmond Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,211,20,9.48E-02,21,9.95E-02,210,20,9.52E-02,21,0.1,Y
2020-2021,18,64188,6010805,Lassen,Shaffer Union Elementary,Shaffer Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,187,109,0.583,130,0.695,184,107,0.582,128,0.696,Y
2020-2021,18,64196,6010813,Lassen,Susanville Elementary,Diamond View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,332,151,0.455,170,0.512,332,151,0.455,170,0.512,Y
2020-2021,18,64196,6010821,Lassen,Susanville Elementary,McKinley Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,2,377,202,0.536,228,0.605,369,199,0.539,225,0.61,Y
2020-2021,18,64196,6109748,Lassen,Susanville Elementary,Meadow View,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,3,5,352,157,0.446,172,0.489,352,157,0.446,172,0.489,Y
2020-2021,18,64196,135756,Lassen,Susanville Elementary,Thompson Peak Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Y,2066,Directly funded,Y,K,12,159,81,0.509,89,0.56,152,78,0.513,85,0.559,Y
2020-2021,18,64204,6010847,Lassen,Westwood Unified,Fletcher Walker Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,6,85,61,0.718,68,0.8,85,61,0.718,68,0.8,Y
2020-2021,18,64204,1838507,Lassen,Westwood Unified,Westwood High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,12,104,58,0.558,76,0.731,100,56,0.56,74,0.74,Y
2020-2021,18,75036,6010714,Lassen,Fort Sage Unified,Fort Sage Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,7,8,17,11,0.647,11,0.647,17,11,0.647,11,0.647,Y
2020-2021,18,75036,1833409,Lassen,Fort Sage Unified,Herlong High,Unified School District,High Schools (Public),Traditional,CEP,N ,N/A,N/A,N,9,12,32,17,0.531,17,0.531,30,15,0.5,15,0.5,Y
2020-2021,18,75036,6010763,Lassen,Fort Sage Unified,Long Valley,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,2067,Directly funded,Y,K,12,285,132,0.463,162,0.568,281,129,0.459,159,0.566,Y
2020-2021,18,75036,121657,Lassen,Fort Sage Unified,Mt. Lassen Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1185,Locally funded,N,K,12,123,27,0.22,44,0.358,120,27,0.225,44,0.367,Y
2020-2021,18,75036,6096341,Lassen,Fort Sage Unified,Sierra Primary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,48,25,0.521,27,0.562,46,25,0.543,27,0.587,Y
2020-2021,19,10199,121921,Los Angeles,Los Angeles County Office of Education,Afflerbaugh-Paige Camp,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N ,N/A,N/A,N,7,12,55,55,1,55,1,40,40,1,40,1,Y
2020-2021,19,10199,135368,Los Angeles,Los Angeles County Office of Education,Alma Fuerte Public,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1859,Directly funded,Y,K,8,105,65,0.619,68,0.648,100,62,0.62,65,0.65,Y
2020-2021,19,10199,136119,Los Angeles,Los Angeles County Office of Education,Animo City of Champions Charter High,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,1874,Directly funded,Y,9,12,353,269,0.762,304,0.861,340,259,0.762,293,0.862,Y
2020-2021,19,10199,109660,Los Angeles,Los Angeles County Office of Education,Aspire Antonio Maria Lugo Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,694,Directly funded,Y,K,6,415,327,0.788,379,0.913,410,324,0.79,374,0.912,Y
2020-2021,19,10199,112128,Los Angeles,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,693,Directly funded,Y,6,12,564,504,0.894,539,0.956,559,500,0.894,534,0.955,Y
2020-2021,19,10199,121897,Los Angeles,Los Angeles County Office of Education,Central Juvenile Hall,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N ,N/A,N/A,N,6,12,145,145,1,145,1,134,134,1,134,1,Y
2020-2021,19,10199,138669,Los Angeles,Los Angeles County Office of Education,Da Vinci RISE High,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,2017,Directly funded,Y,9,12,219,165,0.753,166,0.758,130,102,0.785,103,0.792,Y
2020-2021,19,10199,121772,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Y,1204,Directly funded,Y,6,8,346,293,0.847,311,0.899,346,293,0.847,311,0.899,Y
2020-2021,19,10199,127498,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle - Inglewood,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Y,1501,Directly funded,Y,6,8,358,295,0.824,330,0.922,358,295,0.824,330,0.922,Y
2020-2021,19,10199,134346,Los Angeles,Los Angeles County Office of Education,Intellectual Virtues Academy,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,1814,Directly funded,Y,9,12,96,58,0.604,59,0.615,91,54,0.593,55,0.604,Y
2020-2021,19,10199,1995869,Los Angeles,Los Angeles County Office of Education,International Polytechnic High,County Office of Education (COE),Opportunity Schools,Opportunity School,N/A,N ,N/A,N/A,N,9,12,472,140,0.297,174,0.369,469,139,0.296,173,0.369,Y
2020-2021,19,10199,106880,Los Angeles,Los Angeles County Office of Education,Jardin de la Infancia,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,663,Directly funded,Y,K,1,23,22,0.957,22,0.957,22,21,0.955,21,0.955,Y
2020-2021,19,10199,121905,Los Angeles,Los Angeles County Office of Education,"Kirby, Dorothy Camp",County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N ,N/A,N/A,N,7,12,73,73,1,73,1,67,67,1,67,1,Y
2020-2021,19,10199,1933399,Los Angeles,Los Angeles County Office of Education,L.A. County High School for the Arts,County Office of Education (COE),Opportunity Schools,Opportunity School,N/A,N ,N/A,N/A,N,9,12,551,87,0.158,112,0.203,542,86,0.159,111,0.205,Y
2020-2021,19,10199,135582,Los Angeles,Los Angeles County Office of Education,LA's Promise Charter High #1,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,1817,Directly funded,Y,9,12,203,176,0.867,192,0.946,196,171,0.872,186,0.949,Y
2020-2021,19,10199,134361,Los Angeles,Los Angeles County Office of Education,LA's Promise Charter Middle #1,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Y,1818,Directly funded,Y,6,8,168,152,0.905,161,0.958,168,152,0.905,161,0.958,Y
2020-2021,19,10199,128025,Los Angeles,Los Angeles County Office of Education,Lashon Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1560,Directly funded,Y,K,8,581,404,0.695,462,0.795,574,399,0.695,456,0.794,Y
2020-2021,19,10199,139170,Los Angeles,Los Angeles County Office of Education,Lashon Academy City,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,2029,Directly funded,Y,K,6,22,18,0.818,21,0.955,22,18,0.818,21,0.955,Y
2020-2021,19,10199,6119945,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,438,Directly funded,Y,6,12,717,557,0.777,634,0.884,707,548,0.775,624,0.883,Y
2020-2021,19,10199,115212,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 2,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,906,Directly funded,Y,6,12,464,341,0.735,387,0.834,459,337,0.734,382,0.832,Y
2020-2021,19,10199,115030,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 3,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,917,Directly funded,Y,6,12,417,270,0.647,297,0.712,414,268,0.647,295,0.713,Y
2020-2021,19,10199,137679,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 5,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,987,Directly funded,Y,6,12,290,236,0.814,256,0.883,286,234,0.818,254,0.888,Y
2020-2021,19,10199,121822,Los Angeles,Los Angeles County Office of Education,"Nidorf, Barry J.",County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N ,N/A,N/A,N,6,12,131,131,1,131,1,94,94,1,94,1,Y
2020-2021,19,10199,100776,Los Angeles,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,540,Directly funded,Y,6,12,732,718,0.981,726,0.992,725,711,0.981,719,0.992,Y
2020-2021,19,10199,6116883,Los Angeles,Los Angeles County Office of Education,Odyssey Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,249,Directly funded,Y,K,8,471,120,0.255,131,0.278,471,120,0.255,131,0.278,Y
